"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Adhoc","1950","331971","77879","0","0",,,,
"World","1950","164562872","38212691","20.5","19.5",,,,
"Adhoc","1951","340634","68129","73.42","70.29","40.6960992068065","33.106256920903","0","2328"
"World","1951","173737630","39969203","26.3","23.8",,,,
"Adhoc","1952","336432","61893","71.89","65.33","38.8074324738283","31.6561771806157","0","2224"
"World","1952","181602585","41379815","26.8","24.1",,,,
"Adhoc","1953","331124","58414","70.06","61.04","36.9517152185836","30.2238036594809","0","2123"
"World","1953","187776866","42380071","29.1","26.7",,,,
"Adhoc","1954","328180","57236","68.29","58.01","36.6679943123797","30.3423035018292","0","2135"
"World","1954","192272675","42974746","47.1","45.8",,,,
"Adhoc","1955","327812","57937","66.64","56.5","35.9085200170677","29.2139781384914","2528","2061"
"World","1955","195893014","43186237","51.6","50.7","207.808837881426","132.768858348184",,
"Adhoc","1956","318421","60151","63.71","56.53","34.4752255957367","28.0972417302857","2438","1992"
"World","1956","201012552","42872291","52.8","53.3","203.240877314042","129.518223074338",,"6114157"
"Adhoc","1957","318872","63124","62.13","57.27","33.0212496747051","26.9638178899836","2348","1922"
"World","1957","203603019","42499173","53.5","54.8","198.70240464614","126.793668495903",,"6062579"
"Adhoc","1958","324676","66376","61.41","58.24","33.781098272787","28.0514529609024","2417","2013"
"World","1958","205006879","42212957","55.1","57","195.052064708607","124.783949247376",,"6055252"
"Adhoc","1959","331387","69423","60.91","59.06","31.8454374472229","26.3909972043597","2293","1907"
"World","1959","206572292","42221681","56","58.4","191.007784415469","122.192898712289",,"6025532"
"Adhoc","1960","335914","71828","60.09","59.44","29.9864188855106","24.8699606279282","2173","1809"
"World","1960","209246130","42735170","56.7","59","187.579356010057","120.004353778451","9285161","6020417"
"Adhoc","1961","343277","73153","59.59","59.26","28.3662957230502","23.5533872660846","2066","1721"
"World","1961","210967959","43862650","57.8","59.2","185.059769547515","118.540832480889","9317255","6053915"
"Adhoc","1962","347075","73469","58.81","58.51","26.8458733332655","22.3303558281003","1961","1635"
"World","1962","214931972","45520355","58.3","58.6","182.969133631163","117.262975636757","9373944","6096252"
"Adhoc","1963","347502","72925","57.78","57.38","26.0584043725018","21.8133577448711","1904","1595"
"World","1963","220515348","47462392","59","58.5","180.850231676997","115.750036641604","9426983","6123373"
"Adhoc","1964","346287","71829","56.76","56.19","24.7449460386236","20.6677031137123","1801","1503"
"World","1964","226502347","49353419","62.2","61","177.947639335059","113.306477271145","9425674","6094076"
"Adhoc","1965","344685","70451","55.95","55.17","23.6036330315656","19.7435193419365","1704","1422"
"World","1965","232141259","50946872","61.9","60.2","174.874595776132","111.617960850035","9412915","6095276"
"Adhoc","1966","344430","68800","55.37","54.44","22.8548468994898","19.1549999094192","1630","1361"
"World","1966","239170873","51906513","62.4","61","172.367959742686","109.987001633814","9411629","6088806"
