"Region","ARR.1990.2018.median","ARR.1990.2000.median","ARR.2000.2018.median","Required.ARR.median","Change.in.ARR.median","Percentage.decline.1990.2018.median","Percentage.decline.1990.2000.median","Percentage.decline.2000.2018.median"
"Africa",3.07048701845803,1.58315350270907,3.89678341609634,,2.31362991338728,57.6726342710997,14.6419437340153,50.4119850187266
"Northern Africa",3.79325673731637,3.72555374019366,3.83086951349565,,0.105315773301984,65.4275092936803,31.1028500619579,49.8201438848921
"Southern Africa",1.87988171777572,-2.67007178720825,4.40763366498904,,7.07770545219728,40.9252669039146,-30.6049822064057,54.7683923705722
"Eastern Africa",4.19253581770507,2.3932610403594,5.19213291623045,,2.79887187587105,69.0844233055886,21.2841854934602,60.7250755287009
"Western Africa",2.63644487902034,1.69292056503621,3.16062505345596,,1.46770448841976,52.202868852459,15.5737704918033,43.3859223300971
"Middle Africa",2.77233727733395,0.943926433252277,3.78812107960155,,2.84419464634927,53.9873780837636,9.00745840504877,49.4325346784363
"Asia",4.18735549507093,2.78309932622918,4.96749781109412,,2.18439848486494,69.0395480225989,24.2937853107345,59.1044776119403
"Eastern Asia",6.51181366772493,3.96191471322835,7.92842419800081,,3.96650948477246,83.8509316770186,32.712215320911,76
"Central Asia",4.19558009366477,1.45864770173386,5.71609808918194,,4.25745038744807,69.1107644305772,13.5725429017161,64.2599277978339
"Southern Asia",4.13856757965437,3.05492915198028,4.7405889283622,,1.68565977638191,68.613707165109,26.3239875389408,57.399577167019
"South-Eastern Asia",3.82708434385782,4.00909291572304,3.72596847059937,,-0.283124445123667,65.7534246575342,33.0289193302892,48.8636363636364
"Western Asia",4.11960321033551,4.50137548159757,3.90750750407882,,-0.593867977518753,68.4466019417476,36.2459546925566,50.507614213198
"Americas",4.18898933710223,5.13386444627664,3.66405872089422,,-1.46980572538242,69.0537084398977,40.153452685422,48.2905982905983
"Northern America",1.83667131413201,2.70645885299213,1.35345601476528,,-1.35300283822685,40.2061855670103,23.7113402061856,21.6216216216216
"Latin America and the Caribbean",4.35774103659256,5.27020309685971,3.85081766977747,,-1.41938542708224,70.4819277108434,40.9638554216867,50
"Central America",4.3628371631277,5.10098086447614,3.95275732904523,,-1.14822353543091,70.5240174672489,39.9563318777293,50.9090909090909
"South America",4.70800320669598,5.66682955158515,4.17532190397978,,-1.49150764760538,73.2394366197183,43.2595573440644,52.8368794326241
"Caribbean",2.51199569189336,3.02793254463136,2.22536410703892,,-0.802568437592438,50.5079825834543,26.1248185776488,33.0058939096267
"Europe",3.81856572664934,3.76051222901871,3.85081766977747,,0.0903054407587627,65.6716417910448,31.3432835820896,50
"Northern Europe",3.08390195109709,3.75789339962048,2.70946225747298,,-1.0484311421475,57.8313253012048,31.3253012048193,38.5964912280702
"Southern Europe",4.76232814194825,6.40304699185566,3.85081766977747,,-2.55222932207818,73.6434108527132,47.2868217054264,50
"Eastern Europe",3.8645820954175,1.89010544944751,4.96151356540082,,3.07140811595331,66.1111111111111,17.2222222222222,59.0604026845638
"Western Europe",2.76923313856042,4.38913042175704,1.86929020345118,,-2.51984021830586,53.9473684210526,35.5263157894737,28.5714285714286
"Oceania",1.97450550310664,1.14775514592428,2.43381125709684,,1.28605611117255,42.4698795180723,10.8433734939759,35.472972972973
"Australia and New Zealand",3.02606378709716,3.87765531008763,2.55295738543578,,-1.32469792465186,57.1428571428572,32.1428571428571,36.8421052631579
"Melanesia",2.10024003271363,1.74219822298847,2.2991521492276,,0.556953926239139,44.4600280504909,15.9887798036466,33.889816360601
"Micronesia",1.84619663150194,1.87651349557302,1.82935392924022,,-0.0471595663328033,40.3654485049834,17.109634551495,28.0561122244489
"Polynesia",1.97520852639023,3.05381649551182,1.37598187687823,,-1.67783461863359,42.4812030075188,26.3157894736842,21.9387755102041
