"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Adhoc","1950","349952","81327","0","0",,,,
"World","1950","170767996","39469315","20.6","19.7",,,,
"Adhoc","1951","357365","70952","72.9","70.07","50.1718093207616","41.2138799078824","0","3047"
"World","1951","180230437","41531777","26.3","23.8",,,,
"Adhoc","1952","351956","64345","71.51","65.17","47.9400343143453","39.4469003656442","0","2916"
"World","1952","188705615","43198537","26.7","23.8",,,,
"Adhoc","1953","345727","60682","69.81","60.91","46.0368642039931","37.9399832749321","0","2806"
"World","1953","195482272","44379602","28.9","26.2",,,,
"Adhoc","1954","342290","59497","68.12","57.89","45.804340159168","38.159139116919","0","2826"
"World","1954","200434702","45071597","47","45.6",,,,
"Adhoc","1955","341809","60348","66.51","56.38","44.555458848863","36.6078808646149","3307","2720"
"World","1955","204364373","45296410","51.5","50.5","211.08575066032","146.848488773763",,
"Adhoc","1956","332010","62865","63.61","56.42","42.7958635657058","35.1804329113888","3190","2627"
"World","1956","210064699","44902355","52.7","53","206.297523397439","143.571660814944",,"7138310"
"Adhoc","1957","332705","66189","62.03","57.13","40.9965596965668","33.7603328830723","3073","2535"
"World","1957","212800680","44413793","53.3","54.6","201.836511189146","140.596399672027",,"7079924"
"Adhoc","1958","339094","69788","61.31","58.07","41.9478235738263","35.1158483042461","3164","2653"
"World","1958","214109231","44003114","55","56.8","198.451212272431","138.508081349084",,"7078906"
"Adhoc","1959","346398","73119","60.79","58.84","39.6764540390215","33.1264108636246","3012","2520"
"World","1959","215562873","43915314","55.9","58.2","194.322488267471","135.648071152742",,"7045266"
"Adhoc","1960","351326","75683","59.96","59.19","37.5163822046979","31.3415695095529","2866","2400"
"World","1960","218284503","44397517","56.5","58.8","190.900606448908","133.26650584975","9987138","7042509"
"Adhoc","1961","359696","76992","59.4","58.97","35.5280386972259","29.7150033579008","2727","2286"
"World","1961","219908162","45593813","57.7","58.9","188.483161595222","131.648621364105","10032214","7082761"
"Adhoc","1962","363712","77152","58.59","58.18","33.760079160347","28.2677386328279","2598","2179"
"World","1962","224105162","47394034","58.1","58.3","186.490947450095","130.273020376801","10102768","7135374"
"Adhoc","1963","363789","76367","57.53","57.01","32.7319210029915","27.5571409111741","2518","2120"
"World","1963","230147957","49510834","58.8","58.1","184.395026122673","128.67126869005","10164813","7172040"
"Adhoc","1964","362070","75023","56.47","55.77","31.1557813233145","26.1833446838994","2386","2004"
"World","1964","236584771","51553560","61.9","60.6","182.14506909848","126.423207257435","10205795","7164693"
"Adhoc","1965","360184","73457","55.61","54.69","29.8277177019578","25.10681891346","2267","1903"
"World","1965","242489468","53238663","61.5","59.8","179.266726085153","124.562739123914","10206233","7167379"
"Adhoc","1966","359789","71725","55","53.94","28.8911038331552","24.3569695201954","2168","1821"
"World","1966","249764016","54186917","62","60.6","176.931231677714","122.941138295905","10215911","7171754"
"Adhoc","1967","356002","69773","54.39","53.34","28.191395603842","23.7960829321898","2083","1748"
