"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Africa","1950","19523576","4465598","7.06","6.89",,,,
"Northern Africa","1950","4219086","1020560","0","0",,,,
"Southern Africa","1950","1199326","263598","2.01","2.1",,,,
"Eastern Africa","1950","5977974","1369127","0.04","0.04",,,,
"Western Africa","1950","5938815","1319509","22.77","22.87",,,,
"Middle Africa","1950","2188375","492804","0","0",,,,
"Asia","1950","100981804","23021808","14.97","14.32",,,,
"Eastern Asia","1950","47298988","10970125","11.86","11.03",,,,
"Central Asia","1950","960198","275583","0","0",,,,
"Southern Asia","1950","36700132","8157709","18.52","17.98",,,,
"South-Eastern Asia","1950","12151455","2716563","18.42","19.14",,,,
"Western Asia","1950","3871031","901828","12.09","11.02",,,,
"Americas","1950","23171121","5132942","42.75","42.2",,,,
"Northern America","1950","9647309","2105528","100","100",,"37.3604190952527",,
"Latin America and the Caribbean","1950","13523812","3027414","1.9","2",,,,
"Central America","1950","3371336","739090","0","0",,,,
"South America","1950","9091920","2058696","0.38","0.4",,,,
"Caribbean","1950","1060556","229628","21","22.79",,,,
"Europe","1950","26320154","6678744","31.19","28.23",,,,
"Northern Europe","1950","3599385","781702","86","85.56",,"34.8039200018338",,
"Southern Europe","1950","5530851","1255997","40.65","41.04",,,,
"Eastern Europe","1950","11341239","3297397","0","0",,,,
"Western Europe","1950","5848679","1343648","48.97","52.16",,"47.0667105156166",,
"Oceania","1950","770570","170066","78.09","78.23",,"32.6942085310429",,
"Australia and New Zealand","1950","573773","126828","100","100",,"28.6926312289945",,
"Melanesia","1950","174698","38340","16.03","16.19",,,,
"Micronesia","1950","7588","1689","0","0",,,,
"Polynesia","1950","14511","3209","0","0",,,,
"Africa","1951","20162919","4533773","10.65","10.42",,,,
"Northern Africa","1951","4445796","1019228","0","0",,,,
"Southern Africa","1951","1253989","287079","1.99","1.94",,,,
"Eastern Africa","1951","6165920","1385785","12.08","11.84",,,,
"Western Africa","1951","6046282","1334003","22.8","22.7",,,,
"Middle Africa","1951","2250932","507678","0","0",,,,
"Asia","1951","107291311","25480100","21.06","18.71",,,,
"Eastern Asia","1951","51005291","12372043","14.09","11.02",,,,
"Central Asia","1951","1076470","263874","0","0",,,,
"Southern Asia","1951","38296366","8857664","19.61","17.92",,,,
"South-Eastern Asia","1951","12792340","3000880","57.72","56.16","246.64412062057","189.976071118959",,
"Western Asia","1951","4120844","985639","12.38","13.48",,,,
"Americas","1951","24064631","5235481","55.75","54.77","80.5587143280591","73.7936543008595",,
"Northern America","1951","9943628","2075673","100","100","41.9419958488324","36.2999407821902",,"76971"
"Latin America and the Caribbean","1951","14121003","3159808","24.59","25.06",,,,
"Central America","1951","3526442","810894","75.46","75.6",,"178.937523303723",,
"South America","1951","9500001","2108173","6.05","5.85",,,,
"Caribbean","1951","1094560","240741","21.58","22.99",,,,
"Europe","1951","27910432","6115773","30.67","26.64",,,,
"Northern Europe","1951","3572981","658744","92.97","92","39.2533998131264","33.754246816384",,"22203"
"Southern Europe","1951","5647387","1143908","40.32","38.62",,,,
"Eastern Europe","1951","12668516","3069385","0","0",,,,
"Western Europe","1951","6021548","1243736","49.19","46.73",,,,
"Oceania","1951","800383","166502","78.41","76.72","40.8148634969518","32.1801904206397",,"5845"
"Australia and New Zealand","1951","597566","121243","100","100","35.1193908619719","28.186151489762",,"3414"
"Melanesia","1951","179662","39937","15.94","15.54",,,,
"Micronesia","1951","7978","1839","0","0",,,,
"Polynesia","1951","15177","3483","8.93","8.35",,,,
"Africa","1952","20669273","4626628","13.77","13.65",,,,
"Northern Africa","1952","4601707","1031571","0","0",,,,
"Southern Africa","1952","1315687","304809","6.61","6.15",,,,
"Eastern Africa","1952","6310456","1411053","21.55","21.68",,,,
"Western Africa","1952","6133666","1357019","22.8","22.61",,,,
"Middle Africa","1952","2307757","522176","0","0",,,,
"Asia","1952","114074895","27284305","19.94","17.37",,,,
"Eastern Asia","1952","54821515","13305468","12.67","9.17",,,,
"Central Asia","1952","1155652","270410","0","0",,,,
"Southern Asia","1952","40159118","9419285","18.75","16.83",,,,
"South-Eastern Asia","1952","13555468","3234568","56.77","54.97","266.624573518622","184.512590215544",,"678374"
"Western Asia","1952","4383142","1054574","13.02","14.71",,,,
"Americas","1952","24866159","5375438","63.74","62.9","105.368586667663","81.2375841353687",,"478242"
"Northern America","1952","10140294","2071873","100","100","40.6267711343869","35.149564965079",,"76518"
"Latin America and the Caribbean","1952","14725865","3303565","38.77","39.64",,,,
"Central America","1952","3717179","868892","75.74","76.26","243.661707398479","167.415289392184",,"159092"
"South America","1952","9869856","2179610","25.76","25.99",,,,
"Caribbean","1952","1138830","255063","30.83","31.51",,,,
"Europe","1952","28277708","5747087","29.34","24.76",,,,
"Northern Europe","1952","3431697","580124","92.58","90.73","37.7965761867611","32.2897301785928",,"21210"
"Southern Europe","1952","5604699","1073161","39.52","36.71",,,,
"Eastern Europe","1952","13205851","2907891","0","0",,,,
"Western Europe","1952","6035461","1185911","48.15","42.39",,,,
"Oceania","1952","816849","164943","78.74","76.11","40.7565630473478","32.377695583632",,"6007"
"Australia and New Zealand","1952","607576","117875","100","100","34.3413538903479","27.6427887734832",,"3439"
"Melanesia","1952","184930","41394","18.5","17.82",,,,
"Micronesia","1952","8417","1959","0","0",,,,
"Polynesia","1952","15926","3715","8.65","7.83",,,,
"Africa","1953","21125846","4736920","17.56","17.34",,,,
"Northern Africa","1953","4733627","1052811","12.02","11.89",,,,
"Southern Africa","1953","1371512","318123","6.43","5.96",,,,
"Eastern Africa","1953","6440265","1442584","25.36","25.24",,,,
"Western Africa","1953","6220871","1387005","22.83","22.58",,,,
"Middle Africa","1953","2359571","536397","0","0",,,,
"Asia","1953","119598225","28423413","22.84","20.54",,,,
"Eastern Asia","1953","57586806","13750843","11.59","8.16",,,,
"Central Asia","1953","1235991","286859","0","0",,,,
"Southern Asia","1953","41865949","9850426","18.1","16.32",,,,
"South-Eastern Asia","1953","14293732","3427328","70.4","68.86","244.451534145216","163.238384250907",,"622615"
"Western Asia","1953","4615747","1107957","65.05","67.73","301.664009831952","205.15418701377",,
"Americas","1953","25646274","5532244","63.8","62.84","109.002730486215","77.7741335232086",,"468382"
"Northern America","1953","10334178","2091605","100","100","39.523723070395","34.1968233317302",,"76743"
"Latin America and the Caribbean","1953","15312096","3440639","39.38","40.25",,,,
"Central America","1953","3901439","915115","76.01","76.62","228.603922615165","157.309429465079",,"153773"
"South America","1953","10225129","2256984","25.8","26.02",,,,
"Caribbean","1953","1185528","268540","35.89","35.97",,,,
"Europe","1953","28280090","5521435","29.71","24.78",,,,
"Northern Europe","1953","3308730","538037","92.49","90.15","36.1545943051815","30.88715918081",,"20310"
"Southern Europe","1953","5544218","1034167","38.74","35.41",,,,
"Eastern Europe","1953","13399830","2790663","0","0",,,,
"Western Europe","1953","6027312","1158568","53","44.64","47.8030969045723",,,"50815"
"Oceania","1953","831138","165464","78.49","75.39","40.040570481467","31.5194698744886",,"6005"
"Australia and New Zealand","1953","615724","116813","100","100","33.4746466806345","27.0126893543162",,"3471"
"Melanesia","1953","189980","42703","18.53","17.86",,,,
"Micronesia","1953","8820","2052","0","0",,,,
"Polynesia","1953","16614","3896","8.44","7.6",,,,
"Africa","1954","21603450","4861212","27.58","28.08",,,,
"Northern Africa","1954","4866390","1080822","30.37","32.47",,,,
"Southern Africa","1954","1420118","327892","9.25","9.12",,,,
"Eastern Africa","1954","6577511","1479195","38.35","39.06",,,,
"Western Africa","1954","6328108","1422903","22.89","22.63",,,,
"Middle Africa","1954","2411323","550400","15.73","15.35",,,,
"Asia","1954","123319264","28936051","49.55","48.05",,,,
"Eastern Asia","1954","58861392","13738776","10.93","7.71",,,,
"Central Asia","1954","1326792","307960","0","0",,,,
