"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"Adhoc","1950","24473040","5458973","18.08","18.99",,,,,,
"World","1950","336319720","77921508","20.6","19.6",,,,,,
"Adhoc","1951","25689177","5968744","58.01","56.24","255.927199007689","174.481725303888","4.31742304700574",,,
"World","1951","355556694","82238370","26.3","23.7",,,,,,
"Adhoc","1952","27107639","6392361","56.98","54.9","250.25712077306","169.123146115245","44.7335898769147",,"1216430","337217"
"World","1952","372835317","85642770","26.7","23.8",,,,,,
"Adhoc","1953","28481862","6747214","70.22","68.7","229.088305169376","153.047079573409","57.7228370185111",,"1141963","450380"
"World","1953","386594449","88007499","28.8","26.2",,,,,,
"Adhoc","1954","29795784","7043403","70.57","69.27","223.983690343797","151.241003180001","44.7869842620407",,"1169449","360860"
"World","1954","396563329","89357452","46.8","45.4",,,,,,
"Adhoc","1955","31135643","7286586","70.38","69.39","220.340649550989","147.078914810857","45.9307985733733",,"1173473","381381"
"World","1955","404364462","89754110","51.2","50.2","209.531189112364","140.001692940367","26.8827871345407",,,
"Adhoc","1956","32893836","7452303","70.11","69.75","214.10064803006","143.006321318697","45.2185047273638","1721968","1175248","386050"
"World","1956","415643650","88903955","52.5","52.9","204.855179790666","136.786894537231","26.4935293277219",,"13258400","2652691"
"Adhoc","1957","34226602","7602159","70.13","70.2","207.998125509388","139.067779866529","44.5394171168359","1722776","1174726","390194"
"World","1957","420933663","87860900","53.1","54.5","200.327486761684","133.869968109356","29.7344556246398",,"13142149","3017391"
"Adhoc","1958","35314218","7742732","70.28","70.67","202.15193323652","135.282851501292","43.8676819249486","1720199","1172321","393640"
"World","1958","423321997","86963850","54.8","56.9","196.792234665535","131.826527102235","29.5827713509362",,"13134627","3047521"
"Adhoc","1959","36329173","7884320","70.47","71.09","196.49810237226","131.622150475265","43.2224503510908","1714864","1168049","396623"
"World","1959","425925701","86695646","55.8","58.3","192.718043546023","129.112400843639","29.4250661362445",,"13072741","3081664"
"Adhoc","1960","37414403","8039585","70.63","71.4","191.12331180858","128.167780698113","42.5882144406227","1707848","1162943","399070"
"World","1960","430931295","87545671","56.4","59.1","189.301827016294","126.81703854068","31.1466913446481","19276083","13064028","3319498"
"Adhoc","1961","38467017","8212607","70.92","71.51","186.339101937105","125.302497059946","41.8904787296437","1702592","1160862","400336"
"World","1961","433547262","89785704","57.7","59.1","186.855183415073","125.269997969637","30.5468251252034","19355347","13137321","3314067"
"Adhoc","1962","39503300","8410229","71.07","71.49","181.995072354336","122.569562677409","41.445502828639","1697868","1157928","403519"
"World","1962","441220835","93222465","58.1","58.5","184.791008323552","123.951688809313","30.5048738075676","19480103","13233293","3368541"
"Adhoc","1963","40544151","8623978","71.12","71.4","177.497775859327","119.638702624467","40.9007054670103","1688313","1151306","405295"
"World","1963","452537185","97303866","58.8","58.2","182.694558631127","122.399329521821","31.328733570266","19596356","13297738","3518709"
"Adhoc","1964","41562197","8841080","86.67","86.44","155.702383823006","104.572489739182","40.0999072926945","1500181","1024156","404064"
"World","1964","464713866","101273943","61.9","60.6","180.1179964203","120.058943981686","30.4977161264655","19635172","13261400","3479737"
"Adhoc","1965","42548826","9050903","86.68","86.33","151.286667097405","102.147066924646","39.6006094229894","1488327","1018461","405415"
"World","1965","476044224","104579327","61.5","59.7","177.128081558983","118.258533792009","31.1275011054476","19620688","13262687","3602292"
"Adhoc","1966","43540944","9244119","86.63","86.3","147.407965710491","99.7176874825999","39.1081580625083","1475320","1010106","406405"
"World","1966","490442255","106492317","62","60.6","174.717110245045","116.627696703906","30.6779352394178","19629955","13260095","3594357"
"Adhoc","1967","44471649","9431205","86.63","86.31","143.570649721296","97.308788095165","38.5853113284233","1460434","1000534","406619"
"World","1967","500815419","107801711","61.9","60.8","172.433855527227","114.990979534767","32.1775867727149","19624845","13230737","3810271"
"Adhoc","1968","45347149","9610149","96.18","96.15","139.201260580526","94.5602928558121","37.9151399348348","1437425","985963","404776"
"World","1968","508157654","108625141","64.1","63.2","169.680642114131","113.132332913317","32.1786113604042","19530896","13150599","3844540"
"Adhoc","1969","46186063","9778520","96.22","96.2","134.760268458394","91.5581425856312","41.5813732960906","1410652","967238","449288"
"World","1969","514368229","109181822","91.3","91.8","150.302845139678","100.720239165608","48.6709900331253","17372380","11799251","5857615"
"Adhoc","1970","47012286","9934244","96.24","96.21","130.554880457307","89.2560611289844","41.032272067326","1384402","954395","448232"
"World","1970","521023952","109671530","93.2","93.3","146.973809066835","98.9470800715339","48.3103006365916","17166643","11681825","5842916"
"Adhoc","1971","47922895","10066976","96.24","96.16","126.911868386618","87.0259983041225","40.2728452426284","1361838","940759","444336"
"World","1971","528500068","109973086","95.1","95.1","144.39841765917","97.2963522977918","47.903522213066","16967255","11532220","5810478"
"Adhoc","1972","48697602","10190235","96.2","96.06","123.415447801634","84.8644323566362","39.6965577470049","1338705","926495","441944"
"World","1972","533726795","110295562","95.5","95.4","141.638872856821","95.5034291184911","47.6698123556908","16700765","11338085","5786759"
"Adhoc","1973","49366559","10300888","96.15","95.97","119.99126603358","82.7389155069749","39.1298517783727","1314343","911435","439226"
"World","1973","537414006","110557547","95.5","95.3","138.848147714698","93.7086835572617","47.5592218221103","16391248","11123340","5768909"
"Adhoc","1974","49956507","10396152","96.15","95.97","116.677619237634","80.6714341127545","37.0506165835726","1289455","896035","419058"
"World","1974","539859165","110665839","96.9","96.8","135.199169058342","91.4942064232779","47.2492185915503","15948568","10846916","5721918"
"Adhoc","1975","50495784","10476363","98.73","98.66","118.33086917877","80.7757281112112","36.2843837725069","1320767","904389","413409"
"World","1975","541564466","110591596","97.3","97.2","132.672100912122","89.8019366620739","46.8253620376934","15632392","10631219","5662116"
"Adhoc","1976","51058128","10537806","98.72","98.66","114.309820843708","78.5598535204906","35.5695089212712","1286016","885618","408276"
"World","1976","542883139","110131001","97.3","97.3","129.609998322428","87.8584129810094","46.4619328604155","15255801","10394510","5616940"
"Adhoc","1977","51477157","10585187","98.72","98.68","110.776397425907","76.4656809861404","35.4287066327584","1254301","868833","409787"
"World","1977","542518821","109552977","97.5","97.5","126.735633285927","86.0016972846647","46.4514391457556","14921419","10188876","5626449"
"Adhoc","1978","51823302","10635908","99.78","99.8","108.387120175329","75.0582867506381","34.6493834261509","1236086","859777","403947"
"World","1978","541613707","109191126","97.8","97.8","123.781755061458","84.1103865927929","45.787979482788","14612081","10005167","5571901"
"Adhoc","1979","52202376","10711862","99.79","99.81","104.94413732742","73.0179746094698","33.8455018470567","1206036","843250","397746"
"World","1979","541881102","109481278","98.2","98.3","120.627864192276","82.1386514553473","45.0300201949912","14317339","9840290","5521778"
"Adhoc","1980","52705474","10826344","99.8","99.81","101.613326498734","71.0012062750035","33.0414513949707","1177190","826827","391307"
"World","1980","544633768","110709858","98.7","98.8","117.59085621757","80.1775084352523","44.3323894518204","14079828","9706979","5496519"
"Adhoc","1981","53235581","10975374","99.8","99.8","98.3906559720553","69.0307797275866","32.1709935084146","1148964","810227","383654"
"World","1981","547785272","112915166","99.1","99.1","114.369080839681","78.1103261707447","43.4511254971599","13865721","9590986","5465898"
"Adhoc","1982","53889523","11162457","99.8","99.79","95.3111495221316","67.1278489462334","31.4806131012455","1121212","793304","377573"
"World","1982","554645213","115957050","99.4","99.4","111.213760651543","76.0895960923516","42.5424609984297","13695564","9502407","5443114"
"Adhoc","1983","54610680","11357009","99.84","99.82","92.3553794472881","65.2699215753043","30.6169724523157","1093318","775545","368767"
"World","1983","564321584","119522148","99.4","99.4","108.128152722124","74.1110419479726","41.5756152518026","13553289","9427373","5416401"
"Adhoc","1984","55281147","11517557","99.83","99.79","89.5624337911947","63.5004040380594","29.7891543628462","1065503","757416","359744"
"World","1984","575418064","123165212","99.6","99.6","105.2609825395","72.2887303175324","40.6593583110812","13440251","9368337","5393018"
"Adhoc","1985","55824174","11614662","100","100","87.0458706022029","61.9209867031615","29.2382440630172","1039155","740263","353533"
"World","1985","587134637","126513998","100","100","102.450037524256","70.5005242604047","40.1701851318397","13314360","9294400","5414491"
"Adhoc","1986","56485588","11614976","100","100","84.2000849740192","60.1088435453625","28.5688093459967","1007355","719345","345527"
"World","1986","603263395","129406272","100","100","100.071576868809","69.0188461899804","39.2697744409306","13204974","9226414","5359289"
"Adhoc","1987","56774056","11554933","100","100","81.2592480299462","58.248239302755","27.9652424443427","973269","697301","338125"
"World","1987","617090749","132074641","100","100","97.9833370395513","67.7152900740438","38.4732931696021","13076875","9138997","5292351"
"Adhoc","1988","56798339","11461392","100","100","78.2221701945657","56.3441017641876","27.3957347622153","937281","674402","331044"
"World","1988","628327099","134061451","100","100","96.1794313233862","66.5780469739997","37.7918643133046","12924379","9028350","5214719"
"Adhoc","1989","56745558","11375031","100","100","75.1208768609857","54.3949695412638","28.4196673715919","900003","650758","343123"
"World","1989","636314428","134828128","100","100","94.5846993694554","65.572827671772","37.0990014553772","12737375","8891791","5110822"
"Adhoc","1990","56761365","11326282","100","100","72.0075588183039","52.4367777425918","27.7984736121319","862027","626651","335069"
"World","1990","640910717","134081431","100","100","93.2132154894959","64.6789241747278","36.6596798743755","12524434","8732880","5021819"
"Adhoc","1991","56726222","11346278","100","100","68.9448318021912","50.515210160759","27.1511458582012","823822","602311","326258"
