"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"Africa","1950","38522836","8781755","7.2","7.07",,,,,,
"Northern Africa","1950","8213394","1974988","0","0",,,,,,
"Southern Africa","1950","2334730","505079","2.08","2.21",,,,,,
"Eastern Africa","1950","11775929","2691004","0.04","0.04",,,,,,
"Western Africa","1950","11826891","2627465","23.01","23.16",,,,,,
"Middle Africa","1950","4371892","983219","0","0",,,,,,
"Asia","1950","199025204","45639171","14.96","14.31",,,,,,
"Eastern Asia","1950","92405989","21612570","12.13","11.27",,,,,,
"Central Asia","1950","1914326","547500","0","0",,,,,,
"Southern Asia","1950","72546137","16243703","18.26","17.65",,,,,,
"South-Eastern Asia","1950","24473040","5458973","18.08","18.99",,,,,,
"Western Asia","1950","7685712","1776425","11.79","10.77",,,,,,
"Americas","1950","45557535","10076698","42.54","42.09",,,,,,
"Northern America","1950","18872888","4121053","100","100",,"33.2316772155304","0",,,
"Latin America and the Caribbean","1950","26684647","5955645","1.9","2.01",,,,,,
"Central America","1950","6587369","1445251","0","0",,,,,,
"South America","1950","18005751","4057764","0.38","0.4",,,,,,
"Caribbean","1950","2091527","452630","21.01","22.86",,,,,,
"Europe","1950","51663919","13082063","30.99","27.96",,,,,,
"Northern Europe","1950","7024158","1519274","86","85.57",,"30.9699102989039","0",,,
"Southern Europe","1950","10856491","2462024","40.45","40.92",,,,,,
"Eastern Europe","1950","22375181","6477701","0","0",,,,,,
"Western Europe","1950","11408089","2623064","48.88","51.49",,"41.9681686636919","0",,,
"Oceania","1950","1548704","341528","75.92","75.94",,"29.6272396173132","0",,,
"Australia and New Zealand","1950","1120742","247292","100","100",,"25.8024134902658","0",,,
"Melanesia","1950","384931","84721","14.29","14.23",,,,,,
"Micronesia","1950","14965","3381","0","0",,,,,,
"Polynesia","1950","28066","6134","0","0",,,,,,
"Africa","1951","39769607","8949832","10.88","10.55",,,,,,
"Northern Africa","1951","8647112","1990883","0","0",,,,,,
"Southern Africa","1951","2428588","559337","2.09","2.04",,,,,,
"Eastern Africa","1951","12152493","2725034","12.35","11.93",,,,,,
"Western Africa","1951","12054904","2676039","23.01","22.7",,,,,,
"Middle Africa","1951","4486510","998539","0","0",,,,,,
"Asia","1951","212112380","50689438","21.16","18.79",,,,,,
"Eastern Asia","1951","100356326","24693476","14.22","11.15",,,,,,
"Central Asia","1951","2190130","564257","0","0",,,,,,
"Southern Asia","1951","75711946","17515817","19.44","18",,,,,,
"South-Eastern Asia","1951","25689177","5968744","58.01","56.24","232.793497072527","174.285297621067","1.96409827542819",,,
"Western Asia","1951","8164801","1947144","12.13","13.43",,,,,,
"Americas","1951","47298646","10275112","55.6","54.65","74.3459534411313","67.9321009220202","0",,,
"Northern America","1951","19456409","4059301","100","100","37.4849754788451","32.2516436010858","0",,"133389","0"
"Latin America and the Caribbean","1951","27842237","6215811","24.58","25.04",,,,,,
"Central America","1951","6895324","1585968","75.92","75.41",,"167.767487803094","0",,,
"South America","1951","18790529","4156405","6.08","6.04",,,,,,
"Caribbean","1951","2156384","473438","21.63","23.13",,,,,,
"Europe","1951","54770025","11988205","30.47","26.53",,,,,,
"Northern Europe","1951","6969041","1285951","93","91.96","35.1216403690631","30.045989617222","0",,"38523","0"
"Southern Europe","1951","11075489","2232721","40.18","38.7",,,,,,
"Eastern Europe","1951","24967970","6029474","0","0",,,,,,
"Western Europe","1951","11757525","2440059","48.98","46.44",,,,,,
