"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
1950,336319720,77921508,20.6,19.6,,,,,,
1951,355556694,82238370,26.3,23.7,,,,,,
1952,372835317,85642770,26.7,23.8,,,,,,
1953,386594449,88007499,28.8,26.2,,,,,,
1954,396563329,89357452,46.8,45.4,,,,,,
1955,404364462,89754110,51.2,50.2,209.531189112364,140.001692940367,26.8827871345407,,,
1956,415643650,88903955,52.5,52.9,204.855179790666,136.786894537231,26.4935293277219,,13258400,2652691
1957,420933663,87860900,53.1,54.5,200.327486761684,133.869968109356,29.7344556246398,,13142149,3017391
1958,423321997,86963850,54.8,56.9,196.792234665535,131.826527102235,29.5827713509362,,13134627,3047521
1959,425925701,86695646,55.8,58.3,192.718043546023,129.112400843639,29.4250661362445,,13072741,3081664
1960,430931295,87545671,56.4,59.1,189.301827016294,126.81703854068,31.1466913446481,19276083,13064028,3319498
1961,433547262,89785704,57.7,59.1,186.855183415073,125.269997969637,30.5468251252034,19355347,13137321,3314067
1962,441220835,93222465,58.1,58.5,184.791008323552,123.951688809313,30.5048738075676,19480103,13233293,3368541
1963,452537185,97303866,58.8,58.2,182.694558631127,122.399329521821,31.328733570266,19596356,13297738,3518709
1964,464713866,101273943,61.9,60.6,180.1179964203,120.058943981686,30.4977161264655,19635172,13261400,3479737
1965,476044224,104579327,61.5,59.7,177.128081558983,118.258533792009,31.1275011054476,19620688,13262687,3602292
1966,490442255,106492317,62,60.6,174.717110245045,116.627696703906,30.6779352394178,19629955,13260095,3594357
1967,500815419,107801711,61.9,60.8,172.433855527227,114.990979534767,32.1775867727149,19624845,13230737,3810271
1968,508157654,108625141,64.1,63.2,169.680642114131,113.132332913317,32.1786113604042,19530896,13150599,3844540
1969,514368229,109181822,91.3,91.8,150.302845139678,100.720239165608,48.6709900331253,17372380,11799251,5857615
1970,521023952,109671530,93.2,93.3,146.973809066835,98.9470800715339,48.3103006365916,17166643,11681825,5842916
1971,528500068,109973086,95.1,95.1,144.39841765917,97.2963522977918,47.903522213066,16967255,11532220,5810478
1972,533726795,110295562,95.5,95.4,141.638872856821,95.5034291184911,47.6698123556908,16700765,11338085,5786759
1973,537414006,110557547,95.5,95.3,138.848147714698,93.7086835572617,47.5592218221103,16391248,11123340,5768909
1974,539859165,110665839,96.9,96.8,135.199169058342,91.4942064232779,47.2492185915503,15948568,10846916,5721918
1975,541564466,110591596,97.3,97.2,132.672100912122,89.8019366620739,46.8253620376934,15632392,10631219,5662116
1976,542883139,110131001,97.3,97.3,129.609998322428,87.8584129810094,46.4619328604155,15255801,10394510,5616940
1977,542518821,109552977,97.5,97.5,126.735633285927,86.0016972846647,46.4514391457556,14921419,10188876,5626449
1978,541613707,109191126,97.8,97.8,123.781755061458,84.1103865927929,45.787979482788,14612081,10005167,5571901
1979,541881102,109481278,98.2,98.3,120.627864192276,82.1386514553473,45.0300201949912,14317339,9840290,5521778
