"Region","ARR.1990.2018.median","ARR.1990.2000.median","ARR.2000.2018.median","Required.ARR.median","Change.in.ARR.median","Percentage.decline.1990.2018.median","Percentage.decline.1990.2000.median","Percentage.decline.2000.2018.median"
"Africa",2.98293006749082,1.53340963183828,3.7882191984089,,2.25480956657063,56.6221142162819,14.2162818955043,49.4334277620396
"Northern Africa",3.64922746104406,3.48704071583201,3.73933120838409,,0.252290492552085,64.0047675804529,29.4398092967819,48.9864864864865
"Southern Africa",1.83606767539629,-2.45122458032985,4.21789670635525,,6.6691212866851,40.1960784313725,-27.7777777777778,53.1969309462916
"Eastern Africa",4.07116519121251,2.33881150947847,5.03358390328698,,2.69477239380851,68.0157391793142,20.8544125913434,59.5880681818182
"Western Africa",2.57095791499129,1.67586897037018,3.0682295508919,,1.39236058052172,51.318359375,15.4296875,42.4364896073903
"Middle Africa",2.67577027155667,0.877055804191056,3.67505608675979,,2.79800028256874,52.7262813522355,8.3969465648855,48.3928571428571
"Asia",4.08690906430787,2.86565377751706,4.76538422363611,,1.89973044611905,68.1564245810056,24.9162011173184,57.5892857142857
"Eastern Asia",6.41328525158626,3.80097894229741,7.8645665345245,,4.06358759222709,83.399209486166,31.6205533596838,75.7225433526011
"Central Asia",4.10184188845216,1.36914817088126,5.62000506488044,,4.25085689399918,68.2892906815021,12.7955493741307,63.6363636363636
"Southern Asia",4.0153424407243,3.13907819544565,4.50215591032356,,1.36307771487791,67.5118858954041,26.9413629160063,55.531453362256
"South-Eastern Asia",3.72113194639844,3.97166305293469,3.58194799832275,,-0.389715054611944,64.7222222222222,32.7777777777778,47.5206611570248
"Western Asia",3.99554427220439,4.37411728244271,3.78522593318309,,-0.588891349259624,67.3312883435583,35.4294478527607,49.4061757719715
"Americas",4.12922193031996,4.96936511605324,3.66247571602369,,-1.30688940002955,68.5314685314685,39.1608391608392,48.2758620689655
"Northern America",1.93427600868837,2.81639757995818,1.44420846909403,,-1.37218911086415,41.8181818181818,24.5454545454545,22.8915662650602
"Latin America and the Caribbean",4.29554481400252,5.09605367360761,3.85081766977747,,-1.24523600383014,69.96336996337,39.9267399267399,50
"Central America",4.29275286305451,4.92294319144107,3.94264712506198,,-0.980296066379092,69.939879759519,38.877755511022,50.8196721311475
"South America",4.62076252973473,5.48706588835069,4.1394828860592,,-1.34758300229149,72.5776965265082,42.2303473491773,52.5316455696203
"Caribbean",2.43240928330599,2.92642623773752,2.15795541973291,,-0.76847081800461,49.3927125506073,25.3711201079622,32.1880650994575
"Europe",3.94688203460466,3.92561703272257,3.95869592453915,,0.0330788918165852,66.8831168831169,32.4675324675325,50.9615384615385
"Northern Europe",3.27246689955055,3.94993808240869,2.89609402018492,,-1.05384406222377,60,32.6315789473684,40.625
"Southern Europe",4.80324694627513,6.3833894406495,3.92539000495603,,-2.45799943569347,73.943661971831,47.1830985915493,50.6666666666667
"Eastern Europe",3.99296562330433,2.01739642651056,5.09050406596753,,3.07310763945696,67.3076923076923,18.2692307692308,60
"Western Europe",2.9991094812565,4.70003629245736,2.05415014170047,,-2.64588615075688,56.8181818181818,37.5,30.9090909090909
"Oceania",1.91792794591719,1.14326412788473,2.34829673371301,,1.20503260582828,41.5512465373961,10.803324099723,34.472049689441
"Australia and New Zealand",3.12667406197821,4.05465108108164,2.61113127358742,,-1.44351980749422,58.3333333333333,33.3333333333333,37.5
"Melanesia",2.00797710884822,1.70625517030763,2.17560040803743,,0.4693452377298,43.0065359477124,15.6862745098039,32.4031007751938
"Micronesia",1.76132388759739,1.78359948687237,1.74894855466685,,-0.0346509322055122,38.9312977099237,16.3358778625954,27.007299270073
"Polynesia",2.01795028808454,3.09501119846421,1.41958311565139,,-1.67542808281282,43.1654676258993,26.6187050359712,22.5490196078431
