ISO3Code,,"A column with name like ""ISO3"" is required"
AFG,,"Accept file types: csv, xlsx, xls"
AGO,,
ARM,,
AZE,,
BGD,,
BEN,,
BOL,,
BFA,,
BDI,,
KHM,,
CMR,,
CAF,,
TCD,,
COM,,
COG,,
COD,,
CIV,,
CUB,,
DJI,,
ERI,,
ETH,,
GMB,,
GEO,,
GHA,,
GIN,,
GNB,,
GUY,,
HTI,,
IND,,
IDN,,
KEN,,
KIR,,
PRK,,
KGZ,,
LAO,,
LSO,,
LBR,,
MDG,,
MWI,,
MLI,,
MRT,,
MDA,,
MOZ,,
MMR,,
NPL,,
NIC,,
NER,,
NGA,,
PAK,,
PNG,,
RWA,,
STP,,
SEN,,
SLE,,
SLB,,
SOM,,
SSD,,
SDN,,
TJK,,
TZA,,
TLS,,
TGO,,
UGA,,
UZB,,
VNM,,
YEM,,
ZMB,,
ZWE,,
