ISO3Code,OfficialName,Region
AFG,Afghanistan,SP humanitarian countries
CAF,Central African Republic,SP humanitarian countries
COD,Democratic Republic of the Congo,SP humanitarian countries
ETH,Ethiopia,SP humanitarian countries
ERI,Eritrea,SP humanitarian countries
PSE,State of Palestine,SP humanitarian countries
HTI,Haiti,SP humanitarian countries
IRQ,Iraq,SP humanitarian countries
LBN,Lebanon,SP humanitarian countries
LBY,Libya,SP humanitarian countries
MDG,Madagascar,SP humanitarian countries
MLI,Mali,SP humanitarian countries
NGA,Nigeria,SP humanitarian countries
SOM,Somalia,SP humanitarian countries
SSD,South Sudan,SP humanitarian countries
SDN,Sudan,SP humanitarian countries
SYR,Syrian Arab Republic,SP humanitarian countries
UKR,Ukraine,SP humanitarian countries
BFA,Burkina Faso,SP humanitarian countries
VEN,Venezuela (Bolivarian Republic of),SP humanitarian countries
YEM,Yemen,SP humanitarian countries
