ISO3Code,OfficialName,Region
AND,Andorra,High income countries
ATG,Antigua and Barbuda,High income countries
AUS,Australia,High income countries
AUT,Austria,High income countries
BHS,Bahamas,High income countries
BHR,Bahrain,High income countries
BRB,Barbados,High income countries
BEL,Belgium,High income countries
VGB,British Virgin Islands,High income countries
BRN,Brunei Darussalam,High income countries
CAN,Canada,High income countries
CHL,Chile,High income countries
HRV,Croatia,High income countries
CYP,Cyprus,High income countries
CZE,Czechia,High income countries
DNK,Denmark,High income countries
EST,Estonia,High income countries
FIN,Finland,High income countries
FRA,France,High income countries
DEU,Germany,High income countries
GRC,Greece,High income countries
HUN,Hungary,High income countries
ISL,Iceland,High income countries
IRL,Ireland,High income countries
ISR,Israel,High income countries
ITA,Italy,High income countries
JPN,Japan,High income countries
KOR,Republic of Korea,High income countries
KWT,Kuwait,High income countries
LVA,Latvia,High income countries
LTU,Lithuania,High income countries
LUX,Luxembourg,High income countries
MLT,Malta,High income countries
MCO,Monaco,High income countries
OMN,Oman,High income countries
NRU,Nauru,High income countries
NLD,Netherlands,High income countries
NZL,New Zealand,High income countries
NOR,Norway,High income countries
PAN,Panama,High income countries
POL,Poland,High income countries
PRT,Portugal,High income countries
QAT,Qatar,High income countries
ROU,Romania,High income countries
KNA,Saint Kitts and Nevis,High income countries
SMR,San Marino,High income countries
SAU,Saudi Arabia,High income countries
SYC,Seychelles,High income countries
SGP,Singapore,High income countries
SVK,Slovakia,High income countries
SVN,Slovenia,High income countries
ESP,Spain,High income countries
SWE,Sweden,High income countries
CHE,Switzerland,High income countries
TTO,Trinidad and Tobago,High income countries
ARE,United Arab Emirates,High income countries
TCA,Turks and Caicos Islands,High income countries
GBR,United Kingdom,High income countries
USA,United States,High income countries
URY,Uruguay,High income countries
