ISO3Code,OfficialName,Region
AFG,Afghanistan,Low income countries
BDI,Burundi,Low income countries
BFA,Burkina Faso,Low income countries
CAF,Central African Republic,Low income countries
COD,Democratic Republic of the Congo,Low income countries
ERI,Eritrea,Low income countries
ETH,Ethiopia,Low income countries
GMB,Gambia,Low income countries
GNB,Guinea-Bissau,Low income countries
LBR,Liberia,Low income countries
MDG,Madagascar,Low income countries
MLI,Mali,Low income countries
MOZ,Mozambique,Low income countries
MWI,Malawi,Low income countries
NER,Niger,Low income countries
PRK,Democratic People's Republic of Korea,Low income countries
RWA,Rwanda,Low income countries
SDN,Sudan,Low income countries
SLE,Sierra Leone,Low income countries
SOM,Somalia,Low income countries
SSD,South Sudan,Low income countries
SYR,Syrian Arab Republic,Low income countries
TCD,Chad,Low income countries
TGO,Togo,Low income countries
UGA,Uganda,Low income countries
YEM,Yemen,Low income countries
