"UNCode","CountryName","Code","ISO3Code","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","pop01950","pop01951","pop01952","pop01953","pop01954","pop01955","pop01956","pop01957","pop01958","pop01959","pop01960","pop01961","pop01962","pop01963","pop01964","pop01965","pop01966","pop01967","pop01968","pop01969","pop01970","pop01971","pop01972","pop01973","pop01974","pop01975","pop01976","pop01977","pop01978","pop01979","pop01980","pop01981","pop01982","pop01983","pop01984","pop01985","pop01986","pop01987","pop01988","pop01989","pop01990","pop01991","pop01992","pop01993","pop01994","pop01995","pop01996","pop01997","pop01998","pop01999","pop02000","pop02001","pop02002","pop02003","pop02004","pop02005","pop02006","pop02007","pop02008","pop02009","pop02010","pop02011","pop02012","pop02013","pop02014","pop02015","pop02016","pop02017","pop02018","pop02019","pop02020","pop02021","pop02022","pop02023","pop02024","pop02025","pop02026","pop02027","pop02028","pop02029","pop02030","pop02031","pop02032","pop02033","pop02034","pop02035","pop02036","pop02037","pop02038","pop02039","pop02040","pop02041","pop02042","pop02043","pop02044","pop02045","pop02046","pop02047","pop02048","pop02049","pop02050","pop1to41950","pop1to41951","pop1to41952","pop1to41953","pop1to41954","pop1to41955","pop1to41956","pop1to41957","pop1to41958","pop1to41959","pop1to41960","pop1to41961","pop1to41962","pop1to41963","pop1to41964","pop1to41965","pop1to41966","pop1to41967","pop1to41968","pop1to41969","pop1to41970","pop1to41971","pop1to41972","pop1to41973","pop1to41974","pop1to41975","pop1to41976","pop1to41977","pop1to41978","pop1to41979","pop1to41980","pop1to41981","pop1to41982","pop1to41983","pop1to41984","pop1to41985","pop1to41986","pop1to41987","pop1to41988","pop1to41989","pop1to41990","pop1to41991","pop1to41992","pop1to41993","pop1to41994","pop1to41995","pop1to41996","pop1to41997","pop1to41998","pop1to41999","pop1to42000","pop1to42001","pop1to42002","pop1to42003","pop1to42004","pop1to42005","pop1to42006","pop1to42007","pop1to42008","pop1to42009","pop1to42010","pop1to42011","pop1to42012","pop1to42013","pop1to42014","pop1to42015","pop1to42016","pop1to42017","pop1to42018","pop1to42019","pop1to42020","pop1to42021","pop1to42022","pop1to42023","pop1to42024","pop1to42025","pop1to42026","pop1to42027","pop1to42028","pop1to42029","pop1to42030","pop1to42031","pop1to42032","pop1to42033","pop1to42034","pop1to42035","pop1to42036","pop1to42037","pop1to42038","pop1to42039","pop1to42040","pop1to42041","pop1to42042","pop1to42043","pop1to42044","pop1to42045","pop1to42046","pop1to42047","pop1to42048","pop1to42049","pop1to42050"
4,"Afghanistan",67,"AFG","AFG","Southern Asia","Southern Asia excluding India","Developing regions","","Least developed countries","","South Asia","South Asia","Asia","Developing countries","Least developed countries","","Eastern Mediterranean","Low income","South Asia","Low income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Fragile","Fragile","Fragile","USAID","Asia","Southern Asia","",1,154912,144042,137619,135014,135896,139954,146301,154185,162802,171231,178556,182674,185434,187513,189945,193553,197672,202860,208967,215766,222986,229482,236195,242768,248801,253939,261214,267817,272368,273167,269378,266021,259054,250773,244122,241327,231714,226438,226826,234547,250659,263139,283862,308674,332196,350767,372421,388586,401311,413682,427656,438366,450208,461942,472047,479646,489259,496865,502239,505123,505381,498585,489410,479871,472871,470554,476336,486706,499033,509495,515276,514330,509018,501239,493883,489150,487993,489320,492143,494971,496654,496831,496044,494389,492092,489353,486189,482552,478588,474501,470453,466726,463112,459504,455739,451695,447528,443142,438652,434210,429936,506666,528987,530446,526584,524945,528978,527883,535431,548421,563611,579776,609686,629578,642815,655431,672636,694268,712569,730044,748661,770966,799957,825177,847645,867953,886146,911234,933065,949006,953638,942318,937537,918947,891234,865219,853983,845376,832669,826798,841402,890670,942840,1009295,1088399,1167455,1230845,1294083,1349432,1396445,1442711,1498200,1564546,1626769,1685095,1737313,1781252,1830008,1868002,1897661,1921304,1941772,1960001,1964095,1957966,1948677,1941200,1919740,1915351,1923196,1933144,1938847,1968704,1978100,1972623,1963819,1960556,1955241,1952461,1952717,1953049,1952213,1958098,1959068,1956011,1951073,1946139,1945407,1939092,1928897,1916616,1903993,1892144,1878559,1863706,1847766,1831240,1817916,1801947,1784139,1765733,1747946
8,"Albania",146,"ALB","ALB","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","OIC","Asia/other","OIC Lower middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Southern Europe","",1,19178,20162,21366,22650,23913,25078,26012,26837,27579,28280,28986,29652,30328,30917,31302,31414,31173,30678,30110,29711,29657,30087,30857,31784,32610,33146,33255,33102,32824,32630,32674,32978,33451,34106,34938,35910,37092,38402,39494,39920,39401,38445,36578,34188,31808,29813,28250,27084,26190,25367,24468,23326,22185,21036,19884,18755,17711,16665,15823,15445,15687,16427,17776,19372,20714,21438,21337,20617,19535,18499,17798,17580,17675,17931,18122,18077,17763,17239,16587,15925,15343,14881,14492,14169,13892,13645,13443,13278,13149,13059,13003,12994,13015,13051,13091,13118,13146,13157,13146,13111,13052,67662,70018,72805,76003,79609,83687,88868,93205,96945,100478,104229,108220,111745,114873,117467,119469,121570,122431,122420,122190,122202,121054,121205,122300,123593,124574,126843,127984,128334,128618,129372,129802,130648,131965,133782,136189,139133,142759,146453,148919,148922,150221,148235,143518,137720,132534,127227,122321,118094,114138,109902,104544,99506,94512,89326,83758,78708,73254,67729,63131,60607,59981,60763,62819,65364,67870,73637,76317,76854,76731,77010,75479,74924,75067,75056,74303,73402,72106,70385,68501,66606,64466,62465,60605,58834,57143,55796,54522,53344,52322,51531,51322,51061,50806,50619,50575,51009,51231,51313,51328,51347
12,"Algeria",50,"DZA","ALG","Northern Africa","Northern Africa","Developing regions","North Africa","","","Middle East and North Africa","Middle East and North Africa","Africa","Developing countries","","North Africa","Africa","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Africa","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","North Africa","Africa","Northern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Northern Africa","",1,152469,175648,194078,207806,216942,221616,219964,216931,213746,212091,213764,220223,230619,243203,255455,265485,270505,273681,276077,279279,284514,292187,301769,312581,323647,334177,342479,350327,357822,365182,372519,378180,383783,388889,393020,395848,396950,396730,395195,392442,388536,383922,378594,371692,362071,349182,332494,313300,294202,278699,269395,267184,270888,280471,295471,315122,339753,368295,397846,424688,446038,459791,468168,470768,467651,459353,445304,426306,405618,387661,375572,372125,374713,380578,385480,386315,381772,373449,363130,353500,346562,343114,342169,343145,345096,347282,349776,352546,355507,358611,361785,365233,368534,371483,373873,375551,376852,377366,376993,375626,373220,535559,549176,581577,615812,646811,677020,733379,763351,778369,790287,807899,817011,834205,858621,884787,909984,947977,974557,993288,1011266,1034233,1060293,1086923,1115369,1145274,1177577,1220615,1256447,1287680,1318597,1353720,1396249,1431110,1460802,1486994,1511311,1535662,1551998,1561615,1565737,1565355,1559714,1549405,1533968,1510950,1478623,1444304,1397372,1342737,1288776,1241206,1178614,1140442,1123468,1123498,1138202,1172750,1225659,1291868,1365457,1443662,1560919,1648138,1712067,1759890,1796831,1822063,1822299,1804506,1777097,1745019,1667572,1622271,1598352,1578645,1550709,1539078,1516170,1484544,1453610,1430084,1410811,1395091,1384071,1376344,1371668,1375071,1379415,1384922,1392281,1402117,1418017,1432431,1445730,1458075,1469707,1483057,1493072,1500005,1503747,1504058
20,"Andorra",167,"AND","AND","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,67,81,95,108,119,127,133,137,140,143,147,150,156,161,167,170,170,167,167,175,195,233,283,332,357,347,290,198,96,10,157,163,4,71,137,186,214,226,230,233,241,259,282,307,326,339,351,356,357,355,353,337,320,303,289,279,283,292,304,321,339,372,408,437,449,440,389,318,240,172,133,129,154,196,237,263,272,267,253,241,234,236,242,253,264,271,277,281,282,282,282,281,279,277,273,269,264,260,254,249,245,225,271,320,370,420,472,529,576,617,653,685,707,731,759,783,797,796,793,789,796,815,805,853,930,985,982,1129,1069,855,622,316,584,647,731,833,913,920,958,992,1021,1053,1065,1111,1175,1236,1264,1287,1295,1284,1274,1296,1393,1445,1475,1496,1511,1448,1439,1467,1494,1481,1431,1424,1431,1426,1409,1488,1447,1331,1205,1117,925,837,829,843,839,898,920,913,907,919,931,951,979,1007,1033,1057,1081,1102,1120,1132,1138,1143,1145,1144,1136,1121,1105,1091,1074,1055
24,"Angola",1,"AGO","ANG","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Upper middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,84313,94559,102457,108267,112149,114225,113693,112619,111434,110704,111043,112508,115406,119209,123145,126629,128595,130322,132111,134387,137463,140014,143454,147663,152481,157777,162299,167370,172986,179165,185871,191576,197900,204496,210968,217101,223487,229610,235853,242700,250435,256996,264620,272880,281236,289381,297085,304774,312967,322317,333204,343097,354576,367116,380057,392929,404970,417111,429162,440960,452397,462137,471667,481300,491509,502641,514488,527331,540856,554601,568181,580389,592562,604795,617274,630128,642606,655525,668699,681912,694980,707133,719251,731243,743035,754580,765274,775803,786221,796618,807055,817225,827509,837790,847909,857751,867007,876044,884936,893794,902694,285522,293458,308558,323614,336800,349295,372725,384297,388968,391942,397512,401998,407071,413443,420190,427214,439338,447188,452642,458811,468743,483162,495166,506721,519536,535503,555866,573631,590711,609373,632090,660337,685631,709257,731693,753144,777457,798061,816666,836354,860978,893370,922489,950284,977802,1005871,1039400,1067605,1093334,1121290,1157037,1203091,1246028,1288583,1332505,1379320,1433172,1481665,1526900,1571230,1617493,1671151,1717125,1758487,1798945,1841909,1887855,1932266,1976492,2021453,2068848,2125813,2176555,2223720,2270830,2321331,2379112,2431862,2481924,2531490,2583101,2641670,2694288,2743173,2790697,2839377,2893546,2941613,2985799,3028540,3072304,3120121,3163727,3204694,3244496,3284840,3330404,3370962,3408276,3444451,3481562
28,"Antigua & Barbuda",105,"ATG","ANT","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,660,796,884,933,954,952,932,906,875,849,827,820,823,837,857,880,906,936,963,981,983,971,946,907,858,800,735,663,594,544,522,543,594,658,709,733,715,673,616,565,535,515,513,527,556,592,632,679,729,768,791,811,813,803,788,775,760,745,732,723,716,715,718,723,730,734,739,741,742,744,745,745,744,742,741,738,734,729,724,719,714,708,703,698,694,689,685,681,678,675,673,671,670,668,667,665,663,663,661,659,658,2552,2604,2770,2930,3050,3140,3360,3453,3474,3469,3477,3433,3418,3430,3454,3479,3491,3533,3592,3645,3679,3753,3766,3727,3651,3546,3415,3251,3067,2889,2727,2474,2369,2364,2390,2413,2618,2708,2734,2758,2799,2603,2512,2492,2501,2528,2580,2672,2787,2898,2967,3066,3111,3105,3073,3048,3048,3026,2997,2965,2939,2911,2894,2888,2887,2887,2900,2910,2918,2924,2933,2949,2959,2964,2965,2963,2961,2953,2943,2928,2911,2892,2872,2851,2828,2807,2787,2767,2748,2729,2712,2703,2692,2681,2671,2661,2660,2654,2649,2643,2635
31,"Azerbaijan",138,"AZE","AZE","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,46473,43202,43095,45314,49247,54365,60687,67088,73097,78294,82294,84503,85312,84842,83376,81237,78439,75048,71537,68492,66332,65522,65649,66468,67568,68644,69597,70526,71531,72763,74306,76149,78182,80381,82710,85103,87876,90640,93015,94541,94906,93801,91674,88551,84537,79813,74354,68334,62446,57558,54273,52855,53143,54741,57012,59483,61784,64066,66734,70390,75367,82130,90087,97632,102619,103561,99275,91158,80966,71380,64458,61285,60806,62145,63871,64906,65019,64565,63825,63244,63140,63592,64383,65363,66326,67112,67750,68218,68480,68503,68274,67863,67206,66374,65483,64620,63898,63229,62593,61980,61376,104903,130051,142471,152575,164534,180169,194682,213089,232989,252091,269467,290268,305524,315932,322812,327005,327429,324332,318591,311439,304009,292123,284550,280446,277857,274736,271622,269951,269128,269508,271782,279493,286165,292463,299384,308071,321138,332990,343948,353545,361251,367922,370538,369350,364542,356187,343258,327467,309800,292057,275690,254848,241004,232830,228188,225710,228698,232741,238500,247137,258128,266113,280014,296203,310232,321559,353484,363867,359929,351373,343922,317942,302504,294763,288299,278720,269845,262214,254917,249074,245403,246127,246530,247172,248383,250667,256467,260610,263666,266074,268189,270422,271393,271343,270514,269014,265640,262819,260204,257482,254355
32,"Argentina",106,"ARG","ARG","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,201902,206775,211163,214806,217568,219421,220829,221657,222187,222778,223763,225553,227911,230587,233198,235504,237440,239196,241375,244767,249922,256657,264728,274202,285096,297171,311946,328009,342584,352115,354352,346591,331797,314371,300606,295047,300810,314514,332371,348809,359710,363636,362478,357668,351541,346011,341574,337485,334487,333431,334818,339771,347298,355756,362849,366949,367082,364200,359792,356061,354594,356250,360041,364789,368766,370735,370371,368110,364744,361454,359114,358331,358388,358950,359478,359564,359362,358760,357857,356814,355757,354988,354152,353271,352373,351478,350944,350397,349787,349050,348137,347361,346375,345239,344036,342832,342021,341168,340235,339157,337893,752919,774345,794146,811771,826772,839455,853964,864557,872462,879039,885244,889389,895027,901812,908629,914753,923492,930737,937733,946932,960286,975396,995092,1019034,1047235,1079933,1119489,1164158,1210662,1251964,1283625,1331149,1345900,1337941,1324706,1318157,1278650,1271310,1286981,1307448,1320448,1356411,1375289,1380301,1380838,1383367,1385313,1382559,1378116,1374004,1371965,1361685,1364468,1375994,1389181,1399035,1420609,1430553,1432133,1432302,1435774,1432159,1435353,1443453,1451352,1455686,1464917,1467686,1465318,1461350,1458106,1451588,1447458,1445175,1442973,1439722,1438627,1436472,1433329,1429858,1426534,1425091,1422641,1419543,1416097,1412599,1410279,1407703,1404874,1401695,1398140,1396178,1393261,1389574,1385448,1381133,1377821,1374195,1370255,1365887,1361027
36,"Australia",169,"AUS","AUS","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Western Pacific","High income: OECD","","High income","","Oceania","","More developed regions","More developed regions","","","","","","","","","","","","","","Oceania","Australia and New Zealand","",1,95156,92023,89999,89316,90110,92366,96145,100555,105066,109032,111843,113199,113232,112601,112243,112827,113937,115797,118135,120543,122683,125965,129167,131438,131677,129221,123159,114477,105208,98219,95529,98291,105328,114547,122946,128368,129488,127687,124167,120799,118980,119818,122071,124921,127146,127895,127083,125019,122296,119780,118141,117296,117216,118153,120369,123960,128785,135015,141566,146973,150235,150875,149242,146622,144875,145301,149212,155201,161889,167311,170097,169926,167216,163089,159200,156756,156517,157661,159641,161588,162868,163572,163698,163524,163465,163818,164967,166456,168174,169965,171714,173722,175643,177463,179171,180737,182461,183991,185297,186359,187180,338812,360591,371720,379829,387237,393744,390917,396028,405270,414746,421728,433002,439842,443538,447388,453953,460721,467835,475419,482266,486742,489360,493476,496984,497479,494616,502563,496619,482072,467429,458363,436183,430854,437853,448154,455959,477830,488748,491546,492653,496043,494216,496528,501756,506115,507390,511529,511659,508741,505120,502163,495160,490914,489416,490928,496109,501663,513282,529268,545956,560114,579686,591006,596200,600186,606567,607319,615939,629944,643557,652612,667671,673941,673353,670639,668949,661351,658357,658852,659801,659154,661202,662032,661828,661849,662916,665692,669054,673057,677468,682267,689658,696631,703362,710046,716774,725302,732894,739650,745595,750706
40,"Austria",168,"AUT","ATR","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,44145,43949,44510,45853,47921,50599,53680,56917,60019,62671,64585,65392,65366,64711,63759,62771,61927,61085,60078,58661,56687,54077,50999,47795,44932,42755,41483,40870,40839,41245,41941,42969,44322,45634,46429,46398,45092,42903,40470,38705,38223,39375,41821,44721,46877,47472,46258,43527,40069,37016,35171,34757,35510,36952,38355,39196,39347,38976,38320,37747,37508,37754,38287,38980,39647,40166,40546,40774,40886,40946,40992,41058,41088,41078,41013,40893,40771,40596,40370,40096,39779,39488,39157,38809,38473,38171,37975,37806,37677,37597,37568,37652,37774,37928,38090,38253,38490,38714,38915,39085,39223,208085,197023,190012,186635,186858,189491,192597,198150,204821,211830,219360,232527,240986,246085,249613,252855,253714,253944,253502,251521,247328,240630,232771,223910,214684,205343,192828,183574,176822,171683,167641,166115,165952,166730,167789,168782,174129,174776,172474,170233,170455,168068,170120,175419,180475,182293,184769,182986,177690,171711,167282,159411,155577,154933,155164,154476,155313,155090,153963,152931,152635,152302,152765,153895,155201,156417,158311,159885,161193,162405,163567,164391,165181,165896,166406,166567,166152,165820,165449,164899,164027,162775,161603,160434,159233,157943,156451,155249,154282,153480,152764,152209,151975,151980,152138,152372,153044,153775,154531,155276,155974
