uncode,country,sex,year,lb
4,Afghanistan,b,1950.5,365303
4,Afghanistan,b,1951.5,372040
4,Afghanistan,b,1952.5,378290
4,Afghanistan,b,1953.5,384933
4,Afghanistan,b,1954.5,390412
4,Afghanistan,b,1955.5,397156
4,Afghanistan,b,1956.5,404134
4,Afghanistan,b,1957.5,410977
4,Afghanistan,b,1958.5,418266
4,Afghanistan,b,1959.5,425334
4,Afghanistan,b,1960.5,434057
4,Afghanistan,b,1961.5,443319
4,Afghanistan,b,1962.5,453468
4,Afghanistan,b,1963.5,464225
4,Afghanistan,b,1964.5,475452
4,Afghanistan,b,1965.5,486406
4,Afghanistan,b,1966.5,498801
4,Afghanistan,b,1967.5,511245
4,Afghanistan,b,1968.5,524167
4,Afghanistan,b,1969.5,537318
4,Afghanistan,b,1970.5,549695
4,Afghanistan,b,1971.5,564040
4,Afghanistan,b,1972.5,577071
4,Afghanistan,b,1973.5,591855
4,Afghanistan,b,1974.5,607606
4,Afghanistan,b,1975.5,621494
4,Afghanistan,b,1976.5,635188
4,Afghanistan,b,1977.5,648307
4,Afghanistan,b,1978.5,660606
4,Afghanistan,b,1979.5,671213
4,Afghanistan,b,1980.5,660892
4,Afghanistan,b,1981.5,614273
4,Afghanistan,b,1982.5,520603
4,Afghanistan,b,1983.5,503887
4,Afghanistan,b,1984.5,506571
4,Afghanistan,b,1985.5,536861
4,Afghanistan,b,1986.5,541017
4,Afghanistan,b,1987.5,535214
4,Afghanistan,b,1988.5,531795
4,Afghanistan,b,1989.5,546142
4,Afghanistan,b,1990.5,567256
4,Afghanistan,b,1991.5,555610
4,Afghanistan,b,1992.5,578891
4,Afghanistan,b,1993.5,698469
4,Afghanistan,b,1994.5,789282
4,Afghanistan,b,1995.5,853355
4,Afghanistan,b,1996.5,886917
4,Afghanistan,b,1997.5,914412
4,Afghanistan,b,1998.5,940233
4,Afghanistan,b,1999.5,967977
4,Afghanistan,b,2000.5,995813
4,Afghanistan,b,2001.5,969246
4,Afghanistan,b,2002.5,980458
4,Afghanistan,b,2003.5,1063246
4,Afghanistan,b,2004.5,1097160
4,Afghanistan,b,2005.5,1099366
4,Afghanistan,b,2006.5,1136774
4,Afghanistan,b,2007.5,1156957
4,Afghanistan,b,2008.5,1091824
4,Afghanistan,b,2009.5,1128666
4,Afghanistan,b,2010.5,1147643
4,Afghanistan,b,2011.5,1157518
4,Afghanistan,b,2012.5,1217396
4,Afghanistan,b,2013.5,1248455
4,Afghanistan,b,2014.5,1274665
4,Afghanistan,b,2015.5,1315633
4,Afghanistan,b,2016.5,1315746
4,Afghanistan,b,2017.5,1332116
4,Afghanistan,b,2018.5,1355895
4,Afghanistan,b,2019.5,1377704
4,Afghanistan,b,2020.5,1402265
4,Afghanistan,b,2021.5,1440941
4,Afghanistan,b,2022.5,1446699
4,Afghanistan,b,2023.5,1459505
4,Afghanistan,b,2024.5,1468735
4,Afghanistan,b,2025.5,1477664
4,Afghanistan,b,2026.5,1493786
4,Afghanistan,b,2027.5,1499799
4,Afghanistan,b,2028.5,1505765
4,Afghanistan,b,2029.5,1512936
4,Afghanistan,b,2030.5,1521758
4,Afghanistan,b,2031.5,1523392
4,Afghanistan,b,2032.5,1534556
4,Afghanistan,b,2033.5,1534932
4,Afghanistan,b,2034.5,1540730
4,Afghanistan,b,2035.5,1544169
4,Afghanistan,b,2036.5,1556559
4,Afghanistan,b,2037.5,1568236
4,Afghanistan,b,2038.5,1572742
4,Afghanistan,b,2039.5,1579628
4,Afghanistan,b,2040.5,1589020
4,Afghanistan,b,2041.5,1593686
4,Afghanistan,b,2042.5,1604290
4,Afghanistan,b,2043.5,1606848
4,Afghanistan,b,2044.5,1618352
4,Afghanistan,b,2045.5,1621898
4,Afghanistan,b,2046.5,1629681
4,Afghanistan,b,2047.5,1629496
4,Afghanistan,b,2048.5,1631972
4,Afghanistan,b,2049.5,1632760
4,Afghanistan,b,2050.5,1635533
4,Afghanistan,b,2051.5,1635729
4,Afghanistan,b,2052.5,1636248
4,Afghanistan,b,2053.5,1633938
4,Afghanistan,b,2054.5,1634626
4,Afghanistan,b,2055.5,1639770
4,Afghanistan,b,2056.5,1630086
4,Afghanistan,b,2057.5,1635026
4,Afghanistan,b,2058.5,1627269
4,Afghanistan,b,2059.5,1622212
4,Afghanistan,b,2060.5,1620142
4,Afghanistan,b,2061.5,1612787
4,Afghanistan,b,2062.5,1600179
4,Afghanistan,b,2063.5,1598531
4,Afghanistan,b,2064.5,1598233
4,Afghanistan,b,2065.5,1587832
4,Afghanistan,b,2066.5,1586121
4,Afghanistan,b,2067.5,1590510
4,Afghanistan,b,2068.5,1585774
4,Afghanistan,b,2069.5,1570721
4,Afghanistan,b,2070.5,1561116
4,Afghanistan,b,2071.5,1556069
4,Afghanistan,b,2072.5,1555770
