uncode,country,sex,year,lb
4,Afghanistan,f,1950.5,178247
4,Afghanistan,f,1951.5,181534
4,Afghanistan,f,1952.5,184601
4,Afghanistan,f,1953.5,187846
4,Afghanistan,f,1954.5,190493
4,Afghanistan,f,1955.5,193796
4,Afghanistan,f,1956.5,197198
4,Afghanistan,f,1957.5,200535
4,Afghanistan,f,1958.5,204096
4,Afghanistan,f,1959.5,207562
4,Afghanistan,f,1960.5,211816
4,Afghanistan,f,1961.5,216330
4,Afghanistan,f,1962.5,221280
4,Afghanistan,f,1963.5,226551
4,Afghanistan,f,1964.5,232015
4,Afghanistan,f,1965.5,237350
4,Afghanistan,f,1966.5,243400
4,Afghanistan,f,1967.5,249480
4,Afghanistan,f,1968.5,255807
4,Afghanistan,f,1969.5,262223
4,Afghanistan,f,1970.5,268234
4,Afghanistan,f,1971.5,275230
4,Afghanistan,f,1972.5,281551
4,Afghanistan,f,1973.5,288744
4,Afghanistan,f,1974.5,296418
4,Afghanistan,f,1975.5,303185
4,Afghanistan,f,1976.5,309865
4,Afghanistan,f,1977.5,316246
4,Afghanistan,f,1978.5,322236
4,Afghanistan,f,1979.5,327384
4,Afghanistan,f,1980.5,322339
4,Afghanistan,f,1981.5,299576
4,Afghanistan,f,1982.5,253836
4,Afghanistan,f,1983.5,245659
4,Afghanistan,f,1984.5,246932
4,Afghanistan,f,1985.5,261640
4,Afghanistan,f,1986.5,263586
4,Afghanistan,f,1987.5,260702
4,Afghanistan,f,1988.5,258949
4,Afghanistan,f,1989.5,265855
4,Afghanistan,f,1990.5,276031
4,Afghanistan,f,1991.5,270238
4,Afghanistan,f,1992.5,281533
4,Afghanistan,f,1993.5,339677
4,Afghanistan,f,1994.5,383722
4,Afghanistan,f,1995.5,414640
4,Afghanistan,f,1996.5,430576
4,Afghanistan,f,1997.5,443559
4,Afghanistan,f,1998.5,455643
4,Afghanistan,f,1999.5,468789
4,Afghanistan,f,2000.5,482330
4,Afghanistan,f,2001.5,469433
4,Afghanistan,f,2002.5,474766
4,Afghanistan,f,2003.5,515006
4,Afghanistan,f,2004.5,531676
4,Afghanistan,f,2005.5,532811
4,Afghanistan,f,2006.5,551087
4,Afghanistan,f,2007.5,560927
4,Afghanistan,f,2008.5,529321
4,Afghanistan,f,2009.5,547442
4,Afghanistan,f,2010.5,556911
4,Afghanistan,f,2011.5,562099
4,Afghanistan,f,2012.5,591526
4,Afghanistan,f,2013.5,606929
4,Afghanistan,f,2014.5,619846
4,Afghanistan,f,2015.5,639856
4,Afghanistan,f,2016.5,640249
4,Afghanistan,f,2017.5,648440
4,Afghanistan,f,2018.5,660297
4,Afghanistan,f,2019.5,671148
4,Afghanistan,f,2020.5,683279
4,Afghanistan,f,2021.5,702253
4,Afghanistan,f,2022.5,705119
4,Afghanistan,f,2023.5,711482
4,Afghanistan,f,2024.5,716152
4,Afghanistan,f,2025.5,720507
4,Afghanistan,f,2026.5,728396
4,Afghanistan,f,2027.5,731335
4,Afghanistan,f,2028.5,734370
4,Afghanistan,f,2029.5,737870
4,Afghanistan,f,2030.5,742123
4,Afghanistan,f,2031.5,743052
4,Afghanistan,f,2032.5,748490
4,Afghanistan,f,2033.5,748663
