uncode,country,sex,year,lb
4,Afghanistan,m,1950.5,187056
4,Afghanistan,m,1951.5,190506
4,Afghanistan,m,1952.5,193690
4,Afghanistan,m,1953.5,197086
4,Afghanistan,m,1954.5,199919
4,Afghanistan,m,1955.5,203360
4,Afghanistan,m,1956.5,206936
4,Afghanistan,m,1957.5,210441
4,Afghanistan,m,1958.5,214170
4,Afghanistan,m,1959.5,217772
4,Afghanistan,m,1960.5,222241
4,Afghanistan,m,1961.5,226989
4,Afghanistan,m,1962.5,232187
4,Afghanistan,m,1963.5,237674
4,Afghanistan,m,1964.5,243438
4,Afghanistan,m,1965.5,249056
4,Afghanistan,m,1966.5,255401
4,Afghanistan,m,1967.5,261765
4,Afghanistan,m,1968.5,268360
4,Afghanistan,m,1969.5,275095
4,Afghanistan,m,1970.5,281461
4,Afghanistan,m,1971.5,288810
4,Afghanistan,m,1972.5,295520
4,Afghanistan,m,1973.5,303111
4,Afghanistan,m,1974.5,311189
4,Afghanistan,m,1975.5,318309
4,Afghanistan,m,1976.5,325322
4,Afghanistan,m,1977.5,332061
4,Afghanistan,m,1978.5,338369
4,Afghanistan,m,1979.5,343829
4,Afghanistan,m,1980.5,338553
4,Afghanistan,m,1981.5,314697
4,Afghanistan,m,1982.5,266767
4,Afghanistan,m,1983.5,258228
4,Afghanistan,m,1984.5,259639
4,Afghanistan,m,1985.5,275221
4,Afghanistan,m,1986.5,277432
4,Afghanistan,m,1987.5,274513
4,Afghanistan,m,1988.5,272846
4,Afghanistan,m,1989.5,280287
4,Afghanistan,m,1990.5,291225
4,Afghanistan,m,1991.5,285372
4,Afghanistan,m,1992.5,297358
4,Afghanistan,m,1993.5,358791
4,Afghanistan,m,1994.5,405560
4,Afghanistan,m,1995.5,438716
4,Afghanistan,m,1996.5,456341
4,Afghanistan,m,1997.5,470853
4,Afghanistan,m,1998.5,484590
4,Afghanistan,m,1999.5,499188
4,Afghanistan,m,2000.5,513483
4,Afghanistan,m,2001.5,499813
4,Afghanistan,m,2002.5,505692
4,Afghanistan,m,2003.5,548240
4,Afghanistan,m,2004.5,565484
4,Afghanistan,m,2005.5,566555
4,Afghanistan,m,2006.5,585687
4,Afghanistan,m,2007.5,596030
4,Afghanistan,m,2008.5,562502
4,Afghanistan,m,2009.5,581225
4,Afghanistan,m,2010.5,590733
4,Afghanistan,m,2011.5,595419
4,Afghanistan,m,2012.5,625870
4,Afghanistan,m,2013.5,641526
4,Afghanistan,m,2014.5,654819
4,Afghanistan,m,2015.5,675777
4,Afghanistan,m,2016.5,675496
4,Afghanistan,m,2017.5,683676
4,Afghanistan,m,2018.5,695598
4,Afghanistan,m,2019.5,706555
4,Afghanistan,m,2020.5,718986
4,Afghanistan,m,2021.5,738688
4,Afghanistan,m,2022.5,741580
4,Afghanistan,m,2023.5,748023
4,Afghanistan,m,2024.5,752583
4,Afghanistan,m,2025.5,757156
4,Afghanistan,m,2026.5,765390
4,Afghanistan,m,2027.5,768465
4,Afghanistan,m,2028.5,771395
