"UNCode","CountryName","Code","ISO3Code","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","pop01950","pop01951","pop01952","pop01953","pop01954","pop01955","pop01956","pop01957","pop01958","pop01959","pop01960","pop01961","pop01962","pop01963","pop01964","pop01965","pop01966","pop01967","pop01968","pop01969","pop01970","pop01971","pop01972","pop01973","pop01974","pop01975","pop01976","pop01977","pop01978","pop01979","pop01980","pop01981","pop01982","pop01983","pop01984","pop01985","pop01986","pop01987","pop01988","pop01989","pop01990","pop01991","pop01992","pop01993","pop01994","pop01995","pop01996","pop01997","pop01998","pop01999","pop02000","pop02001","pop02002","pop02003","pop02004","pop02005","pop02006","pop02007","pop02008","pop02009","pop02010","pop02011","pop02012","pop02013","pop02014","pop02015","pop02016","pop02017","pop02018","pop02019","pop02020","pop02021","pop02022","pop02023","pop02024","pop02025","pop02026","pop02027","pop02028","pop02029","pop02030","pop02031","pop02032","pop02033","pop02034","pop02035","pop02036","pop02037","pop02038","pop02039","pop02040","pop02041","pop02042","pop02043","pop02044","pop02045","pop02046","pop02047","pop02048","pop02049","pop02050","pop1to41950","pop1to41951","pop1to41952","pop1to41953","pop1to41954","pop1to41955","pop1to41956","pop1to41957","pop1to41958","pop1to41959","pop1to41960","pop1to41961","pop1to41962","pop1to41963","pop1to41964","pop1to41965","pop1to41966","pop1to41967","pop1to41968","pop1to41969","pop1to41970","pop1to41971","pop1to41972","pop1to41973","pop1to41974","pop1to41975","pop1to41976","pop1to41977","pop1to41978","pop1to41979","pop1to41980","pop1to41981","pop1to41982","pop1to41983","pop1to41984","pop1to41985","pop1to41986","pop1to41987","pop1to41988","pop1to41989","pop1to41990","pop1to41991","pop1to41992","pop1to41993","pop1to41994","pop1to41995","pop1to41996","pop1to41997","pop1to41998","pop1to41999","pop1to42000","pop1to42001","pop1to42002","pop1to42003","pop1to42004","pop1to42005","pop1to42006","pop1to42007","pop1to42008","pop1to42009","pop1to42010","pop1to42011","pop1to42012","pop1to42013","pop1to42014","pop1to42015","pop1to42016","pop1to42017","pop1to42018","pop1to42019","pop1to42020","pop1to42021","pop1to42022","pop1to42023","pop1to42024","pop1to42025","pop1to42026","pop1to42027","pop1to42028","pop1to42029","pop1to42030","pop1to42031","pop1to42032","pop1to42033","pop1to42034","pop1to42035","pop1to42036","pop1to42037","pop1to42038","pop1to42039","pop1to42040","pop1to42041","pop1to42042","pop1to42043","pop1to42044","pop1to42045","pop1to42046","pop1to42047","pop1to42048","pop1to42049","pop1to42050"
4,"Afghanistan",67,"AFG","AFG","Southern Asia","Southern Asia excluding India","Developing regions","","Least developed countries","","South Asia","South Asia","Asia","Developing countries","Least developed countries","","Eastern Mediterranean","Low income","South Asia","Low income","Low and middle income","Asia","","Less developed regions","Least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Fragile","Fragile","Fragile","USAID","Asia","Southern Asia","",1,139668,142077,144881,148149,151889,156076,159609,163637,168055,172754,177635,181588,185852,190462,195498,201014,205918,211276,217164,223692,230854,237485,244495,251489,258006,263642,271213,278152,283036,284115,280510,277250,270353,262084,255345,252365,242328,236519,236619,244741,262202,275562,298133,325000,349846,368489,391167,407018,418995,431372,446807,459252,474240,489372,501632,509251,518474,523673,525861,526413,526253,519360,511878,504910,500134,498844,505180,515009,526112,535291,540199,539039,533854,526426,519449,514975,513978,515368,518185,520975,522614,522811,522022,520326,517928,515013,511670,507777,503516,499145,494853,491024,487346,483681,479808,475571,471175,466474,461624,456839,452278,490376,499128,505574,511107,518086,528981,547386,561573,573756,586344,602072,625303,643279,658549,673967,692536,716873,736883,755019,774239,797727,828137,854508,878134,899716,919496,946390,969841,987262,993250,983214,980189,962888,936084,910509,899093,889170,874536,866997,882109,936368,995338,1070086,1158330,1244435,1308993,1370261,1422307,1464723,1507907,1565545,1637582,1708958,1778656,1840382,1887586,1940112,1976210,2000064,2018413,2038041,2050076,2053777,2051200,2045749,2039652,2024197,2021959,2029098,2037591,2042604,2071086,2080083,2075044,2066794,2063653,2058199,2055513,2055933,2056457,2055729,2061580,2062643,2059727,2054825,2049654,2048455,2041647,2030909,2018033,2004676,1991526,1977135,1961773,1945321,1927991,1913821,1896959,1878189,1858814,1840042
8,"Albania",146,"ALB","ALB","Developed regions","Developed regions","Developed regions","","","","CEE/CIS","CEE/CIS","","","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Europe","","More developed regions","More developed regions","","OIC","Asia/other","OIC Lower middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","","Europe","Southern Europe","",1,20261,21141,22297,23588,24907,26171,27238,28212,29101,29929,30726,31430,32105,32670,33025,33117,32872,32386,31835,31460,31431,31905,32716,33692,34577,35183,35377,35318,35130,34998,35064,35345,35748,36317,37101,38092,39417,40953,42245,42696,41943,41066,39028,36406,33953,32162,30243,29005,28174,27378,26374,25287,24086,22809,21514,20256,19027,17799,16794,16297,16483,17367,18918,20739,22287,23178,23048,22262,21094,19963,19186,18910,18966,19197,19363,19289,18931,18360,17662,16955,16334,15829,15400,15042,14736,14464,14229,14036,13886,13779,13711,13682,13686,13711,13743,13768,13786,13792,13781,13748,13690,73679,75318,77500,80245,83595,87587,92780,97250,101188,104945,108963,113582,117477,120800,123529,125710,127991,128988,129092,128945,129017,127947,128180,129364,130775,131933,134482,135919,136565,137113,138061,138765,139669,140931,142739,145297,148482,152678,156925,159339,158227,159392,156474,150558,144226,139922,134047,129410,125856,122380,118010,113025,107737,102108,96243,90236,84885,79191,73482,68707,65904,64714,65328,67488,70247,73012,79125,82008,82630,82568,82927,81320,80682,80747,80644,79763,78624,77127,75224,73169,71099,68727,66524,64486,62553,60720,59215,57802,56504,55383,54516,54212,53871,53554,53323,53254,53630,53814,53879,53891,53918
12,"Algeria",50,"DZA","ALG","Northern Africa","Northern Africa","Developing regions","North Africa","","","Middle East and North Africa","Middle East and North Africa","Africa","Developing countries","","North Africa","Africa","Upper middle income","Middle East and North Africa","Middle income","Low and middle income","Africa","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Arab","OIC Upper middle income","OIC Middle income","","North Africa","Africa","Northern Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Northern Africa","",1,160403,182186,199778,213152,222360,227491,226138,223586,220985,219939,222155,229155,239954,252847,265405,275798,280894,284211,286798,290222,295706,303669,313567,324748,336270,347354,356391,365065,373381,381427,389225,394810,400124,404892,408878,411908,413338,413776,412985,410731,406849,401933,395850,387936,377330,363682,346514,327068,307806,292035,282244,279625,282713,291683,306350,326130,351515,381237,412193,440390,462839,476946,485465,488016,484706,476141,461736,442315,421203,402900,390599,387180,389934,396022,401092,401954,397237,388609,377937,368012,360919,357504,356734,357982,360228,362686,365397,368364,371519,374828,378236,381900,385441,388640,391268,393159,394566,395167,394853,393520,391122,554704,572088,605769,640786,672799,704506,759651,789918,806112,819395,838011,848629,867037,892475,919856,946761,986228,1014241,1034412,1053806,1078119,1105020,1132654,1162227,1193381,1227056,1271310,1308952,1342389,1375531,1412576,1456812,1492522,1522511,1549183,1574779,1599211,1616657,1627995,1633500,1633472,1629442,1618892,1601848,1576826,1542801,1506179,1457453,1401248,1345310,1294985,1231144,1190821,1171195,1168872,1182109,1215417,1268558,1336174,1411791,1492443,1614073,1704190,1769956,1819153,1857488,1884234,1884968,1867021,1839139,1806589,1728177,1682375,1658296,1638460,1610192,1598869,1575648,1543281,1511578,1487565,1467857,1451986,1441092,1433650,1429364,1433718,1438852,1445063,1453197,1464010,1481039,1496515,1510858,1524254,1536964,1551257,1562075,1569703,1574062,1574947
20,"Andorra",167,"AND","AND","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: nonOECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Southern Europe","",1,70,96,117,132,146,154,160,163,164,165,164,163,162,161,161,164,167,171,179,195,222,262,313,359,383,373,311,220,115,26,179,185,6,66,128,180,214,236,250,261,276,295,316,332,345,347,349,344,335,328,331,327,331,337,345,346,357,365,367,364,356,356,351,343,332,322,298,277,257,242,231,225,225,229,235,239,242,245,248,252,256,261,268,276,283,288,292,295,297,299,298,297,296,293,289,285,280,275,270,265,260,233,290,359,426,491,559,639,701,750,790,827,847,864,885,900,903,866,844,834,835,850,859,912,991,1044,1040,1205,1147,927,683,360,660,723,805,902,984,962,1001,1054,1104,1146,1186,1245,1317,1375,1399,1404,1397,1380,1374,1406,1450,1503,1568,1630,1664,1639,1645,1659,1652,1602,1561,1519,1477,1438,1405,1327,1261,1201,1145,1096,1034,989,961,941,928,933,938,941,949,964,988,1013,1039,1066,1093,1120,1146,1168,1185,1199,1205,1209,1211,1210,1202,1186,1170,1154,1136,1117
24,"Angola",1,"AGO","ANG","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","South Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Upper middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,84551,93729,100887,106261,109984,112156,111924,111266,110541,110237,110879,112387,115179,118794,122560,125969,127936,129755,131688,134104,137279,139786,143150,147290,152087,157448,162061,167294,173126,179549,186502,192383,198905,205641,212107,218039,223987,229526,235155,241518,249004,255486,263268,271906,280822,289658,297901,306279,315214,325257,336716,346858,358494,371137,384196,397256,409546,422012,434458,446683,458557,468655,478564,488592,499199,510719,522829,535945,549753,563795,577688,590113,602543,615068,627865,641059,653815,667056,680579,694149,707573,719998,732406,744699,756796,768650,779584,790379,801074,811759,822489,832897,843442,853994,864387,874491,883940,893182,902288,911379,920535,283924,292182,306288,320162,332432,344370,366401,377595,382502,385909,391849,397454,403024,409432,416156,423404,435584,443579,449297,455721,465798,480362,492244,503487,516002,531890,552440,570319,587534,606434,629614,658859,684871,708976,731550,752697,776884,796391,813226,831003,854107,885164,913138,940159,967485,996313,1032277,1062571,1090315,1120408,1158602,1208089,1253354,1297498,1342710,1390899,1445782,1495226,1541389,1586610,1633764,1688618,1735500,1777576,1818734,1862623,1910488,1956056,2000985,2046570,2094927,2153849,2205787,2253715,2301502,2352982,2412679,2466661,2517560,2567870,2620476,2681079,2734943,2784590,2832752,2882333,2938464,2987677,3032519,3075783,3120335,3170022,3214686,3256215,3296426,3337427,3384862,3426372,3464080,3500521,3538240
28,"Antigua & Barbuda",105,"ATG","ANT","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Caribbean","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Caribbean",1,737,832,887,912,914,896,888,875,860,849,845,832,831,837,850,870,896,928,956,974,979,969,944,906,859,803,737,663,592,540,516,541,595,661,713,737,720,677,620,570,542,522,521,537,564,596,639,686,732,768,789,793,782,761,740,724,720,722,728,734,740,742,744,743,744,744,746,747,749,750,751,752,751,752,750,748,744,739,734,728,722,717,712,708,703,699,694,690,686,683,681,680,678,677,677,675,674,672,671,668,667,2653,2814,2980,3093,3144,3155,3299,3359,3376,3386,3420,3382,3374,3394,3426,3458,3471,3513,3573,3628,3659,3725,3733,3693,3620,3528,3412,3257,3077,2895,2727,2471,2366,2364,2391,2409,2586,2656,2661,2671,2711,2557,2496,2497,2520,2546,2594,2684,2800,2917,3007,3089,3134,3144,3130,3108,3039,2995,2971,2951,2926,2926,2921,2914,2911,2915,2933,2944,2953,2960,2970,2983,2992,2998,3001,3000,2998,2992,2980,2967,2951,2929,2910,2888,2867,2845,2825,2806,2786,2767,2750,2738,2728,2717,2707,2699,2697,2694,2688,2682,2675
31,"Azerbaijan",138,"AZE","AZE","Caucasus and Central Asia","Caucasus and Central Asia","Developing regions","","","","CEE/CIS","CEE/CIS","","Developing countries","","","Europe","Upper middle income","Europe and Central Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Western Asia","",1,46318,45348,47069,50566,55184,60420,66320,72005,77179,81618,85117,87259,88310,88241,87096,85022,81912,77973,73836,70329,68036,67528,68254,69808,71529,72927,73901,74581,75200,76095,77498,79428,81739,84346,87132,89957,93056,96157,98794,100413,100660,99295,96689,93081,88861,84397,79871,75245,70934,67396,64943,63414,63112,63851,65311,67262,69347,71597,74606,79206,85816,95386,106871,117761,124740,125549,118181,105002,88896,74280,64541,61494,63345,68221,73203,76155,76392,74811,72191,69759,68410,68395,69254,70646,72066,73135,73824,74220,74314,74137,73724,73105,72237,71205,70114,69057,68115,67226,66411,65675,65022,101957,128425,144698,159029,174613,193128,212018,232474,253026,272316,289938,308627,323163,333796,340906,344622,344229,340016,332919,324501,315938,302007,293368,288771,285735,282127,281567,280649,279417,279273,281778,290592,298172,305441,313491,323663,338245,351822,364641,375796,384145,390493,392485,390319,384623,375954,362326,347611,332430,317640,303976,287804,276026,267983,262839,260228,262721,266122,271411,280366,293066,302425,321323,344572,364857,379754,421125,431687,421469,405100,391759,350782,328914,321061,315885,305653,301280,294336,284707,276195,271337,270364,269815,270353,271583,273627,279554,283639,286430,288540,290422,292332,292825,292254,290851,288744,284528,280855,277475,274064,270369
32,"Argentina",106,"ARG","ARG","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: nonOECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,211211,213978,216893,219676,222161,224269,226375,228117,229600,230971,232374,234193,236147,238171,240156,242067,243966,245883,248377,252180,257773,264995,273608,283554,294678,306625,321727,337747,352118,361610,364198,356157,341542,324519,311102,305694,311451,324952,342551,358889,369990,374258,373727,369652,364110,358836,354271,349748,346194,344738,346061,351298,359429,368644,376401,380896,380984,377824,373020,368935,367280,368863,372747,377707,381938,384142,383852,381676,378400,375201,372956,372173,372246,372838,373403,373531,373260,372613,371691,370661,369653,368840,368007,367169,366337,365512,364886,364271,363621,362873,361983,361088,360032,358869,357674,356499,355576,354657,353688,352599,351345,781101,804850,823983,840409,854637,867117,879124,889460,898320,905958,912588,918925,925282,931653,937792,943559,951394,958243,965354,974981,988987,1005154,1026391,1051928,1080993,1112945,1152880,1196779,1241694,1281872,1314449,1362868,1379278,1373773,1363147,1358685,1320142,1313436,1329567,1350629,1364455,1399323,1418569,1424805,1426546,1429697,1432964,1430469,1425572,1421034,1419073,1407904,1410826,1423234,1437414,1447996,1471346,1481930,1483340,1483201,1486780,1482814,1485970,1494374,1502738,1507577,1517079,1520222,1518304,1514849,1512176,1505902,1502057,1500097,1498240,1495349,1494115,1491929,1488849,1485515,1482384,1480565,1477969,1474910,1471622,1468360,1465813,1463097,1460225,1457115,1453749,1451361,1448196,1444426,1440336,1436143,1432390,1428494,1424423,1420023,1415218
36,"Australia",169,"AUS","AUS","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Western Pacific","High income: OECD","","High income","","Oceania","","More developed regions","More developed regions","","","","","","","","","","","","","","Oceania","Australia and New Zealand","",1,99983,96044,93483,92533,93321,95798,100252,105391,110600,115132,118281,119760,119666,118745,118071,118413,119308,121021,123275,125659,127824,131335,134825,137381,137813,135399,129271,120394,110885,103715,100981,103710,110843,120245,128844,134420,135676,133975,130520,127202,125440,126433,128839,131841,134214,135095,134175,132012,129170,126498,124677,123711,123478,124329,126647,130592,135923,142916,150288,156293,159734,160207,158005,154630,152261,152420,156538,163081,170503,176586,179778,179663,176781,172348,168153,165516,165240,166449,168561,170641,172015,172748,172876,172692,172634,173020,174209,175768,177582,179485,181357,183454,185479,187410,189224,190889,192649,194205,195551,196699,197673,354790,378857,390276,398137,405295,411560,408041,413669,424013,434576,442256,455369,463155,467139,471108,477963,484584,491581,499081,505742,509829,512204,516211,519595,519817,516539,525085,519061,504046,489032,480105,458088,452982,460312,470981,479176,502002,513585,516828,518207,521668,519889,522235,527413,531938,534355,541977,544583,543782,541950,539679,529043,522462,519206,519204,523252,528180,540091,556951,574617,589617,612690,625483,630910,634927,641683,640695,649266,664341,679137,688814,704777,711477,710868,708036,706324,698173,694994,695580,696666,696049,698073,698924,698756,698863,700071,702820,706309,710569,715320,720503,728101,735431,742605,749759,756944,765708,773556,780614,786986,792744
40,"Austria",168,"AUT","ATR","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Europe","High income: OECD","","High income","","Europe","","More developed regions","More developed regions","","","","","","","","","","","","","","Europe","Western Europe","",1,46635,45832,45997,47154,49232,52086,55501,59137,62655,65679,67865,68738,68666,67883,66790,65701,64793,63924,62907,61467,59433,56693,53454,50083,47080,44815,43521,42929,42957,43434,44193,45247,46625,47954,48757,48722,47338,45064,42562,40769,40321,41547,44128,47177,49440,50056,48798,45941,42311,39095,37135,36716,37512,39024,40497,41382,41517,41114,40426,39829,39592,39780,40277,40953,41620,42133,42572,42864,43038,43147,43229,43322,43369,43366,43304,43180,43039,42842,42594,42299,41963,41645,41295,40933,40585,40275,40063,39884,39749,39666,39640,39720,39846,40007,40183,40362,40601,40833,41045,41230,41386,217264,206443,198932,195048,195004,197565,199917,205527,212703,220338,228435,242736,251849,257237,260946,264458,265352,265616,265224,263232,258915,251922,243695,234396,224723,214960,201907,192283,185308,180037,175927,174493,174378,175185,176292,177385,182824,183446,181071,178817,179185,176845,179102,184705,190019,191923,194675,192889,187355,181034,176258,168048,163983,163209,163338,162550,163422,163137,161889,160807,160672,160310,160877,162247,163814,165146,166925,168532,169927,171198,172367,173212,174038,174787,175331,175528,175149,174811,174410,173825,172923,171588,170343,169115,167857,166509,164935,163669,162646,161798,161049,160463,160205,160202,160371,160640,161330,162085,162875,163673,164444
