ISO3Code,OfficialName,Region
ARE,United Arab Emirates,ESCWA_GCC
BHR,Bahrain,ESCWA_GCC
KWT,Kuwait,ESCWA_GCC
OMN,Oman,ESCWA_GCC
QAT,Qatar,ESCWA_GCC
SAU,Saudi Arabia,ESCWA_GCC
COM,Comoros,ESCWA_LDC
DJI,Djibouti,ESCWA_LDC
MRT,Mauritania,ESCWA_LDC
SDN,Sudan,ESCWA_LDC
SOM,Somalia,ESCWA_LDC
YEM,Yemen,ESCWA_LDC
DZA,Algeria,ESCWA_MAGHREB
LBY,Libya,ESCWA_MAGHREB
MAR,Morocco,ESCWA_MAGHREB
TUN,Tunisia,ESCWA_MAGHREB
EGY,Egypt,ESCWA_MASHREQ
IRQ,Iraq,ESCWA_MASHREQ
JOR,Jordan,ESCWA_MASHREQ
LBN,Lebanon,ESCWA_MASHREQ
PSE,State of Palestine,ESCWA_MASHREQ
SYR,Syrian Arab Republic,ESCWA_MASHREQ
