uncode,country,sex,year,lb
4,Afghanistan,b,1950.5,383985
4,Afghanistan,b,1951.5,391002
4,Afghanistan,b,1952.5,397663
4,Afghanistan,b,1953.5,404666
4,Afghanistan,b,1954.5,410428
4,Afghanistan,b,1955.5,417650
4,Afghanistan,b,1956.5,425071
4,Afghanistan,b,1957.5,432044
4,Afghanistan,b,1958.5,439867
4,Afghanistan,b,1959.5,447510
4,Afghanistan,b,1960.5,456418
4,Afghanistan,b,1961.5,465920
4,Afghanistan,b,1962.5,476486
4,Afghanistan,b,1963.5,487782
4,Afghanistan,b,1964.5,499081
4,Afghanistan,b,1965.5,510721
4,Afghanistan,b,1966.5,523769
4,Afghanistan,b,1967.5,536916
4,Afghanistan,b,1968.5,550849
4,Afghanistan,b,1969.5,564969
4,Afghanistan,b,1970.5,578135
4,Afghanistan,b,1971.5,593459
4,Afghanistan,b,1972.5,607433
4,Afghanistan,b,1973.5,623433
4,Afghanistan,b,1974.5,640572
4,Afghanistan,b,1975.5,655576
4,Afghanistan,b,1976.5,670354
4,Afghanistan,b,1977.5,684795
4,Afghanistan,b,1978.5,698108
4,Afghanistan,b,1979.5,710483
4,Afghanistan,b,1980.5,703929
4,Afghanistan,b,1981.5,658773
4,Afghanistan,b,1982.5,571255
4,Afghanistan,b,1983.5,558710
4,Afghanistan,b,1984.5,563440
4,Afghanistan,b,1985.5,590687
4,Afghanistan,b,1986.5,596068
4,Afghanistan,b,1987.5,594693
4,Afghanistan,b,1988.5,595844
4,Afghanistan,b,1989.5,613672
4,Afghanistan,b,1990.5,637076
4,Afghanistan,b,1991.5,639838
4,Afghanistan,b,1992.5,668128
4,Afghanistan,b,1993.5,759621
4,Afghanistan,b,1994.5,851696
4,Afghanistan,b,1995.5,899076
4,Afghanistan,b,1996.5,932409
4,Afghanistan,b,1997.5,961674
4,Afghanistan,b,1998.5,985909
4,Afghanistan,b,1999.5,1013252
4,Afghanistan,b,2000.5,1036525
4,Afghanistan,b,2001.5,1006562
4,Afghanistan,b,2002.5,1015202
4,Afghanistan,b,2003.5,1069727
4,Afghanistan,b,2004.5,1095372
4,Afghanistan,b,2005.5,1097038
4,Afghanistan,b,2006.5,1120880
4,Afghanistan,b,2007.5,1135656
4,Afghanistan,b,2008.5,1126525
4,Afghanistan,b,2009.5,1158017
4,Afghanistan,b,2010.5,1181113
4,Afghanistan,b,2011.5,1202456
4,Afghanistan,b,2012.5,1243843
4,Afghanistan,b,2013.5,1274030
4,Afghanistan,b,2014.5,1300107
4,Afghanistan,b,2015.5,1331758
4,Afghanistan,b,2016.5,1344010
4,Afghanistan,b,2017.5,1362270
4,Afghanistan,b,2018.5,1382424
4,Afghanistan,b,2019.5,1405919
4,Afghanistan,b,2020.5,1429983
4,Afghanistan,b,2021.5,1453685
4,Afghanistan,b,2022.5,1462654
4,Afghanistan,b,2023.5,1469029
4,Afghanistan,b,2024.5,1492956
4,Afghanistan,b,2025.5,1507838
4,Afghanistan,b,2026.5,1520756
4,Afghanistan,b,2027.5,1539697
4,Afghanistan,b,2028.5,1554635
4,Afghanistan,b,2029.5,1560603
4,Afghanistan,b,2030.5,1576405
4,Afghanistan,b,2031.5,1593559
4,Afghanistan,b,2032.5,1608835
4,Afghanistan,b,2033.5,1623191
4,Afghanistan,b,2034.5,1644283
4,Afghanistan,b,2035.5,1656173
4,Afghanistan,b,2036.5,1667402
4,Afghanistan,b,2037.5,1676947
4,Afghanistan,b,2038.5,1677662
4,Afghanistan,b,2039.5,1684713
4,Afghanistan,b,2040.5,1700106
4,Afghanistan,b,2041.5,1709246
4,Afghanistan,b,2042.5,1720301
4,Afghanistan,b,2043.5,1728236
4,Afghanistan,b,2044.5,1741359
4,Afghanistan,b,2045.5,1750865
4,Afghanistan,b,2046.5,1765924
4,Afghanistan,b,2047.5,1778232
4,Afghanistan,b,2048.5,1791287
4,Afghanistan,b,2049.5,1799474
4,Afghanistan,b,2050.5,1811144
4,Afghanistan,b,2051.5,1817284
4,Afghanistan,b,2052.5,1821208
4,Afghanistan,b,2053.5,1830909
4,Afghanistan,b,2054.5,1840348
4,Afghanistan,b,2055.5,1850759
4,Afghanistan,b,2056.5,1860635
4,Afghanistan,b,2057.5,1870982
4,Afghanistan,b,2058.5,1880394
4,Afghanistan,b,2059.5,1886608
