"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Adhoc",1950,655897,158032,0,0,,,,
"World",1950,167054490,39640527,21.7,19.4,,,,
"Adhoc",1951,657467,156699,0,0,,,,
"World",1951,173737606,40681411,28.6,26.1,,,,
"Adhoc",1952,659329,159898,0,0,,,,
"World",1952,180024522,41986260,31.3,29.1,,,,
"Adhoc",1953,662052,163040,0,0,,,,
"World",1953,186472085,43119803,49.6,48.8,,,,
"Adhoc",1954,667809,166051,0,0,,,,
"World",1954,192351836,43826514,52.7,52.6,212.763155898736,128.015717133266,,
"Adhoc",1955,679551,169260,0,0,,,,
"World",1955,197715741,44904429,54.9,54.9,209.007249798129,126.344751269312,,6019160
"Adhoc",1956,695393,172842,0,0,,,,
"World",1956,202503059,45329112,55.6,56.3,205.257325847604,123.522893550131,,5940162
"Adhoc",1957,711703,176347,100,100,359.874478543318,249.337958819943,,
"World",1957,207093945,46355836,56.8,57.3,201.615843493697,122.237660459264,,5993140
"Adhoc",1958,728026,179831,100,100,353.845986528386,246.174293299552,,50204
"World",1958,211256420,47058216,60.8,61.2,197.482805973797,119.383700269823,,5953314
"Adhoc",1959,745402,183666,100,100,347.94670001732,243.112111915299,,50544
"World",1959,213125011,46017969,61.7,63.7,192.157066530093,116.297030143482,9401676,5693035
"Adhoc",1960,764551,187914,100,100,342.716166967343,240.302310671627,,50872
"World",1960,212465776,45222591,63.3,66.2,187.849520150099,114.15467079986,9155788,5516078
"Adhoc",1961,784732,192394,100,100,337.472476177238,237.124648760222,,51278
"World",1961,211585757,45073558,65,67.7,183.899984222527,111.791454346169,8931382,5377991
"Adhoc",1962,805993,197171,100,100,332.018082401687,234.354553271981,73150,51824
"World",1962,213475903,47672728,65.8,65.2,182.189137916126,111.928644295665,9050826,5602362
"Adhoc",1963,828341,202294,100,100,326.937653335938,231.615465827751,73674,52462
"World",1963,219817306,52180503,65.3,60.7,181.247763241082,111.013235614742,9465587,6072959
"Adhoc",1964,851674,207589,100,100,321.968931525655,229.11973567388,74160,53086
"World",1964,228120329,53433134,67.1,63.2,178.042643965783,108.139572400999,9540922,6073742
"Adhoc",1965,876118,213017,100,100,317.068093298528,226.554535731585,74722,53691
"World",1965,236078395,52960901,65.9,64.3,177.312881404551,107.648311438496,9613153,5983188
"Adhoc",1966,901565,218757,100,100,312.201910503339,223.968643966333,75378,54435
"World",1966,243712131,52969965,65.7,65.8,173.499062781174,106.031770113615,9527795,5887203
"Adhoc",1967,928131,224838,100,100,307.45670004328,221.347157465899,76158,55210
"World",1967,248778112,52879925,65.1,66.8,170.674508862927,103.776581781421,9453798,5766525
"Adhoc",1968,955815,231148,100,100,302.778957926975,218.775590602596,76946,56006
"World",1968,250911178,54044515,67.4,68.3,171.572811259366,104.801019081253,9637800,5920717
"Adhoc",1969,984453,237633,100,100,298.019027076195,216.14873561675,77625,56744
"World",1969,253172318,55331664,94.7,94.8,150.885939576292,95.2396663537344,8576642,5505556
"Adhoc",1970,1014189,244054,100,100,293.077653860859,213.407132250183,78291,57462
"World",1970,256368463,55914964,94.7,94.8,148.585509019326,93.6975732785807,8545838,5481649
"Adhoc",1971,1044320,250591,100,100,337.091847373216,238.542174228615,93564,65886
"World",1971,259816893,56323078,96.7,96.7,146.000361288385,92.1765622114291,8465367,5414156
"Adhoc",1972,1075119,257381,100,100,331.226252529087,235.033230121991,93436,66210
"World",1972,263271163,56261758,97.2,97.2,140.275931351038,89.4520301041066,8124254,5239078
"Adhoc",1973,1107444,264545,100,100,278.180907008006,204.850928533752,79247,59181
"World",1973,265722063,56286720,97.2,97.1,137.365583194444,87.6119744468479,7958648,5128541
"Adhoc",1974,1140536,272166,100,100,273.00779664652,201.792916022654,80211,60176
"World",1974,266745579,56092241,97.2,97.1,136.524144054292,86.8949974751168,7894655,5066943
"Adhoc",1975,1173233,279369,100,100,267.67174174661,198.544742623024,80812,60763
"World",1975,266639194,55510295,97.3,97.2,133.75198350637,85.2272324746353,7666352,4909163
"Adhoc",1976,1204154,285872,100,100,261.996059614532,195.131013889646,81194,61116
"World",1976,265914745,55241596,98.3,98.2,129.448856504758,82.5317681681498,7387069,4737469
"Adhoc",1977,1234790,292579,100,100,256.335207429517,191.693033765214,81392,61384
"World",1977,265250067,55242971,98.3,98.3,126.312006819143,80.5949555493731,7196610,4623215
"Adhoc",1978,1264176,298795,100,100,250.511991635462,188.142515796191,81272,61471
"World",1978,264777769,55457348,98.6,98.5,123.339474142621,78.6512044657534,7040996,4534728
"Adhoc",1979,1271320,299728,100,100,244.860317051529,184.699668369883,81012,61495
"World",1979,265477406,56456997,98.9,98.9,119.417129857234,76.3202715400158,6906668,4486529
"Adhoc",1980,1229030,289852,100,100,239.167018522892,181.018280785667,79768,60502
"World",1980,267901457,57721784,99.2,99.2,116.273285042018,74.4364112944797,6851568,4467319
"Adhoc",1981,1117013,262991,100,100,233.276213010576,177.297060602111,75827,57028
"World",1981,271626543,58790287,99.4,99.4,113.10359119716,72.501568372421,6784076,4435670
"Adhoc",1982,1029595,241283,100,100,271.348030938751,191.06080815418,83323,55394
"World",1982,276765596,60153296,99.5,99.5,109.801665253279,70.3627073835172,6739149,4412971
"Adhoc",1983,1022923,239483,100,100,265.703225186749,187.29883590503,76055,49893
"World",1983,282228294,60751682,99.7,99.7,108.616184571332,70.0960235204453,6736209,4399438
"Adhoc",1984,1047802,245481,100,100,298.293006397737,198.904477504863,84817,52731
"World",1984,286957049,61059362,99.9,99.9,106.45523887277,68.4434578810061,6646419,4339564
"Adhoc",1985,1068668,251561,100,100,290.827741085894,194.308159396631,81723,52912
"World",1985,291490714,62138183,100,100,103.786392816952,66.9550100941866,6588123,4316051
"Adhoc",1986,1071114,254097,100,100,245.399716800941,174.176783434534,68252,48747
"World",1986,296180575,63350141,100,100,100.585064384185,65.1730725930187,6499742,4282308
"Adhoc",1987,1075732,255303,100,100,239.264195368958,170.041120211685,66769,47889
"World",1987,300791652,64550802,100,100,96.9785577576721,63.1578285774953,6379794,4223126
"Adhoc",1988,1098910,259748,100,100,189.288200631967,148.284301806613,52817,41776
"World",1988,305199998,64928774,100,100,97.3332947992032,63.3983025389598,6449447,4246643
"Adhoc",1989,1144938,269479,100,100,182.726352743029,143.74838855087,52139,41319
"World",1989,309522077,65165079,100,100,92.9834027712764,61.1099330596645,6189332,4111082
"Adhoc",1990,1173503,274833,100,100,176.356905735839,139.185705615488,51946,41408
"World",1990,313231065,65744225,100,100,91.0706420734043,59.931289907811,6111870,4069066
"Adhoc",1991,1203223,281380,100,100,169.949929191022,134.842571157247,51121,40924
"World",1991,314722278,64789010,100,100,90.4474747567839,59.9849031422293,6003601,3981829
"Adhoc",1992,1317083,308151,100,100,163.973428100939,130.636167109963,50522,40652
"World",1992,313608566,63209143,100,100,89.9328613963578,59.3638358116631,5839493,3857621
"Adhoc",1993,1495602,349583,100,100,158.281437966797,126.650324873176,52737,43124
"World",1993,311651920,62602029,100,100,88.8093983007435,58.6521532207405,5708382,3773386
"Adhoc",1994,1641659,382273,100,100,152.937592351218,122.943101740481,56755,47247
"World",1994,309125468,62258618,100,100,87.1447657339168,57.6683263565574,5563162,3691896
"Adhoc",1995,1738947,401806,100,100,148.017072382958,119.567907134864,59530,49878
"World",1995,305851949,62102761,100,100,85.34569142737,56.6175075866556,5421049,3612845
"Adhoc",1996,1821395,416814,100,100,143.259340945155,116.164005094929,60653,50673
"World",1996,303383927,61976295,100,100,84.3092083476771,55.9435299436839,5330842,3559347
"Adhoc",1997,1897668,430248,100,100,138.769101005295,113.03323184102,61261,50981
"World",1997,302253126,61818878,100,100,82.2454861936639,54.7549762835967,5184329,3473821
"Adhoc",1998,1969059,442392,100,100,134.7974913769,110.36793656274,61578,51146
"World",1998,301587808,61749252,100,100,80.7456637278058,53.7823491852603,5081165,3407870
"Adhoc",1999,2036179,454164,100,100,130.874501973664,107.783357771297,61583,51249
