"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
1950,167054490,39640527,21.7,19.4,,,,
1951,173737606,40681411,28.6,26.1,,,,
1952,180024522,41986260,31.3,29.1,,,,
1953,186472085,43119803,49.6,48.8,,,,
1954,192351836,43826514,52.7,52.6,212.763155898736,128.015717133266,,
1955,197715741,44904429,54.9,54.9,209.007249798129,126.344751269312,,6018723
1956,202503059,45329112,55.6,56.3,205.257325847604,123.522893550131,,5937440
1957,207093945,46355836,56.8,57.3,201.615843493697,122.237660459264,,5991269
1958,211256420,47058216,60.8,61.2,197.482805973797,119.383700269823,,5951997
1959,213125011,46017969,61.7,63.7,192.157066530093,116.297030143482,9397699,5691020
1960,212465776,45222591,63.3,66.2,187.849520150099,114.15467079986,9153430,5514701
1961,211585757,45073558,65,67.7,183.899984222527,111.791454346169,8930350,5376949
1962,213475903,47672728,65.8,65.2,182.189137916126,111.928644295665,9049219,5600854
1963,219817306,52180503,65.3,60.7,181.247763241082,111.013235614742,9463536,6071204
1964,228120329,53433134,67.1,63.2,178.042643965783,108.139572400999,9537562,6071511
1965,236078395,52960901,65.9,64.3,177.312881404551,107.648311438496,9611249,5981710
1966,243712131,52969965,65.7,65.8,173.499062781174,106.031770113615,9525154,5886282
1967,248778112,52879925,65.1,66.8,170.674508862927,103.776581781421,9451695,5765401
1968,250911178,54044515,67.4,68.3,171.572811259366,104.801019081253,9635338,5918875
1969,253172318,55331664,94.7,94.8,150.885939576292,95.2396663537344,8576997,5505258
1970,256368463,55914964,94.7,94.8,148.585509019326,93.6975732785807,8543615,5479611
1971,259816893,56323078,96.7,96.7,146.000361288385,92.1765622114291,8462681,5411622
1972,263271163,56261758,97.2,97.2,140.275931351038,89.4520301041066,8121171,5236842
1973,265722063,56286720,97.2,97.1,137.365583194444,87.6119744468479,7958155,5128062
1974,266745579,56092241,97.2,97.1,136.524144054292,86.8949974751168,7894279,5066447
1975,266639194,55510295,97.3,97.2,133.75198350637,85.2272324746353,7666280,4908879
1976,265914745,55241596,98.3,98.2,129.448856504758,82.5317681681498,7386184,4736952
1977,265250067,55242971,98.3,98.3,126.312006819143,80.5949555493731,7195570,4622426
1978,264777769,55457348,98.6,98.5,123.339474142621,78.6512044657534,7039332,4534009
1979,265477406,56456997,98.9,98.9,119.417129857234,76.3202715400158,6905326,4485910
1980,267901457,57721784,99.2,99.2,116.273285042018,74.4364112944797,6850501,4466738
1981,271626543,58790287,99.4,99.4,113.10359119716,72.501568372421,6782747,4435501
1982,276765596,60153296,99.5,99.5,109.801665253279,70.3627073835172,6737498,4412579
1983,282228294,60751682,99.7,99.7,108.616184571332,70.0960235204453,6734811,4399132
1984,286957049,61059362,99.9,99.9,106.45523887277,68.4434578810061,6645299,4339267
1985,291490714,62138183,100,100,103.786392816952,66.9550100941866,6587433,4316383
1986,296180575,63350141,100,100,100.585064384185,65.1730725930187,6498977,4282884
1987,300791652,64550802,100,100,96.9785577576721,63.1578285774953,6379239,4223296
1988,305199998,64928774,100,100,97.3332947992032,63.3983025389598,6449258,4247080
1989,309522077,65165079,100,100,92.9834027712764,61.1099330596645,6188721,4111746
1990,313231065,65744225,100,100,91.0706420734043,59.931289907811,6111274,4069202
1991,314722278,64789010,100,100,90.4474747567839,59.9849031422293,6002891,3982223
1992,313608566,63209143,100,100,89.9328613963578,59.3638358116631,5839850,3858692
1993,311651920,62602029,100,100,88.8093983007435,58.6521532207405,5708062,3774114
1994,309125468,62258618,100,100,87.1447657339168,57.6683263565574,5562559,3692347
1995,305851949,62102761,100,100,85.34569142737,56.6175075866556,5420836,3613464
1996,303383927,61976295,100,100,84.3092083476771,55.9435299436839,5330030,3559880
1997,302253126,61818878,100,100,82.2454861936639,54.7549762835967,5183062,3473900
1998,301587808,61749252,100,100,80.7456637278058,53.7823491852603,5080172,3408099
1999,301333298,61812617,100,100,77.2637518034024,51.8378836627172,4859618,3284847
2000,301748264,62320713,100,100,74.592238544306,50.1653872196198,4718285,3210561
2001,302755736,62735482,100,100,72.2625596198681,48.9054880335603,4588447,3136715
2002,304098063,62792302,100,100,69.2819601997824,47.0635188099259,4402501,3023355
2003,305726852,62985646,100,100,66.2924205034019,45.2569689253418,4226353,2915494
2004,307551678,63312712,100,100,63.630827329936,43.4410080314643,4081124,2814860
2005,309222819,63706712,100,100,60.1351036513592,41.4179883602875,3879658,2698023
2006,310923748,64199865,100,100,57.3219708185919,39.642776594932,3724911,2604340
2007,313248059,64898875,100,100,54.7503416732001,38.0444036674542,3594937,2526630
2008,316293824,65753000,100,100,52.4868380618536,36.611834257621,3487411,2460512
2009,319775427,66531561,100,100,50.7188442887276,35.4701470264746,3401286,2405907
2010,323229794,66939999,100,100,48.4331111097174,34.2359648747101,3271121,2335464
2011,326449331,67191988,100,100,47.3432967631144,33.4674396494589,3210697,2291712
2012,329658969,67877430,100,100,44.5340991528143,31.6788009201221,3058032,2200181
2013,332408968,68233768,100,100,42.8474144759731,30.7143141385074,2951456,2129602
2014,334353161,68165835,100,100,41.7037348423052,29.7961658704329,2877884,2072052
2015,335758777,68095481,100,100,40.6445630470889,29.1803732561219,2796202,2014558
2016,336926538,68103889,100,100,39.5024227718751,28.3556826321052,2723971,1964933
2017,337341917,68057951,100,100,38.6331974380516,27.7581510565899,2659618,1915087
2018,336348973,67108918,100,100,37.6460680415489,27.3035081613285,2543641,1840192
2019,334344480,66041683,100,100,37.2138086362767,26.8733116754227,2479118,1790644
2020,331136738,64804714,100,100,36.7152211201364,26.7046090064998,2396667,1736287
2021,326739032,63672482,100,100,37.1107381166851,26.8268514225195,2383017,1721004
2022,321903934,63172219,100,100,37.460769462034,26.8684170702214,2380690,1710841
2023,317758964,62860895,100,100,35.8191338442285,25.9323675495352,2266655,1646947
2024,314773415,62907268,100,100,34.8533644372648,25.2694838979354,2205285,1609610
