"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","1950","1480577","786360","0","0",,,,,,
"World","1950","454208383","235463009","0","0",,,,,,
"Adhoc","1951","1502932","798460","0","0",,,,,,
"World","1951","460077148","238444125","0","0",,,,,,
"Adhoc","1952","1526365","812121","0","0",,,,,,
"World","1952","466013978","242170386","0","0",,,,,,
"Adhoc","1953","1549733","826151","0","0",,,,,,
"World","1953","471484653","245775254","0","0",,,,,,
"Adhoc","1954","1571188","838612","0","0",,,,,,
"World","1954","476344887","248738285","0.5","0.6",,,,,,
"Adhoc","1955","1592937","850577","0","0",,,,,,
"World","1955","481015153","251054665","0.5","0.6",,,,,,
"Adhoc","1956","1615448","862227","0","0",,,,,,
"World","1956","485856586","252850374","0.6","0.6",,,,,,
"Adhoc","1957","1639568","873885","0","0",,,,,,
"World","1957","490351372","253598691","0.6","0.6",,,,,,
"Adhoc","1958","1665873","887037","0","0",,,,,,
"World","1958","493735820","253609917","0.6","0.7",,,,,,
"Adhoc","1959","1692967","902592","0","0",,,,,,
"World","1959","497381031","254237722","0.8","0.9",,,,,,
"Adhoc","1960","1727012","924188","0","0",,,,,,
"World","1960","501079836","255421543","0.9","1",,,,,,
"Adhoc","1961","1765223","949710","0","0",,,,,,
"World","1961","506961846","259287524","2.7","2.9",,,,,,
"Adhoc","1962","1805361","976785","0","0",,,,,,
"World","1962","515690863","267185130","2.7","2.9",,,,,,
"Adhoc","1963","1844364","1001061","0","0",,,,,,
"World","1963","526288663","277574774","8.1","8.1",,,,,,
"Adhoc","1964","1881875","1020392","0","0",,,,,,
"World","1964","539229774","289897062","9.7","9.5",,,,,,
"Adhoc","1965","1916992","1033194","0","0",,,,,,
"World","1965","554529189","304220931","9.6","9.1",,,,,,
"Adhoc","1966","1951807","1042166","0","0",,,,,,
"World","1966","571576201","317572793","9.8","9.2",,,,,,
"Adhoc","1967","1987747","1051735","0","0",,,,,,
"World","1967","592013284","329992247","9.6","9",,,,,,
"Adhoc","1968","2026106","1066191","0","0",,,,,,
"World","1968","614978860","342517532","9.5","8.9",,,,,,
"Adhoc","1969","2064908","1086098","0","0",,,,,,
"World","1969","638969594","354141081","49.5","48.2",,,,,,
"Adhoc","1970","2104396","1113089","0","0",,,,,,
"World","1970","664009273","364854053","49.3","47.9",,,,,,
"Adhoc","1971","2145809","1145793","0","0",,,,,,
"World","1971","687091896","374524766","48.9","47.6",,,,,,
"Adhoc","1972","2186467","1177929","100","100","80.3105937536427","30.8101497961732","51.0740428689583","17944","7372","10572"
"World","1972","707975142","383281476","73.3","72.9","16.0230242947422","8.90829589770992","7.17867818647191","1153786","685932","467854"
"Adhoc","1973","2234309","1212078","100","100","81.7570289708038","31.1711179044692","52.2134630802085","18637","7676","10961"
"World","1973","727894511","390881999","73.1","72.5","15.825540641518","8.74470150522222","7.1433052081014","1169834","686631","483202"
"Adhoc","1974","2289461","1247853","100","100","82.4919003968254","31.4523574675784","52.6969874148844","19250","7975","11275"
"World","1974","743814129","395274106","73.9","73.1","16.014146444936","8.82303431075526","7.25512434520734","1208176","700594","507582"
"Adhoc","1975","2349862","1283381","100","100","83.3784873407747","31.6672526712415","53.402340065627","19962","8259","11703"
"World","1975","756214725","396925275","73.5","72.4","15.878976218187","8.74022401415188","7.20169664600323","1216258","696889","519369"
"Adhoc","1976","2412089","1317570","100","100","83.9059140352411","31.7627485140972","53.853707282097","20620","8505","12115"
"World","1976","767109689","398227502","73.3","71.9","15.8251935793837","8.68396249333509","7.20378851532553","1228046","694655","533391"
"Adhoc","1977","2469188","1349086","100","100","84.5291455911419","31.8903880969783","54.3727247895939","21265","8744","12521"
"World","1977","780683760","403024347","74.3","72.9","15.5790417497506","8.48182341041197","7.15793064303678","1229182","686588","542594"
"Adhoc","1978","2528131","1382114","100","100","84.4228878843298","31.7640248387411","54.3863938094414","21736","8922","12814"
"World","1978","800751001","415262641","74.3","73.1","15.4272675145959","8.25774779619409","7.22921676722963","1248048","688670","559378"
"Adhoc","1979","2580903","1412298","100","100","83.5783792392689","31.4250409278228","53.8454332552693","21951","9018","12933"
"World","1979","821582604","431464391","74.6","73.9","15.1952737021245","7.97136581976039","7.28195500962876","1260866","690625","570241"
"Adhoc","1980","2558184","1401480","100","100","82.5252601323539","31.0553988697549","53.1195087960251","21466","8842","12624"
"World","1980","839749735","447487875","75.4","75.1","15.089063089427","7.75016440043381","7.39622061469902","1278724","696319","582405"
"Adhoc","1981","2413207","1323943","100","100","80.6204773406609","30.3896879617635","51.8051311493442","19757","8171","11586"
"World","1981","857224379","463302573","76.7","76.9","14.7916734399488","7.44392185828134","7.40285787723351","1277731","692334","585396"
"Adhoc","1982","2106192","1157824","100","100","78.4662000523682","29.6616731361901","50.2964023629955","16758","6972","9786"
"World","1982","873111863","474119171","77.5","77.9","14.8724433386229","7.37200858036493","7.55613867742244","1306884","701628","605256"
"Adhoc","1983","2071770","1141225","100","100","75.82507226843","28.768093412098","48.4508164704464","15903","6662","9241"
"World","1983","890049791","478783839","77.9","78.2","14.7169863885374","7.30188516149726","7.46964370759033","1318472","701767","616705"
"Adhoc","1984","2095520","1157286","100","100","73.1637726008739","27.8411262214841","46.6206168578527","15492","6535","8957"
"World","1984","911221859","483697523","81.6","81.6","14.4235132130887","7.18216490253797","7.29373310446196","1323236","697303","625932"
