"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
1950,454208383,235463009,0,0,,,,,,
1951,460077148,238444125,0,0,,,,,,
1952,466013978,242170386,0,0,,,,,,
1953,471484653,245775254,0,0,,,,,,
1954,476344887,248738285,0.5,0.6,,,,,,
1955,481015153,251054665,0.5,0.6,,,,,,
1956,485856586,252850374,0.6,0.6,,,,,,
1957,490351372,253598691,0.6,0.6,,,,,,
1958,493735820,253609917,0.6,0.7,,,,,,
1959,497381031,254237722,0.8,0.9,,,,,,
1960,501079836,255421543,0.9,1,,,,,,
1961,506961846,259287524,2.7,2.9,,,,,,
1962,515690863,267185130,2.7,2.9,,,,,,
1963,526288663,277574774,8.1,8.1,,,,,,
1964,539229774,289897062,9.7,9.5,,,,,,
1965,554529189,304220931,9.6,9.1,,,,,,
1966,571576201,317572793,9.8,9.2,,,,,,
1967,592013284,329992247,9.6,9,,,,,,
1968,614978860,342517532,9.5,8.9,,,,,,
1969,638969594,354141081,49.5,48.2,,,,,,
1970,664009273,364854053,49.3,47.9,,,,,,
1971,687091896,374524766,48.9,47.6,,,,,,
1972,707975142,383281476,73.3,72.9,16.0230242947422,8.90829589770992,7.17867818647191,1153786,685932,467854
1973,727894511,390881999,73.1,72.5,15.825540641518,8.74470150522222,7.1433052081014,1169834,686631,483202
1974,743814129,395274106,73.9,73.1,16.014146444936,8.82303431075526,7.25512434520734,1208176,700594,507582
1975,756214725,396925275,73.5,72.4,15.878976218187,8.74022401415188,7.20169664600323,1216258,696889,519369
1976,767109689,398227502,73.3,71.9,15.8251935793837,8.68396249333509,7.20378851532553,1228046,694655,533391
1977,780683760,403024347,74.3,72.9,15.5790417497506,8.48182341041197,7.15793064303678,1229182,686588,542594
1978,800751001,415262641,74.3,73.1,15.4272675145959,8.25774779619409,7.22921676722963,1248048,688670,559378
1979,821582604,431464391,74.6,73.9,15.1952737021245,7.97136581976039,7.28195500962876,1260866,690625,570241
1980,839749735,447487875,75.4,75.1,15.089063089427,7.75016440043381,7.39622061469902,1278724,696319,582405
1981,857224379,463302573,76.7,76.9,14.7916734399488,7.44392185828134,7.40285787723351,1277731,692334,585396
1982,873111863,474119171,77.5,77.9,14.8724433386229,7.37200858036493,7.55613867742244,1306884,701628,605256
1983,890049791,478783839,77.9,78.2,14.7169863885374,7.30188516149726,7.46964370759033,1318472,701767,616705
1984,911221859,483697523,81.6,81.6,14.4235132130887,7.18216490253797,7.29373310446196,1323236,697303,625932
1985,934094521,490505985,82.1,81.9,14.212027140266,7.1283337964406,7.1345508034401,1337026,701799,635227
1986,957457837,498288116,83.6,83.4,14.0049327936874,7.01986649650689,7.03444717724158,1350329,702047,648281
1987,975779147,506276079,83.7,83.5,13.9468098069178,6.95639709309614,7.03938144645293,1370167,706830,663337
1988,985939843,512023160,91.8,91.7,13.5577670001933,6.66596224342449,6.93805355984154,1344809,684908,659901
1989,993582773,514871361,94.4,94.2,13.4573753200588,6.62952323705015,6.87341957781769,1345287,684941,660346
1990,1000965600,515231153,100,100,14.0581233492516,6.91069186505235,7.19716890077332,1416298,714590,701708
1991,1008105387,514320160,100,100,14.1074946265169,6.92486830231458,7.23271190158942,1431669,714795,716874
1992,1014861496,513356255,100,100,14.1453526229622,6.90397138876663,7.2917230817267,1445338,711295,734044
1993,1019814771,512936795,100,100,14.2694976382878,6.9159766188115,7.40473197266776,1465402,711954,753449
1994,1023679024,514682520,100,100,15.4946619235811,7.3979252314799,8.15708217614746,1598130,764344,833786
1995,1029944777,520638189,100,100,14.1397458371821,6.69604500503214,7.49388019117233,1465793,699586,766207
1996,1037704685,529375603,100,100,14.1237602156877,6.60458974628913,7.56916167699847,1474027,701579,772448
1997,1048626246,541091464,100,100,13.9951568621687,6.44221587518922,7.60191415905671,1474010,699419,774591
1998,1060832712,553333323,100,100,14.0270262430205,6.36888145382733,7.70723123124227,1492384,707075,785309
1999,1073884225,563889599,100,100,13.6286465873109,6.10418150692067,7.57067787225286,1465660,690524,775135
2000,1090168434,574061802,100,100,13.3359501542982,5.92613324529453,7.45399024842497,1454704,682415,772289
2001,1109573812,584471291,100,100,13.0759253911266,5.77454141824066,7.34379099817178,1451056,676965,774091
2002,1131000389,594538327,100,100,12.7421037815981,5.60028116466768,7.18204408313292,1441142,667786,773356
