"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","24154232","12929592","0","0",,,,,,
"Landlocked developing countries","1950","12403319","6302034","0","0",,,,,,
"Small island developing States","1950","2425250","1279995","0","0",,,,,,
"Europe and Northern America","1950","59888439","28312585","0","0",,,,,,
"Northern America","1950","13457330","7319441","0","0",,,,,,
"Europe","1950","46431110","20993145","0","0",,,,,,
"Latin America and the Caribbean","1950","19872781","10655444","0","0",,,,,,
"Central and Southern Asia","1950","54881959","28263602","0","0",,,,,,
"Central Asia","1950","1810451","713874","0","0",,,,,,
"Southern Asia","1950","53071509","27549728","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","85890807","44283608","0","0",,,,,,
"Eastern Asia","1950","65555404","33787209","0","0",,,,,,
"South-Eastern Asia","1950","20335403","10496399","0","0",,,,,,
"Northern Africa and Western Asia","1950","11374201","5900972","0","0",,,,,,
"Western Asia","1950","5697819","2925693","0","0",,,,,,
"Northern Africa","1950","5676382","2975279","0","0",,,,,,
"Sub-Saharan Africa","1950","21915757","11758510","0","0",,,,,,
"Oceania","1950","1066928","576203","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","275876","144430","0","0",,,,,,
"Australia and New Zealand","1950","791053","431774","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1950","60679492","28744359","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1950","20611279","10640829","0","0",,,,,,
"World","1950","254890871","129750923","0","0",,,,,,
"Least developed countries","1951","24678363","13246733","0","0",,,,,,
"Landlocked developing countries","1951","12543409","6389993","0","0",,,,,,
"Small island developing States","1951","2472861","1307921","0","0",,,,,,
"Europe and Northern America","1951","59752780","28217417","0","0",,,,,,
"Northern America","1951","13946624","7643836","0","0",,,,,,
"Europe","1951","45806156","20573581","0","0",,,,,,
"Latin America and the Caribbean","1951","20413588","10990161","0","0",,,,,,
"Central and Southern Asia","1951","55602897","28759000","0","0",,,,,,
"Central Asia","1951","1752178","680635","0","0",,,,,,
"Southern Asia","1951","53850719","28078366","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","86777213","45027447","0","0",,,,,,
"Eastern Asia","1951","66201613","34391703","0","0",,,,,,
"South-Eastern Asia","1951","20575601","10635744","0","0",,,,,,
"Northern Africa and Western Asia","1951","11550559","6038092","0","0",,,,,,
"Western Asia","1951","5747333","2948548","0","0",,,,,,
"Northern Africa","1951","5803226","3089544","0","0",,,,,,
"Sub-Saharan Africa","1951","22395282","12047525","0","0",,,,,,
"Oceania","1951","1112294","605983","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1951","277984","146488","0","0",,,,,,
"Australia and New Zealand","1951","834310","459495","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1951","60587090","28676912","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1951","20853585","10782231","0","0",,,,,,
"World","1951","257604612","131685623","0","0",,,,,,
"Least developed countries","1952","25217241","13572949","0","0",,,,,,
"Landlocked developing countries","1952","12719334","6558384","0","0",,,,,,
"Small island developing States","1952","2521471","1338698","0","0",,,,,,
"Europe and Northern America","1952","60147409","29176723","0","0",,,,,,
"Northern America","1952","14616908","8072253","0","0",,,,,,
"Europe","1952","45530501","21104471","0","0",,,,,,
"Latin America and the Caribbean","1952","21021958","11361409","0","0",,,,,,
"Central and Southern Asia","1952","56364899","29375795","0","0",,,,,,
"Central Asia","1952","1707540","700645","0","0",,,,,,
"Southern Asia","1952","54657360","28675150","0","0",,,,,,
"Eastern and South-Eastern Asia","1952","88432873","46432753","0","0",,,,,,
"Eastern Asia","1952","67600503","35622910","0","0",,,,,,
"South-Eastern Asia","1952","20832370","10809843","0","0",,,,,,
"Northern Africa and Western Asia","1952","11770434","6236396","0","0",,,,,,
"Western Asia","1952","5815606","3012897","0","0",,,,,,
"Northern Africa","1952","5954828","3223500","0","0",,,,,,
"Sub-Saharan Africa","1952","22881687","12336674","0","0",,,,,,
"Oceania","1952","1164935","642612","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1952","281226","149367","0","0",,,,,,
"Australia and New Zealand","1952","883709","493245","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1952","61031118","29669968","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1952","21113596","10959210","0","0",,,,,,
"World","1952","261784194","135562361","0","0",,,,,,
"Least developed countries","1953","25739099","13866123","0","0",,,,,,
"Landlocked developing countries","1953","12920005","6786268","0","0",,,,,,
"Small island developing States","1953","2574317","1373774","0","0",,,,,,
"Europe and Northern America","1953","60623180","30617631","0","0",,,,,,
"Northern America","1953","15286854","8452124","0","0",,,,,,
"Europe","1953","45336326","22165507","0","0",,,,,,
"Latin America and the Caribbean","1953","21701534","11778589","0","0",,,,,,
"Central and Southern Asia","1953","57130511","30023571","0","0",,,,,,
"Central Asia","1953","1677068","769470","0","0",,,,,,
"Southern Asia","1953","55453443","29254102","0","0",,,,,,
"Eastern and South-Eastern Asia","1953","90716888","48407929","0","0",,,,,,
"Eastern Asia","1953","69592386","37380589","0","0",,,,,,
"South-Eastern Asia","1953","21124503","11027340","0","0",,,,,,
"Northern Africa and Western Asia","1953","12035950","6484660","0","0",,,,,,
"Western Asia","1953","5910900","3123639","0","0",,,,,,
"Northern Africa","1953","6125050","3361022","0","0",,,,,,
"Sub-Saharan Africa","1953","23357624","12601331","0","0",,,,,,
"Oceania","1953","1217729","678378","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1953","286205","153412","0","0",,,,,,
"Australia and New Zealand","1953","931524","524966","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1953","61554703","31142596","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1953","21410708","11180752","0","0",,,,,,
"World","1953","266783415","140592087","0","0",,,,,,
"Least developed countries","1954","26262234","14129916","8.17","8.12",,,,,,
"Landlocked developing countries","1954","13170378","7065532","0","0",,,,,,
"Small island developing States","1954","2633936","1413162","0","0",,,,,,
"Europe and Northern America","1954","61356900","32320844","0","0",,,,,,
"Northern America","1954","15917992","8811190","0","0",,,,,,
"Europe","1954","45438908","23509655","0","0",,,,,,
"Latin America and the Caribbean","1954","22453646","12247581","0","0",,,,,,
"Central and Southern Asia","1954","58216083","30915027","0","0",,,,,,
"Central Asia","1954","1677908","879579","0","0",,,,,,
"Southern Asia","1954","56538175","30035448","0","0",,,,,,
"Eastern and South-Eastern Asia","1954","93609568","50890504","0","0",,,,,,
"Eastern Asia","1954","72091191","39553270","0","0",,,,,,
"South-Eastern Asia","1954","21518377","11337234","0","0",,,,,,
"Northern Africa and Western Asia","1954","12360904","6770331","0","0",,,,,,
"Western Asia","1954","6039726","3270487","0","0",,,,,,
"Northern Africa","1954","6321178","3499845","0","0",,,,,,
"Sub-Saharan Africa","1954","23844508","12851311","9","8.93",,,,,,
"Oceania","1954","1269826","708829","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1954","293360","159073","0","0",,,,,,
"Australia and New Zealand","1954","976466","549756","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1954","62333365","32870600","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1954","21811737","11496306","0","0",,,,,,
"World","1954","273111433","146704425","0.8","0.8",,,,,,
"Least developed countries","1955","26834798","14413957","8.13","8.04",,,,,,
"Landlocked developing countries","1955","13493658","7376410","0","0",,,,,,
"Small island developing States","1955","2702161","1457149","0","0",,,,,,
"Europe and Northern America","1955","62337123","34117490","0","0",,,,,,
"Northern America","1955","16539223","9207896","0","0",,,,,,
"Europe","1955","45797900","24909594","0","0",,,,,,
"Latin America and the Caribbean","1955","23262840","12751257","0","0",,,,,,
"Central and Southern Asia","1955","59784275","32141589","0","0",,,,,,
"Central Asia","1955","1729033","1013502","0","0",,,,,,
"Southern Asia","1955","58055242","31128087","0","0",,,,,,
"Eastern and South-Eastern Asia","1955","97178670","54030759","0","0",,,,,,
"Eastern Asia","1955","75139946","42283215","0","0",,,,,,
"South-Eastern Asia","1955","22038725","11747544","0","0",,,,,,
"Northern Africa and Western Asia","1955","12777111","7094431","0","0",,,,,,
"Western Asia","1955","6213554","3438309","0","0",,,,,,
"Northern Africa","1955","6563557","3656122","0","0",,,,,,
"Sub-Saharan Africa","1955","24371388","13113339","8.95","8.84",,,,,,
"Oceania","1955","1325293","738575","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1955","302672","166121","0","0",,,,,,
"Australia and New Zealand","1955","1022621","572454","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1955","63359743","34689944","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1955","22341397","11913665","0","0",,,,,,
"World","1955","281036698","153987438","0.8","0.8",,,,,,
"Least developed countries","1956","27454150","14725709","8.07","7.94",,,,,,
"Landlocked developing countries","1956","13873886","7672856","0","0",,,,,,
"Small island developing States","1956","2777359","1504451","0","0",,,,,,
"Europe and Northern America","1956","63467819","35345973","0","0",,,,,,
"Northern America","1956","17143084","9491815","0","0",,,,,,
"Europe","1956","46324736","25854159","0","0",,,,,,
"Latin America and the Caribbean","1956","24105559","13262011","0","0",,,,,,
"Central and Southern Asia","1956","61616268","33481092","0","0",,,,,,
"Central Asia","1956","1822417","1140192","0","0",,,,,,
"Southern Asia","1956","59793851","32340900","0","0",,,,,,
"Eastern and South-Eastern Asia","1956","101071199","57146648","0","0",,,,,,
"Eastern Asia","1956","78434559","44946891","0","0",,,,,,
"South-Eastern Asia","1956","22636640","12199757","0","0",,,,,,
"Northern Africa and Western Asia","1956","13284160","7430416","0","0",,,,,,
"Western Asia","1956","6439213","3606158","0","0",,,,,,
"Northern Africa","1956","6844947","3824259","0","0",,,,,,
"Sub-Saharan Africa","1956","24933883","13394423","8.88","8.72",,,,,,
"Oceania","1956","1381545","763967","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1956","313596","173894","0","0",,,,,,
"Australia and New Zealand","1956","1067949","590074","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1956","64535768","35936047","0","0",,,,,,
