"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Adhoc",1950,644135,157787,0,0,,,,
"World",1950,174077601,41326365,21.5,19.4,,,,
"Adhoc",1951,647395,159263,0,0,,,,
"World",1951,180898041,42327367,28.4,26.1,,,,
"Adhoc",1952,653056,162644,0,0,,,,
"World",1952,187265080,43686439,31.1,29.1,,,,
"Adhoc",1953,662489,165963,0,0,,,,
"World",1953,193805821,44877785,49.6,48.7,,,,
"Adhoc",1954,674774,169175,0,0,,,,
"World",1954,199791582,45621862,52.7,52.5,217.842472816756,144.734226143614,,
"Adhoc",1955,689282,172573,0,0,,,,
"World",1955,205311492,46734553,54.9,54.9,213.263913075688,142.550167454817,,7135175
"Adhoc",1956,705949,176334,0,0,,,,
"World",1956,210302215,47162399,55.6,56.2,209.165114248688,139.403840290706,,7042548
"Adhoc",1957,723131,180028,100,100,376.120477726223,274.663889205246,,
"World",1957,215119066,48253844,56.8,57.2,205.911637516575,138.049437328364,,7112439
"Adhoc",1958,740383,183695,100,100,369.994127123307,271.322410806664,,57811
"World",1958,219492735,48998576,60.8,61.1,201.795278879544,134.934264063687,,7067367
"Adhoc",1959,758686,187695,100,100,363.825085246075,267.58716408063,,58120
"World",1959,221505791,47921231,61.6,63.6,196.620960290982,131.465130819245,10117959,6757817
"Adhoc",1960,778745,192114,100,100,358.166560202591,264.114664897061,,58418
"World",1960,220948347,47098659,63.3,66.1,192.544013298647,129.051949888941,9851208,6549479
"Adhoc",1961,799851,196799,100,100,352.798759252267,260.662514648619,,58903
"World",1961,220183901,46955154,64.9,67.7,188.575981407595,126.35419195876,9611180,6383228
"Adhoc",1962,822095,201814,100,100,347.336978923156,257.688165745234,80137,59550
"World",1962,222284554,49718529,65.8,65.1,187.049728072591,126.247733048258,9785002,6644693
"Adhoc",1963,845492,207171,100,100,342.001729656807,254.522108242788,80708,60244
"World",1963,229015437,54478431,65.3,60.6,185.49846432046,125.072001148734,10285673,7197509
"Adhoc",1964,869923,212699,100,100,337.147723084346,251.549043166374,81331,60909
"World",1964,237781400,55807876,67,63,182.475296712152,122.086861885449,10386415,7209237
"Adhoc",1965,895484,218373,100,100,331.642159187479,248.570397308638,81859,61574
"World",1965,246176709,55319130,65.8,64.1,182.208327968112,121.41396305841,10445299,7096478
"Adhoc",1966,921997,224342,100,100,326.624223762631,245.529624718645,82607,62382
"World",1966,254256972,55329760,65.5,65.6,178.555664231714,119.823184343455,10343644,6996835
"Adhoc",1967,949590,230660,100,100,321.585425530074,242.758333180229,83453,63300
"World",1967,259591156,55220218,64.9,66.5,175.617310993976,117.346058946311,10242657,6855088
"Adhoc",1968,978474,237280,100,100,316.418599562035,239.587975763778,84234,64113
"World",1968,261832865,56451627,67.2,68.1,176.836027081433,118.22694501462,10463246,7027271
"Adhoc",1969,1008529,244107,100,100,311.507119329398,236.639967888498,85003,64940
