"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
1950,174077601,41326365,21.5,19.4,,,,
1951,180898041,42327367,28.4,26.1,,,,
1952,187265080,43686439,31.1,29.1,,,,
1953,193805821,44877785,49.6,48.7,,,,
1954,199791582,45621862,52.7,52.5,217.842918268396,144.734487388062,,
1955,205311492,46734553,54.9,54.9,213.264337329318,142.550418592668,,7134649
1956,210302215,47162399,55.6,56.2,209.165534564533,139.404093497698,,7039313
1957,215119066,48253844,56.8,57.2,205.912055667676,138.049689328259,,7110210
1958,219492735,48998576,60.8,61.1,201.795700760049,134.934524302306,,7065796
1959,221505791,47921231,61.6,63.6,196.621392484931,131.465400672288,10113671,6755418
1960,220948347,47098659,63.3,66.1,192.544456136622,129.052225845094,9848662,6547837
1961,220183901,46955154,64.9,67.7,188.576438842947,126.354481718865,9610061,6381985
1962,222284554,49718529,65.8,65.1,187.050181475111,126.248011190231,9783256,6642898
1963,229015437,54478431,65.3,60.6,185.498905447507,125.072278466551,10283437,7195422
1964,237781400,55807876,67,63,182.475754090856,122.087157667429,10382749,7206583
1965,246176709,55319130,65.8,64.1,182.208817315249,121.414275086869,10443222,7094717
1966,254256972,55329760,65.5,65.6,178.556150082941,119.82348900718,10340769,6995734
1967,259591156,55220218,64.9,66.5,175.617767150703,117.346336911828,10240371,6853745
1968,261832865,56451627,67.2,68.1,176.836449714868,118.227199363987,10460567,7025079
1969,264202827,57812996,94.8,94.9,157.191007181336,107.173549963602,9428609,6517013
1970,267543660,58438747,94.8,94.8,154.732663348527,105.267181460909,9391664,6480058
1971,271228997,58894720,96.8,96.7,152.010880068561,103.514523824914,9297093,6397114
1972,274957225,58838002,97.2,97.2,146.201820816569,100.567753252428,8929737,6198776
1973,277632636,58874359,97.2,97.2,143.175583902285,98.5926085453049,8754240,6077131
1974,278826563,58699796,97.2,97.1,142.167227707325,97.6629223992441,8675593,5997468
1975,278862484,58123064,97.3,97.3,139.390436239501,95.9622860627987,8430365,5822672
1976,278247790,57867863,98.3,98.2,135.011247043127,93.0843615712385,8134169,5630901
1977,277664056,57889011,98.4,98.3,131.755391676155,91.0396554850337,7928660,5504019
1978,277260903,58126872,98.6,98.5,128.628086699258,88.89258512539,7758525,5403421
1979,278122451,59209472,99,98.9,124.693615540348,86.3849778685216,7627512,5355085
1980,280838719,60584649,99.3,99.3,121.535550030338,84.3185431496266,7578313,5337941
1981,284915824,61734216,99.4,99.4,118.280072757036,82.1594337317584,7512666,5305573
1982,290492874,63204897,99.5,99.5,114.916360220658,79.8001366363044,7473452,5284332
1983,296437652,63883231,99.7,99.7,113.851848833165,79.4631878527131,7471862,5266506
1984,301598660,64240155,99.9,99.9,111.434705730453,77.5310530419557,7371688,5194810
1985,306550999,65417526,100,100,108.695745312385,75.8229365490826,7316779,5170912
1986,311700182,66769896,100,100,105.429866996855,73.74791647973,7232137,5132923
1987,316832226,68152783,100,100,101.66627026819,71.4216008080941,7109128,5065936
1988,321818296,68664893,100,100,102.113764742048,71.5470803930037,7194029,5091855
1989,326801235,69011640,100,100,97.7070655137249,69.1001192930954,6925220,4946145
1990,331249083,69752644,100,100,95.8030640629528,67.8046720342547,6857492,4905829
1991,333352261,68815347,100,100,95.2701550831476,67.8387798977036,6738360,4801138
1992,332634309,67180023,100,100,94.561762832127,67.0115807399146,6550496,4647494
1993,331002000,66633348,100,100,93.2794608911717,66.1063655314819,6402210,4543664
1994,328751907,66370768,100,100,91.4571817917635,64.8976525123627,6242829,4444815
1995,325646709,66289998,100,100,89.4901585832802,63.6222750276218,6086432,4348503
1996,323340987,66201091,100,100,88.4075546012808,62.7618092348347,5989881,4280045
1997,322422377,66045655,100,100,86.2346361817976,61.3160648677996,5827108,4169886
1998,321919983,65982332,100,100,84.6581870259621,60.0959802616436,5714336,4084071
1999,321795187,66060666,100,100,81.4502305152333,58.1968291024946,5499675,3956499
2000,322391879,66645724,100,100,78.5900511338262,56.1366542812696,5341903,3857011
2001,323582929,67089428,100,100,76.2235238487049,54.6251917328178,5199387,3760127
2002,325052995,67095719,100,100,73.1671863978138,52.5330000860264,4991892,3618528
2003,326804704,67281544,100,100,70.1914000315471,50.5387959525792,4800271,3488025
2004,328767956,67652070,100,100,67.8616150434688,48.8811709291486,4669231,3394707
2005,330518039,68089064,100,100,64.343329700324,46.6766711991689,4451146,3257427
2006,332260146,68607994,100,100,61.6142383545795,44.8673452324098,4292948,3157913
2007,334692169,69349554,100,100,58.9732331909323,43.1143489299203,4150882,3066698
2008,337920172,70258262,100,100,56.7240518635927,41.5745448450611,4040739,2992800
2009,341634172,71097607,100,100,54.9366963872766,40.3323578737426,3950131,2930274
2010,345303748,71525639,100,100,52.5735792782035,38.9279936650434,3804930,2842468
2011,348687805,71753845,100,100,51.5118694568726,38.0972359381109,3741872,2791048
2012,352041339,72462260,100,100,48.699677761144,36.2007906234803,3581702,2689342
2013,354848986,72795851,100,100,47.0974190319209,35.236186086298,3469113,2609749
2014,356718074,72645401,100,100,45.9491621890001,34.2589780903314,3387014,2541620
2015,357938737,72496238,100,100,44.9375353172073,33.6009613544232,3297791,2473261
2016,358792297,72418119,100,100,43.7867593906398,32.7056913254252,3219527,2415059
2017,358724678,72252781,100,100,42.9832199667375,32.1265455173876,3149066,2356719
2018,357121326,71112828,100,100,42.1138893559044,31.7395091701204,3023796,2272889
2019,354508279,69909523,100,100,41.739594918713,31.3491506130802,2952762,2216551
2020,350606990,68459599,100,100,41.4312670080754,31.3426869856064,2861422,2154019
2021,345352278,67075482,100,100,41.9357779662969,31.5297116353307,2843959,2134517
2022,339669380,66478172,100,100,42.3291204228959,31.5843475142106,2839377,2120674
2023,334811553,66118208,100,100,40.6933922372953,30.635465573349,2716691,2050429
2024,331170022,66106761,100,100,39.7097711232944,29.9322081726005,2649531,2007701
