"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
1950,454208383,235463009,0,0,,,,,,
1951,460077148,238444125,0,0,,,,,,
1952,466013978,242170386,0,0,,,,,,
1953,471484653,245775254,0,0,,,,,,
1954,476344887,248738285,0.5,0.6,,,,,,
1955,481015153,251054665,0.5,0.6,,,,,,
1956,485856586,252850374,0.6,0.6,,,,,,
1957,490351372,253598691,0.6,0.6,,,,,,
1958,493735820,253609917,0.6,0.7,,,,,,
1959,497381031,254237722,0.8,0.9,,,,,,
1960,501079836,255421543,0.9,1,,,,,,
1961,506961846,259287524,2.7,2.9,,,,,,
1962,515690863,267185130,2.7,2.9,,,,,,
1963,526288663,277574774,8.1,8.1,,,,,,
1964,539229774,289897062,9.7,9.5,,,,,,
1965,554529189,304220931,9.6,9.1,,,,,,
1966,571576201,317572793,9.8,9.2,,,,,,
1967,592013284,329992247,9.6,9,,,,,,
1968,614978860,342517532,9.5,8.9,,,,,,
1969,638969594,354141081,49.5,48.2,,,,,,
1970,664009273,364854053,49.3,47.9,,,,,,
1971,687091896,374524766,48.9,47.6,,,,,,
1972,707975142,383281476,73.3,72.9,31.3248916943049,15.4813210263838,16.0927070316617,2249516,1195999,1053517
1973,727894511,390881999,73.1,72.5,29.8086153795659,14.7057594785935,15.328269749126,2199302,1158159,1041143
1974,743814129,395274106,73.9,73.1,28.6120631147045,14.0806927382293,14.7389043600675,2156086,1121039,1035047
1975,756214725,396925275,73.5,72.4,27.3882850573822,13.4820613362937,14.0962705046451,2097656,1077538,1020118
1976,767109689,398227502,73.3,71.9,26.3029920927231,12.9362859782055,13.5418878484095,2042908,1037025,1005883
1977,780683760,403024347,74.3,72.9,25.1730622831007,12.326034488461,13.0073569246973,1988601,999700,988902
1978,800751001,415262641,74.3,73.1,24.2016735212797,11.7747145907407,12.5750262759089,1959351,983711,975640
1979,821582604,431464391,74.6,73.9,23.2860285136096,11.2157438143367,12.207197499114,1931596,973297,958299
1980,839749735,447487875,75.4,75.1,22.5012389082606,10.7045444024222,11.9243391234551,1904290,963186,941104
1981,857224379,463302573,76.7,76.9,21.6540304929898,10.1557051310267,11.6162970495122,1866365,945836,920529
1982,873111863,474119171,77.5,77.9,21.1628279539617,9.80358964511718,11.4717021694448,1854899,934193,920706
1983,890049791,478783839,77.9,78.2,20.3824309012134,9.45463897049447,11.0320964194525,1822104,909646,912458
1984,911221859,483697523,81.6,81.6,19.5956528453975,9.10138008899613,10.5906624003009,1794862,884488,910374
1985,934094521,490505985,82.1,81.9,19.0663019471182,8.88195697522067,10.2756125201961,1791554,875217,916337
1986,957457837,498288116,83.6,83.4,18.6591457779734,8.71729682499596,10.029277138736,1798218,872548,925670
1987,975779147,506276079,83.7,83.5,18.2533900525995,8.5344099358379,9.80263986381282,1792864,867857,925008
1988,985939843,512023160,91.8,91.7,18.1093028922881,8.32423485136908,9.86720497243606,1795887,856003,939884
1989,993582773,514871361,94.4,94.2,18.1000542080099,8.26110681793348,9.92090504639518,1808795,854210,954585
1990,1000965600,515231153,100,100,19.4134998324336,8.72829858613818,10.779286073692,1956209,903361,1052849
1991,1008105387,514320160,100,100,18.9388223018335,8.59348911021713,10.4350063046605,1923711,887775,1035935
1992,1014861496,513356255,100,100,19.0008131332388,8.58375318790275,10.5072515997515,1944558,885103,1059454
1993,1019814771,512936795,100,100,18.9390366175117,8.56115905412961,10.4674914223466,1948774,882042,1066731
1994,1023679024,514682520,100,100,21.8852051049461,9.63104938482462,12.3733238128171,2263621,996184,1267437
1995,1029944777,520638189,100,100,18.2360893688804,8.20439432302739,10.1146798679408,1893355,857823,1035532
1996,1037704685,529375603,100,100,18.1944377055787,8.10952145833238,10.1673687422363,1901048,862092,1038956
1997,1048626246,541091464,100,100,17.9396255505759,7.91744809873996,10.1021607855406,1890864,860218,1030645
1998,1060832712,553333323,100,100,18.2697391056029,7.91210626584218,10.4402371051775,1944328,879084,1065243
1999,1073884225,563889599,100,100,17.8956044744186,7.63620499762792,10.3383452000747,1924475,864496,1059979
2000,1090168434,574061802,100,100,17.1355742300309,7.32551814156715,9.8824501563673,1869297,844152,1025145
2001,1109573812,584471291,100,100,16.8754779573009,7.1829401259472,9.7626624512106,1872980,842671,1030309
2002,1131000389,594538327,100,100,16.4880352765849,7.0109457230983,9.54400203372614,1865497,836588,1028909
