"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","1950","978310","515708","0","0",,,,,,
"World","1950","266342098","135455732","0","0",,,,,,
"Adhoc","1951","995200","526464","0","0",,,,,,
"World","1951","269208607","137429217","0","0",,,,,,
"Adhoc","1952","1011333","536660","0","0",,,,,,
"World","1952","273530764","141474536","0","0",,,,,,
"Adhoc","1953","1024435","543580","0","0",,,,,,
"World","1953","278655312","146749799","0","0",,,,,,
"Adhoc","1954","1036205","548039","0","0",,,,,,
"World","1954","285186185","153119961","0.7","0.7",,,,,,
"Adhoc","1955","1048617","551566","0","0",,,,,,
"World","1955","293348765","160631793","0.7","0.7",,,,,,
"Adhoc","1956","1061718","554820","0","0",,,,,,
"World","1956","302371212","167610139","0.7","0.7",,,,,,
"Adhoc","1957","1076353","559999","0","0",,,,,,
"World","1957","312916200","174062820","0.7","0.7",,,,,,
"Adhoc","1958","1091394","568685","0","0",,,,,,
"World","1958","324928087","180642753","0.8","0.7",,,,,,
"Adhoc","1959","1107767","580624","0","0",,,,,,
"World","1959","337361681","186667686","0.9","0.9",,,,,,
"Adhoc","1960","1126752","595421","0","0",,,,,,
"World","1960","349978771","191978478","0.9","0.9",,,,,,
"Adhoc","1961","1148039","612533","0","0",,,,,,
"World","1961","361265317","196581801","0.9","0.9",,,,,,
"Adhoc","1962","1172117","630399","0","0",,,,,,
"World","1962","371794582","200949747","0.9","0.9",,,,,,
"Adhoc","1963","1200665","648899","0","0",,,,,,
"World","1963","381978710","204844834","7.7","8.1",,,,,,
"Adhoc","1964","1233003","668185","0","0",,,,,,
"World","1964","390047094","207070410","10.4","10.9",,,,,,
"Adhoc","1965","1268414","688361","0","0",,,,,,
"World","1965","396305753","207840576","10.7","11.3",,,,,,
"Adhoc","1966","1306196","709035","0","0",,,,,,
"World","1966","401916536","208501413","13","13.9",,,,,,
"Adhoc","1967","1345201","730439","0","0",,,,,,
"World","1967","408968282","210975939","14.8","15.7",,,,,,
"Adhoc","1968","1385849","752880","0","0",,,,,,
"World","1968","419341172","217354333","16.6","17.6",,,,,,
"Adhoc","1969","1427948","776140","0","0",,,,,,
"World","1969","430186788","225861338","54.5","54.4","27.7184705591634","20.0389792765807","7.83652729055864","1235868","914368","321500"
"Adhoc","1970","1471788","800369","0","0",,,,,,
