"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","24573692","13134925","0","0",,,,,,
"Landlocked developing countries","1950","12477548","6380905","0","0",,,,,,
"Small island developing States","1950","2491030","1322857","0","0",,,,,,
"Europe and Northern America","1950","61030366","28963230","0","0",,,,,,
"Northern America","1950","13893686","7562864","0","0",,,,,,
"Europe","1950","47136680","21400366","0","0",,,,,,
"Latin America and the Caribbean","1950","20500428","11010963","0","0",,,,,,
"Central and Southern Asia","1950","57069449","29460662","0","0",,,,,,
"Central Asia","1950","1852113","755511","0","0",,,,,,
"Southern Asia","1950","55217336","28705151","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","92901976","47515150","0","0",,,,,,
"Eastern Asia","1950","72851507","37166715","0","0",,,,,,
"South-Eastern Asia","1950","20050469","10348435","0","0",,,,,,
"Northern Africa and Western Asia","1950","11788351","6086536","0","0",,,,,,
"Western Asia","1950","5918265","3013712","0","0",,,,,,
"Northern Africa","1950","5870086","3072825","0","0",,,,,,
"Sub-Saharan Africa","1950","21925646","11809567","0","0",,,,,,
"Oceania","1950","1125884","609625","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","306056","160989","0","0",,,,,,
"Australia and New Zealand","1950","819828","448636","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1950","61850194","29411866","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1950","20356525","10509424","0","0",,,,,,
"World","1950","266342098","135455732","0","0",,,,,,
"Least developed countries","1951","25098545","13447074","0","0",,,,,,
"Landlocked developing countries","1951","12624726","6473599","0","0",,,,,,
"Small island developing States","1951","2547371","1354893","0","0",,,,,,
"Europe and Northern America","1951","60951702","28960057","0","0",,,,,,
"Northern America","1951","14348416","7893652","0","0",,,,,,
"Europe","1951","46603287","21066405","0","0",,,,,,
"Latin America and the Caribbean","1951","21058265","11319118","0","0",,,,,,
"Central and Southern Asia","1951","57878687","29994747","0","0",,,,,,
"Central Asia","1951","1800541","728653","0","0",,,,,,
"Southern Asia","1951","56078146","29266095","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","93716120","48128952","0","0",,,,,,
"Eastern Asia","1951","73412178","37625404","0","0",,,,,,
"South-Eastern Asia","1951","20303943","10503548","0","0",,,,,,
"Northern Africa and Western Asia","1951","11989147","6261482","0","0",,,,,,
"Western Asia","1951","5992780","3068651","0","0",,,,,,
"Northern Africa","1951","5996368","3192831","0","0",,,,,,
"Sub-Saharan Africa","1951","22437900","12121717","0","0",,,,,,
"Oceania","1951","1176788","643145","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1951","310122","164345","0","0",,,,,,
"Australia and New Zealand","1951","866666","478800","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1951","61818368","29438857","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1951","20614064","10667893","0","0",,,,,,
"World","1951","269208607","137429217","0","0",,,,,,
"Least developed countries","1952","25635349","13765497","0","0",,,,,,
"Landlocked developing countries","1952","12809908","6639459","0","0",,,,,,
"Small island developing States","1952","2603384","1388336","0","0",,,,,,
"Europe and Northern America","1952","61401750","30003478","0","0",,,,,,
"Northern America","1952","14991010","8334134","0","0",,,,,,
"Europe","1952","46410741","21669344","0","0",,,,,,
"Latin America and the Caribbean","1952","21652654","11656337","0","0",,,,,,
"Central and Southern Asia","1952","58735171","30630215","0","0",,,,,,
"Central Asia","1952","1766480","752066","0","0",,,,,,
"Southern Asia","1952","56968691","29878150","0","0",,,,,,
"Eastern and South-Eastern Asia","1952","95291172","49561542","0","0",,,,,,
"Eastern Asia","1952","74710465","38860035","0","0",,,,,,
"South-Eastern Asia","1952","20580707","10701507","0","0",,,,,,
"Northern Africa and Western Asia","1952","12252930","6506617","0","0",,,,,,
"Western Asia","1952","6098551","3168334","0","0",,,,,,
"Northern Africa","1952","6154379","3338284","0","0",,,,,,
"Sub-Saharan Africa","1952","22961500","12432857","0","0",,,,,,
"Oceania","1952","1235588","683492","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1952","315172","168361","0","0",,,,,,
"Australia and New Zealand","1952","920417","515131","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1952","62322167","30518608","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1952","20895878","10869868","0","0",,,,,,
"World","1952","273530764","141474536","0","0",,,,,,
"Least developed countries","1953","26149194","14045424","0","0",,,,,,
"Landlocked developing countries","1953","13023801","6861067","0","0",,,,,,
"Small island developing States","1953","2662251","1424812","0","0",,,,,,
"Europe and Northern America","1953","61932793","31519725","0","0",,,,,,
"Northern America","1953","15638192","8722284","0","0",,,,,,
"Europe","1953","46294602","22797441","0","0",,,,,,
"Latin America and the Caribbean","1953","22308001","12046604","0","0",,,,,,
"Central and Southern Asia","1953","59646792","31332966","0","0",,,,,,
"Central Asia","1953","1748997","822522","0","0",,,,,,
"Southern Asia","1953","57897795","30510444","0","0",,,,,,
"Eastern and South-Eastern Asia","1953","97424126","51616863","0","0",,,,,,
"Eastern Asia","1953","76518125","40662225","0","0",,,,,,
"South-Eastern Asia","1953","20906002","10954638","0","0",,,,,,
"Northern Africa and Western Asia","1953","12583035","6805105","0","0",,,,,,
"Western Asia","1953","6240613","3308407","0","0",,,,,,
"Northern Africa","1953","6342422","3496699","0","0",,,,,,
"Sub-Saharan Africa","1953","23466488","12706139","0","0",,,,,,
"Oceania","1953","1294078","722398","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1953","321892","173432","0","0",,,,,,
"Australia and New Zealand","1953","972186","548966","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1953","62904979","32068691","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1953","21227894","11128070","0","0",,,,,,
"World","1953","278655312","146749799","0","0",,,,,,
"Least developed countries","1954","26663641","14297414","7.76","7.82",,,,,,
"Landlocked developing countries","1954","13284388","7132298","0","0",,,,,,
"Small island developing States","1954","2725489","1463589","0","0",,,,,,
"Europe and Northern America","1954","62763694","33299828","0","0",,,,,,
"Northern America","1954","16272059","9080304","0","0",,,,,,
"Europe","1954","46491635","24219524","0","0",,,,,,
