"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
1950,341786649,81494561,22.1,19.7,,,,,,
1951,354769874,83002308,28.5,26,,,,,,
1952,368211261,86456843,31.2,28.9,,,,,,
1953,380275266,87901777,49.7,48.9,,,,,,
1954,392688608,89873793,52.7,52.5,215.409829310533,136.635023577847,25.1819838640787,,,
1955,403367237,91851553,54.9,54.9,211.200424258347,134.657526306824,27.6887345404063,,13154327,2796194
1956,412841033,92463691,55.7,56.5,207.446959477327,131.718961072769,27.3936433738027,,12982702,2767554
1957,422958574,95327053,56.7,57,204.023342541675,130.38017971792,30.1386610772538,,13105571,3169725
1958,430576402,95802676,60.9,61.5,199.740387627844,127.378544282912,29.8527562884611,,13020674,3102565
1959,434260062,93378081,61.8,64.3,194.510506898945,124.110646965293,29.5933727672281,19519627,12450845,2998304
1960,433581372,92367828,63.4,66.4,190.287384923306,121.816307644909,31.2371649174523,19006988,12065550,3174073
1961,431727011,91875859,65,68,186.300993791971,119.274036100792,31.4584174633216,18542554,11761212,3152815
1962,437858069,99391096,65.5,63.9,184.695574916325,119.297512431931,30.5846929690587,18835820,12247048,3395051
1963,450214071,107938317,65.1,60,183.450167787887,118.253263094714,31.2017888570158,19751252,13270462,3709126
1964,465451514,108656854,67.2,63.4,180.361791865194,115.33014030501,30.1553359582017,19927329,13282972,3516750
1965,482301458,108199605,65.8,64.2,179.84360237461,114.73222425408,31.0557377138396,20058444,13079659,3633902
1966,497729573,107960397,65.6,65.7,176.126112180729,113.118510060272,31.2195236521211,19871432,12884032,3635591
1967,508301148,107969386,65.1,66.9,173.232195325302,110.752460188858,32.7685261960111,19696448,12621607,3806596
1968,513565900,111242450,67.2,67.7,174.301441983352,111.717725308114,32.7214703107281,20101039,12947982,3960927
1969,517493068,113154511,94.7,94.8,154.102779863934,101.363092699379,48.7674711562536,18004860,12022922,5928227
1970,524266002,114632779,94.7,94.8,151.765417272554,99.6663569427291,48.2873502724975,17939946,11964117,5958616
1971,530917286,114961727,96.7,96.7,149.118937182574,98.0357563126458,48.2219126859153,17765410,11814266,5933325
1972,538075835,114816743,97.2,97.2,143.35833718842,95.1926979228203,48.0442379005806,17057382,11440500,5902524
1973,543226546,114915307,97.2,97.1,140.346064083458,93.252045156248,48.0029604941291,16713430,11206240,5897595
1974,545364483,114456217,97.2,97.1,139.417436805305,92.4264226574086,48.0597070794913,16570662,11064999,5864634
1975,545052933,113094459,97.3,97.2,136.638283530886,90.7393588133178,47.9314342927482,16096796,10732172,5769136
1976,544087809,112976088,98.3,98.2,132.310525663784,87.9552035063653,47.407801241476,15522212,10368985,5716230
1977,542754652,112843326,98.3,98.3,129.116090200908,85.9688474904399,47.3872300065893,15126416,10128173,5690281
1978,542337738,113775644,98.6,98.5,126.075027511921,83.9197607160589,46.5190766355694,14801356,9939006,5645987
1979,544343748,116299727,99,98.9,122.139863754155,81.4965183075961,45.4611011596099,14535663,9842353,5645152
1980,549443094,118833632,99.3,99.3,118.985081139335,79.5188598203853,44.6953407699291,14431062,9805955,5659586
1981,557347106,121174260,99.4,99.4,115.777743791352,77.4629704229603,43.7677587393025,14298213,9741446,5641619
1982,568414267,124419005,99.5,99.5,112.449024955505,75.2153284451527,42.6809179278562,14214433,9697773,5649972
1983,578371986,124250589,99.7,99.7,111.319325571332,74.9116179261952,42.2600214093236,14209621,9666311,5547744
1984,589282715,125978754,99.9,99.9,109.023776671484,73.1168985931562,41.3754529769389,14019349,9534730,5527996
1985,598756834,128178209,100,100,106.314028213107,71.5071218586993,40.3739020376185,13905669,9486566,5476933
1986,608808088,130983476,100,100,103.082491871411,69.5729619637506,39.3738246239527,13732730,9414541,5456765
1987,618318309,133322784,100,100,99.3940748491212,67.4080889636039,38.6901705303126,13489540,9288858,5442357
1988,626906731,133454461,100,100,99.7937778814373,67.5880598962112,38.115719979969,13643686,9337975,5349033
1989,636696900,134508510,100,100,95.4226901874975,65.2170775138185,37.2050931721894,13115235,9056428,5267155
1990,645057886,135854691,100,100,93.5154895927483,63.9902775216954,36.56216734361,12970030,8974730,5220443
1991,646591146,132018963,100,100,92.9413542565319,64.0312084329549,36.2780236267188,12742757,8782492,4998448
