"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
1950,174077601,41326365,21.5,19.4,,,,
1951,180898041,42327367,28.4,26.1,,,,
1952,187265080,43686439,31.1,29.1,,,,
1953,193805821,44877785,49.6,48.7,,,,
1954,199791582,45621862,52.7,52.5,217.842472816756,144.734226143614,,
1955,205311492,46734553,54.9,54.9,213.263913075688,142.550167454817,,7134657
1956,210302215,47162399,55.6,56.2,209.165114248688,139.403840290706,,7039321
1957,215119066,48253844,56.8,57.2,205.911637516575,138.049437328364,,7110218
1958,219492735,48998576,60.8,61.1,201.795278879544,134.934264063687,,7065803
1959,221505791,47921231,61.6,63.6,196.620960290982,131.465130819245,10113679,6755425
1960,220948347,47098659,63.3,66.1,192.544013298647,129.051949888941,9848670,6547844
1961,220183901,46955154,64.9,67.7,188.575981407595,126.35419195876,9610069,6381992
1962,222284554,49718529,65.8,65.1,187.049728072591,126.247733048258,9783264,6642905
1963,229015437,54478431,65.3,60.6,185.49846432046,125.072001148734,10283445,7195428
1964,237781400,55807876,67,63,182.475296712152,122.086861885449,10382757,7206589
1965,246176709,55319130,65.8,64.1,182.208327968112,121.41396305841,10443230,7094724
1966,254256972,55329760,65.5,65.6,178.555664231714,119.823184343455,10340776,6995740
1967,259591156,55220218,64.9,66.5,175.617310993976,117.346058946311,10240378,6853751
1968,261832865,56451627,67.2,68.1,176.836027081433,118.22694501462,10460574,7025084
1969,264202827,57812996,94.8,94.9,157.190652588136,107.173323369637,9428615,6517018
1970,267543660,58438747,94.8,94.8,154.732311199998,105.266955149083,9391670,6480063
1971,271228997,58894720,96.8,96.7,152.010529743858,103.514297914802,9297099,6397119
1972,274957225,58838002,97.2,97.2,146.20148268901,100.567534052187,8929743,6198781
1973,277632636,58874359,97.2,97.2,143.175252335318,98.5923926509721,8754245,6077136
1974,278826563,58699796,97.2,97.1,142.166894305406,97.6627044965302,8675598,5997472
1975,278862484,58123064,97.3,97.3,139.390100578606,95.9620644030636,8430370,5822676
1976,278247790,57867863,98.3,98.2,135.010911982239,93.0841400036329,8134174,5630905
1977,277664056,57889011,98.4,98.3,131.755054062301,91.0394311919954,7928665,5504023
1978,277260903,58126872,98.6,98.5,128.627754141404,88.8923669135393,7758530,5403425
1979,278122451,59209472,99,98.9,124.693317747947,86.3847907433295,7627517,5355089
1980,280838719,60584649,99.3,99.3,121.535269663951,84.3183564137376,7578317,5337945
1981,284915824,61734216,99.4,99.4,118.279798422299,82.1592521987136,7512670,5305577
1982,290492874,63204897,99.5,99.5,114.916105050116,79.7999719816786,7473456,5284336
1983,296437652,63883231,99.7,99.7,113.851606388003,79.4630277593304,7471866,5266509
1984,301598660,64240155,99.9,99.9,111.434473804659,77.530900107797,7371692,5194813
1985,306550999,65417526,100,100,108.695523399446,75.8227897302547,7316783,5170915
1986,311700182,66769896,100,100,105.429655023317,73.7477759338386,7232141,5132926
1987,316832226,68152783,100,100,101.666064951663,71.4214623054503,7109132,5065939
1988,321818296,68664893,100,100,102.113551850203,71.5469362999434,7194033,5091858
1989,326801235,69011640,100,100,97.7068581488113,69.0999780083175,6925224,4946148
1990,331249083,69752644,100,100,95.8028571442747,67.8045306412368,6857495,4905832
1991,333352261,68815347,100,100,95.2699389205441,67.8386285685709,6738363,4801141
1992,332634309,67180023,100,100,94.5615432359144,67.0114301601379,6550499,4647497
1993,331002000,66633348,100,100,93.2792441436464,66.1062172671545,6402213,4543667
1994,328751907,66370768,100,100,91.4569695165244,64.897507390745,6242832,4444817
1995,325646709,66289998,100,100,89.4899520757703,63.6221334130402,6086435,4348505
1996,323340987,66201091,100,100,88.4073422065038,62.7616605741238,5989884,4280047
1997,322422377,66045655,100,100,86.2344198260343,61.3159141772268,5827111,4169888
1998,321919983,65982332,100,100,84.6579700878715,60.0958303746628,5714339,4084073
1999,321795187,66060666,100,100,81.4500187279623,58.1966813605917,5499678,3956501
2000,322391879,66645724,100,100,78.5898491631061,56.1365151629869,5341905,3857013
2001,323582929,67089428,100,100,76.2233321650481,54.625058865769,5199389,3760129
2002,325052995,67095719,100,100,73.1670085237716,52.5328772855772,4991894,3618530
2003,326804704,67281544,100,100,70.1912393914331,50.5386857427353,4800273,3488027
2004,328767956,67652070,100,100,67.8614589818705,48.8810600848595,4669233,3394709
2005,330518039,68089064,100,100,64.3431782380689,46.6765633873703,4451148,3257428
2006,332260146,68607994,100,100,61.6140978781933,44.8672469979072,4292950,3157914
2007,334692169,69349554,100,100,58.9731034680751,43.1142569991675,4150884,3066699
2008,337920172,70258262,100,100,56.7239286776532,41.5744567737131,4040740,2992801
2009,341634172,71097607,100,100,54.9365648534422,40.3322597564283,3950133,2930275
2010,345303748,71525639,100,100,52.573462721423,38.9279132362581,3804931,2842469
2011,348687805,71753845,100,100,51.5117481023769,38.0971444059698,3741873,2791049
2012,352041339,72462260,100,100,48.6995672431704,36.200712614248,3581703,2689343
2013,354848986,72795851,100,100,47.097317155759,35.2361118684327,3469114,2609750
2014,356718074,72645401,100,100,45.9490575901444,34.2589000949845,3387015,2541621
2015,357938737,72496238,100,100,44.937437499732,33.6008915478198,3297792,2473262
2016,358792297,72418119,100,100,43.7866584331918,32.705615131702,3219528,2415060
2017,358724678,72252781,100,100,42.9831229390052,32.1264758218674,3149067,2356720
2018,357121326,71112828,100,100,42.1137891667911,31.73943305111,3023797,2272890
2019,354508279,69909523,100,100,41.7394959212479,31.3490783396187,2952763,2216552
2020,350606990,68459599,100,100,41.4311686303805,31.3426134198979,2861423,2154020
2021,345352278,67075482,100,100,41.9356732695266,31.529632961842,2843960,2134518
2022,339669380,66478172,100,100,42.3290118338431,31.5842674685176,2839378,2120675
2023,334811553,66118208,100,100,40.6932872800053,30.6353875986907,2716692,2050430
2024,331170022,66106761,100,100,39.7096685169472,29.9321319451066,2649532,2007702
