"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","1950","1890903","1003556","0","0",,,,,,
"World","1950","521349131","265324850","0","0",,,,,,
"Adhoc","1951","1930824","1030426","0","0",,,,,,
"World","1951","526878162","269170163","0","0",,,,,,
"Adhoc","1952","1971705","1058395","0","0",,,,,,
"World","1952","535407411","277105973","0","0",,,,,,
"Adhoc","1953","2009938","1082580","0","0",,,,,,
"World","1953","545514816","287393582","0","0",,,,,,
"Adhoc","1954","2044095","1100054","0","0",,,,,,
"World","1954","558349863","299857226","0.8","0.8",,,,,,
"Adhoc","1955","2076018","1110630","0","0",,,,,,
"World","1955","574414842","314639267","0.7","0.7",,,,,,
"Adhoc","1956","2106912","1116701","0","0",,,,,,
"World","1956","592277009","328461110","0.7","0.7",,,,,,
"Adhoc","1957","2140380","1124164","0","0",,,,,,
"World","1957","613076867","341300831","0.7","0.7",,,,,,
"Adhoc","1958","2175314","1136292","0","0",,,,,,
"World","1958","636498477","354312661","0.8","0.7",,,,,,
"Adhoc","1959","2208234","1153000","0","0",,,,,,
"World","1959","661239105","366277563","0.9","0.9",,,,,,
"Adhoc","1960","2246290","1179625","0","0",,,,,,
"World","1960","686097674","376724313","0.9","0.9",,,,,,
"Adhoc","1961","2287209","1212781","0","0",,,,,,
"World","1961","708404795","385744881","0.9","0.9",,,,,,
"Adhoc","1962","2331504","1247545","0","0",,,,,,
"World","1962","729041539","394121264","0.9","0.9",,,,,,
"Adhoc","1963","2381887","1283620","0","0",,,,,,
"World","1963","748955099","401550001","7.8","8.1",,,,,,
"Adhoc","1964","2439732","1321225","0","0",,,,,,
"World","1964","764745194","405765053","10.5","11",,,,,,
"Adhoc","1965","2506644","1360407","0","0",,,,,,
"World","1965","776862357","407152679","10.8","11.4",,,,,,
"Adhoc","1966","2581332","1401313","0","0",,,,,,
"World","1966","787608523","408318456","13.1","14",,,,,,
"Adhoc","1967","2657100","1442953","0","0",,,,,,
"World","1967","801379902","413189640","14.9","15.8",,,,,,
"Adhoc","1968","2736936","1487106","0","0",,,,,,
"World","1968","821401936","425558295","16.7","17.7",,,,,,
"Adhoc","1969","2819382","1532719","0","0",,,,,,
"World","1969","842532325","442197078","54.4","54.3","27.6954029778994","20.0162174489758","7.83603327489119","2417994","1788118","629876"
"Adhoc","1970","2904824","1579982","0","0",,,,,,
"World","1970","860452871","458457845","54.7","53.6","26.9751197206188","19.4231524062082","7.70155580660733","2419996","1798405","621591"
"Adhoc","1971","2994266","1629752","0","0",,,,,,
"World","1971","877286348","474170186","54.5","52.4","26.3107010385148","18.8768484010554","7.57688025743201","2420421","1807225","613196"
"Adhoc","1972","3083300","1679498","100","100","57.0079187767975","33.7235256274794","24.0970299566056","18370","11522","6848"
"World","1972","892646001","484729619","78.6","79.1","23.60854210231","16.6241023984727","7.10251260059615","2206659","1625147","581511"
"Adhoc","1973","3178929","1732800","100","100","55.5225785116794","32.8120099733071","23.4810282722241","18433","11561","6872"
"World","1973","909503355","489254392","78.9","79.2","22.8000247010708","15.9777047336553","6.93309491079038","2160775","1576023","584752"
"Adhoc","1974","3279232","1788750","100","100","54.1552559848837","32.0023104375391","22.8853289488302","18536","11635","6901"
