"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
1950,341786649,81494561,22.1,19.7,,,,,,
1951,354769874,83002308,28.5,26,,,,,,
1952,368211261,86456843,31.2,28.9,,,,,,
1953,380275266,87901777,49.7,48.9,,,,,,
1954,392688608,89873793,52.7,52.5,215.409368950468,136.634767657747,25.1819092699715,,,
1955,403367237,91851553,54.9,54.9,211.199984376702,134.657279387526,27.6886556545317,,13154342,2796194
1956,412841033,92463691,55.7,56.5,207.446522852889,131.718712076983,27.3935643372808,,12982716,2767554
1957,422958574,95327053,56.7,57,204.022910022738,130.379933781921,30.1385757142318,,13105585,3169725
1958,430576402,95802676,60.9,61.5,199.739952614132,127.378288829387,29.8526673324492,,13020687,3102565
1959,434260062,93378081,61.8,64.3,194.510061670846,124.110383086541,29.5932808563582,19519642,12450858,2998304
1960,433581372,92367828,63.4,66.4,190.28692899445,121.816036945039,31.2370966982217,19007003,12065562,3174076
1961,431727011,91875859,65,68,186.300523996323,119.273752924857,31.4583451309873,18542568,11761224,3152818
1962,437858069,99391096,65.5,63.9,184.695108077358,119.297239483003,30.5846280598824,18835834,12247060,3395055
1963,450214071,107938317,65.1,60,183.449713643541,118.252991454899,31.2017233611805,19751266,13270474,3709130
1964,465451514,108656854,67.2,63.4,180.361323416635,115.329851043153,30.1552703526773,19927343,13282984,3516754
1965,482301458,108199605,65.8,64.2,179.843101556652,114.731918829148,31.0556659125823,20058458,13079671,3633907
1966,497729573,107960397,65.6,65.7,176.125613815158,113.118211732398,31.2194519364489,19871445,12884043,3635595
1967,508301148,107969386,65.1,66.9,173.231727151263,110.752189015698,32.7684524086445,19696461,12621618,3806600
1968,513565900,111242450,67.2,67.7,174.301007810654,111.717475592937,32.7213993016009,20101051,12947992,3960930
1969,517493068,113154511,94.7,94.8,154.10241725315,101.362869552272,48.7673599579668,18004871,12022931,5928231
1970,524266002,114632779,94.7,94.8,151.765057634683,99.6661343613536,48.2872387149544,17939956,11964126,5958620
1971,530917286,114961727,96.7,96.7,149.118580330748,98.0355346750804,48.2217965658496,17765420,11814275,5933328
1972,538075835,114816743,97.2,97.2,143.357992509226,95.1924823914999,48.0441211375028,17057392,11440508,5902527
1973,543226546,114915307,97.2,97.1,140.345726432626,93.2518336557085,48.0028429458911,16713440,11206248,5897598
1974,545364483,114456217,97.2,97.1,139.417097757802,92.4262091145372,48.0595864061385,16570671,11065007,5864637
1975,545052933,113094459,97.3,97.2,136.637942481961,90.7391418367859,47.9313089349736,16096805,10732180,5769139
1976,544087809,112976088,98.3,98.2,132.310185609327,87.9549871911671,47.4076726458764,15522221,10368993,5716233
1977,542754652,112843326,98.3,98.3,129.115747280396,85.9686280642261,47.3870954881539,15126425,10128181,5690284
1978,542337738,113775644,98.6,98.5,126.074688375827,83.9195466865289,46.5189428328791,14801365,9939014,5645989
1979,544343748,116299727,99,98.9,122.139558685894,81.4963345431707,45.4609853697111,14535671,9842360,5645154
1980,549443094,118833632,99.3,99.3,118.984794891476,79.5186764340145,44.6952240105171,14431070,9805962,5659588
1981,557347106,121174260,99.4,99.4,115.777463491109,77.462792144046,43.7676438860196,14298221,9741453,5641621
1982,568414267,124419005,99.5,99.5,112.448763479288,75.2151664333101,42.6808146151351,14214441,9697779,5649974
1983,578371986,124250589,99.7,99.7,111.319077464768,74.9114604545071,42.259921329576,14209628,9666317,5547746
1984,589282715,125978754,99.9,99.9,109.02353962074,73.1167485165685,41.3753594412577,14019356,9534736,5527998
1985,598756834,128178209,100,100,106.313801905084,71.5069780310785,40.3738117203414,13905676,9486572,5476935
1986,608808088,130983476,100,100,103.082276156208,69.5728244534222,39.3737376738817,13732737,9414547,5456767
1987,618318309,133322784,100,100,99.3938667326384,67.4079538829529,38.6900834834681,13489546,9288863,5442359
1988,626906731,133454461,100,100,99.793563067601,67.5879196386954,38.1156321947585,13643692,9337980,5349035
1989,636696900,134508510,100,100,95.4224810603189,65.21694006316,37.2050165099324,13115241,9056433,5267158
1990,645057886,135854691,100,100,93.5152809448702,63.9901399012833,36.5620904259941,12970036,8974735,5220446
1991,646591146,132018963,100,100,92.9411370760843,64.0310615910891,36.2779425084858,12742763,8782497,4998451
