"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"Adhoc",1950,1480577,786360,0,0,,,,,,
"World",1950,454208383,235463009,0,0,,,,,,
"Adhoc",1951,1502932,798460,0,0,,,,,,
"World",1951,460077148,238444125,0,0,,,,,,
"Adhoc",1952,1526365,812121,0,0,,,,,,
"World",1952,466013978,242170386,0,0,,,,,,
"Adhoc",1953,1549733,826151,0,0,,,,,,
"World",1953,471484653,245775254,0,0,,,,,,
"Adhoc",1954,1571188,838612,0,0,,,,,,
"World",1954,476344887,248738285,0.5,0.6,,,,,,
"Adhoc",1955,1592937,850577,0,0,,,,,,
"World",1955,481015153,251054665,0.5,0.6,,,,,,
"Adhoc",1956,1615448,862227,0,0,,,,,,
"World",1956,485856586,252850374,0.6,0.6,,,,,,
"Adhoc",1957,1639568,873885,0,0,,,,,,
"World",1957,490351372,253598691,0.6,0.6,,,,,,
"Adhoc",1958,1665873,887037,0,0,,,,,,
"World",1958,493735820,253609917,0.6,0.7,,,,,,
"Adhoc",1959,1692967,902592,0,0,,,,,,
"World",1959,497381031,254237722,0.8,0.9,,,,,,
"Adhoc",1960,1727012,924188,0,0,,,,,,
"World",1960,501079836,255421543,0.9,1,,,,,,
"Adhoc",1961,1765223,949710,0,0,,,,,,
"World",1961,506961846,259287524,2.7,2.9,,,,,,
"Adhoc",1962,1805361,976785,0,0,,,,,,
"World",1962,515690863,267185130,2.7,2.9,,,,,,
"Adhoc",1963,1844364,1001061,0,0,,,,,,
"World",1963,526288663,277574774,8.1,8.1,,,,,,
"Adhoc",1964,1881875,1020392,0,0,,,,,,
"World",1964,539229774,289897062,9.7,9.5,,,,,,
"Adhoc",1965,1916992,1033194,0,0,,,,,,
"World",1965,554529189,304220931,9.6,9.1,,,,,,
"Adhoc",1966,1951807,1042166,0,0,,,,,,
"World",1966,571576201,317572793,9.8,9.2,,,,,,
"Adhoc",1967,1987747,1051735,0,0,,,,,,
"World",1967,592013284,329992247,9.6,9,,,,,,
"Adhoc",1968,2026106,1066191,0,0,,,,,,
"World",1968,614978860,342517532,9.5,8.9,,,,,,
"Adhoc",1969,2064908,1086098,0,0,,,,,,
"World",1969,638969594,354141081,49.5,48.2,,,,,,
"Adhoc",1970,2104396,1113089,0,0,,,,,,
"World",1970,664009273,364854053,49.3,47.9,,,,,,
"Adhoc",1971,2145809,1145793,0,0,,,,,,
"World",1971,687091896,374524766,48.9,47.6,,,,,,
"Adhoc",1972,2186467,1177929,100,100,81.9686333817484,31.2462394202356,52.3583969688616,36640,14952,21688
"World",1972,707975142,383281476,73.3,72.9,23.9036368180251,12.2925360365729,11.7556070041828,3403302,1881931,1521371
"Adhoc",1973,2234309,1212078,100,100,82.5003483982998,31.2870404246429,52.8673715649542,37611,15409,22202
"World",1973,727894511,390881999,73.1,72.5,23.0233766736772,11.8120562088059,11.3453321661251,3369136,1844790,1524345
"Adhoc",1974,2289461,1247853,100,100,83.1850346757474,31.3980101052608,53.4657424935854,38808,15923,22885
"World",1974,743814129,395274106,73.9,73.1,22.4919540092641,11.5269397082622,11.0928812746456,3364262,1821633,1542629
"Adhoc",1975,2349862,1283381,100,100,83.9027915562123,31.5125244837514,54.0949350372698,40150,16436,23714
"World",1975,756214725,396925275,73.5,72.4,21.7913523870605,11.1784235396566,10.7329058144087,3313914,1774427,1539487
"Adhoc",1976,2412089,1317570,100,100,84.2746077619306,31.5017685662101,54.4893500916303,41389,16869,24520
"World",1976,767109689,398227502,73.3,71.9,21.2009942547052,10.8694105267973,10.4451159815109,3270954,1731680,1539274
"Adhoc",1977,2469188,1349086,100,100,84.540523376299,31.430893620871,54.8330825396357,42493,17236,25257
"World",1977,780683760,403024347,74.3,72.9,20.4927111197383,10.4555215644095,10.1432424454502,3217783,1686288,1531496
"Adhoc",1978,2528131,1382114,100,100,84.0777520814676,31.1156364175101,54.6629893665824,43240,17481,25759
"World",1978,800751001,415262641,74.3,73.1,19.9168748588945,10.0617176494238,9.95532487749631,3207399,1672381,1535018
"Adhoc",1979,2580903,1412298,100,100,83.1977407960427,30.6907581914066,54.1694851755107,43637,17614,26023
"World",1979,821582604,431464391,74.6,73.9,19.3316793426452,9.63331118765578,9.79270432310269,3192462,1663922,1528540
"Adhoc",1980,2558184,1401480,100,100,82.0952018284229,30.2321168806527,53.4798953961517,42638,17215,25423
"World",1980,839749735,447487875,75.4,75.1,18.8749464829843,9.26143483402099,9.70337885994444,3183014,1659505,1523509
"Adhoc",1981,2413207,1323943,100,100,80.12525380921,29.4662548311969,52.1970505715926,39196,15846,23350
"World",1981,857224379,463302573,76.7,76.9,18.2945033678352,8.8301104706063,9.5487090530187,3144096,1638170,1505925
"Adhoc",1982,2106192,1157824,100,100,77.6930366857571,28.5503513349109,50.5869608562578,33108,13422,19686
"World",1982,873111863,474119171,77.5,77.9,18.0808662513631,8.61466786303616,9.5484551581193,3161783,1635821,1525962
"Adhoc",1983,2071770,1141225,100,100,74.821014339984,27.4776438968216,48.6810098976682,31298,12727,18571
"World",1983,890049791,478783839,77.9,78.2,17.6024011653371,8.40106043303887,9.27929666435143,3140576,1611413,1529163
"Adhoc",1984,2095520,1157286,100,100,71.7471798134013,26.2981514548403,46.6765349439028,30282,12345,17937
"World",1984,911221859,483697523,81.6,81.6,17.0536121332808,8.16165691215778,8.96512549962552,3118098,1581791,1536306
