ISO3Code,OfficialName,SDGRCRegion16
ARE,United Arab Emirates,ESCWA_GCC
BHR,Bahrain,ESCWA_GCC
COM,Comoros,ESCWA_LDC
DJI,Djibouti,ESCWA_LDC
DZA,Algeria,ESCWA_MAGHREB
EGY,Egypt,ESCWA_MASHREQ
IRQ,Iraq,ESCWA_MASHREQ
JOR,Jordan,ESCWA_MASHREQ
KWT,Kuwait,ESCWA_GCC
LBN,Lebanon,ESCWA_MASHREQ
LBY,Libya,ESCWA_MAGHREB
MAR,Morocco,ESCWA_MAGHREB
MRT,Mauritania,ESCWA_LDC
OMN,Oman,ESCWA_GCC
PSE,State of Palestine,ESCWA_MASHREQ
QAT,Qatar,ESCWA_GCC
SAU,Saudi Arabia,ESCWA_GCC
SDN,Sudan,ESCWA_LDC
SOM,Somalia,ESCWA_LDC
SYR,Syrian Arab Republic,ESCWA_MASHREQ
TUN,Tunisia,ESCWA_MAGHREB
YEM,Yemen,ESCWA_LDC
