"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Low income","1950","8128533","1945837","7.99","8.15",,,,
"Lower middle income","1950","49880710","12386652","2.72","2.71",,,,
"Upper middle income","1950","65425781","15950974","7.74","7.57",,,,
"High income","1950","41534572","8885224","70.27","67.35",,"54.1417238444546",,
"Low and middle income","1950","123435023","30283463","5.73","5.62",,,,
"World","1950","167054490","39640527","21.7","19.4",,,,
"Low income","1951","8189301","1942851","17.71","15.73",,,,
"Lower middle income","1951","51669776","12738301","17.45","16.94",,,,
"Upper middle income","1951","69255264","16769648","11.23","10.93",,,,
"High income","1951","42526255","8761631","74.08","72.13","76.2770094499124","55.9079786638343",,"504256"
"Low and middle income","1951","129114340","31450800","14.13","13.66",,,,
"World","1951","173737606","40681411","28.6","26.1",,,,
"Low income","1952","8250371","1945148","16.49","13.87",,,,
"Lower middle income","1952","53612564","13102910","18.97","18.78",,,,
"Upper middle income","1952","73425886","17709206","18.37","17.91",,,,
"High income","1952","42620005","8744507","73.69","72.37","69.7480618910327","51.8845832017114",,"465975"
"Low and middle income","1952","135288820","32757263","18.49","18.02",,,,
"World","1952","180024522","41986260","31.3","29.1",,,,
"Low income","1953","8374983","2000336","23","21.47",,,,
"Lower middle income","1953","55785973","13493224","71.73","71.92","274.789876538758","159.564620472322",,
"Upper middle income","1953","77569600","18377740","24.1","23.97",,,,
"High income","1953","42595645","8748096","73.51","72.8","64.351096326961","48.4190326083466",,"434030"
"Low and middle income","1953","141730556","33871300","42.78","42.93",,,,
"World","1953","186472085","43119803","49.6","48.8",,,,
"Low income","1954","8553627","2063341","26.29","25.83",,,,
"Lower middle income","1954","57884991","13872621","76.55","76.46","267.404940662031","154.934111854651",,"2346378"
"Upper middle income","1954","81127758","18578090","27.5","28.09",,,,
"High income","1954","42597312","8796173","74.83","74.29","59.1623017381188","45.02451349624",,"405412"
"Low and middle income","1954","147566376","34514052","46.67","47.4",,,,
"World","1954","192351836","43826514","52.7","52.6","212.763155898736","128.015717133266",,
"Low income","1955","8752915","2122277","37.94","37.61",,,,
"Lower middle income","1955","59754319","14230248","80.26","80.38","266.259416843621","154.197705428836",,"2391255"
"Upper middle income","1955","84232803","19143540","28.11","28.69",,,,
"High income","1955","42726686","8876551","77.05","76.58","57.2196098319396","44.2187266840077",,"400235"
"Low and middle income","1955","152740036","35496064","49.07","49.95",,,,
"World","1955","197715741","44904429","54.9","54.9","209.008949305561","126.339403594512",,"6018469"
"Low income","1956","8987641","2171626","41.68","41.14",,,,
"Lower middle income","1956","61589032","14546958","81.27","81.43","262.459507023328","151.671456563883",,"2400508"
"Upper middle income","1956","86578127","19142854","28.79","30.08",,,,
"High income","1956","43023067","8920345","77.07","76.91","54.2570494636975","42.0738984310331","490815","383342"
"Low and middle income","1956","157154799","35861438","50.09","51.58","239.387986041994","142.562928194642",,
"World","1956","202503059","45329112","55.6","56.3","205.259828689825","123.518353041488",,"5937229"
"Low income","1957","9272870","2236261","51.72","51.47","261.267387208303","143.038647982075",,
"Lower middle income","1957","63400121","14898138","82.8","82.86","256.428756984371","148.692106282957",,"2407469"
"Upper middle income","1957","88622175","19684303","29.48","30.53",,,,
"High income","1957","43413913","8979369","77.07","76.9","51.6938674770391","40.3889673665618","470412","369970"
"Low and middle income","1957","161295166","36818702","51.72","52.97","234.955017503719","140.607398534301",,"5547518"
"World","1957","207093945","46355836","56.8","57.3","201.618659781282","122.234132555065",,"5991098"
"Low income","1958","9569801","2306892","56.66","56.88","266.611855607612","147.161738191742",,"368641"
"Lower middle income","1958","65155211","15235902","82.76","82.72","251.079351108663","145.912929301809","4087985","2412800"
"Upper middle income","1958","90237219","19881686","30.88","31.97",,,,
"High income","1958","43864616","9065458","92.58","92.42","49.1750039500289","38.2802707070806","451325","353870"
"Low and middle income","1958","164962230","37424480","52.86","54.16","230.27961469549","138.087107909406",,"5524049"
"World","1958","211256420","47058216","60.8","61.2","197.485284379211","119.38086331788",,"5951859"
"Low income","1959","9844343","2347296","58.31","58.01","261.405726557175","145.811007919438",,"369309"
"Lower middle income","1959","66852814","15548638","82.71","82.7","245.975251426352","143.21242082918","4085195","2413609"
"Upper middle income","1959","89741658","18431096","31.98","35.41",,,,
"High income","1959","44189726","9101492","92.64","92.41","46.991367399935","36.6606169428627","434049","341109"
"Low and middle income","1959","166438815","36327030","53.91","57.11","225.355602420191","135.36252048778",,"5275432"
"World","1959","213125011","46017969","61.7","63.7","192.159259526619","116.294660630574","9397814","5690910"
"Low income","1960","10106435","2390424","58.39","57.75","257.271128580672","143.521374616342",,"370972"
"Lower middle income","1960","68541468","15897481","83.56","83.63","242.246945739033","141.312506130091","4110468","2432552"
"Upper middle income","1960","86865849","17232305","34.01","38.84",,,,
"High income","1960","44365736","9090707","92.51","92.18","44.5462359402848","34.8979463777143","412987","325445"
"Low and middle income","1960","165513751","35520209","56.02","60.16","221.141903383716","133.031139792401",,"5114183"
"World","1960","212465776","45222591","63.3","66.2","187.851848233878","114.153037825578","9153546","5514624"
"Low income","1961","10373239","2442824","61.77","61.21","256.356328353302","142.682604680546",,"375905"
"Lower middle income","1961","70233973","16229197","83.56","83.89","237.706055487052","138.972026481671","4112998","2437867"
"Upper middle income","1961","83753377","16681216","36.3","41.24",,,,
"High income","1961","44542052","9090702","92.36","91.99","42.3083722367748","33.2604889244222","392238","309679"
"Low and middle income","1961","164360588","35353237","58.1","62.2","216.93974691806","130.722977494768","8404362","4991170"
"World","1961","211585757","45073558","65","67.7","183.90216059317","111.790338268787","8930459","5376899"
"Low income","1962","10633740","2500741","61.73","61.21","252.993808505273","140.689090725694","670547","379986"
"Lower middle income","1962","71931894","16591892","84.14","84.48","233.688146218208","136.812338955956","4126027","2451352"
"Upper middle income","1962","83478118","18902599","37.52","37.47",,,,
"High income","1962","44645895","9029068","92.2","91.77","40.1812882046586","31.7156152762292","369269","291516"
"Low and middle income","1962","166043751","37995231","59.27","59.56","213.021175083825","128.549593620743","8543857","5232011"
"World","1962","213475903","47672728","65.8","65.2","182.191254193664","111.928268637627","9049323","5600836"
"Low income","1963","10894843","2574425","67.48","67.29","250.626993699878","139.33892065704","682188","387133"
"Lower middle income","1963","73674676","16984054","84.17","84.3","229.586932468012","134.645664078127","4141430","2466579"
"Upper middle income","1963","87743388","23005955","36.75","31.53",,,,
"High income","1963","44616472","8947986","91.98","91.55","38.126463172636","30.1809716243355","347263","274352"
"Low and middle income","1963","172312907","42564433","58.96","54.75","208.833296927878","126.355611457802","8978360","5718209"
"World","1963","219817306","52180503","65.3","60.7","181.249732490307","111.013512831967","9463646","6071220"
"Low income","1964","11183122","2644161","67.51","67.39","246.690258889487","139.344143778817","689015","396530"
"Lower middle income","1964","75437612","17321683","93.83","93.94","226.309097153351","131.825455577405","4159975","2459817"
"Upper middle income","1964","94046887","23884181","35.21","30.94",,,,
"High income","1964","44468843","8894723","91.77","91.37","36.2372477756716","28.8066618077295","328038","259915"
"Low and middle income","1964","180667621","43850025","61.69","58.02","204.404687887897","123.332936472972","9066842","5728384"
"World","1964","228120329","53433134","67.1","63.2","178.044453382015","108.140377855896","9537666","6071554"
"Low income","1965","11494748","2711095","70.02","69.79","245.721530070938","136.698751306124","702347","398544"
"Lower middle income","1965","77078490","17594888","93.85","93.95","222.749729024604","130.107382367886","4170230","2466920"
"Upper middle income","1965","100290460","23207924","33.78","32.24",,,,
"High income","1965","44136205","8738022","91.58","91.27","34.5333256044412","27.5617682044877","307755","244177"
"Low and middle income","1965","188863697","43513906","60.5","59.54","203.439402972276","122.477289552034","9153718","5653394"
"World","1965","236078395","52960901","65.9","64.3","177.314521634086","107.64950264122","9611343","5981775"
"Low income","1966","11829533","2787839","74.37","74.53","252.625301897783","138.697302195859","743195","415801"
"Lower middle income","1966","78589166","17832330","93.86","93.97","219.371328845548","128.443278431436","4170057","2469217"
"Upper middle income","1966","106606220","23154124","32.45","32.77",,,,
"High income","1966","43520186","8468934","91.39","91.07","33.385073512626","26.7740823458344","287549","228325"
"Low and middle income","1966","197024918","43774292","59.46","60.36","198.301013383113","120.136193857937","9092297","5574092"
"World","1966","243712131","52969965","65.7","65.8","173.500372800151","106.033498228144","9525227","5886376"
"Low income","1967","12197694","2878803","74.43","74.62","247.768880450878","136.312568476878","749631","421540"
"Lower middle income","1967","80045128","18110415","93.95","94.08","216.295545556168","126.789275255274","4174754","2473817"
"Upper middle income","1967","110345946","22728155","31.97","33.88",,,,
"High income","1967","42932221","8415997","91.27","91.13","32.3147862580553","25.9330094015207","275966","220468"
"Low and middle income","1967","202588767","43717372","59.02","61.5","195.026706413237","118.021289890334","9026434","5458625"
"World","1967","248778112","52879925","65.1","66.8","170.675720582736","103.778737874551","9451763","5765518"
"Low income","1968","12575222","2962069","74.46","74.62","249.00076421393","137.752270248031","774194","436505"
"Lower middle income","1968","81513192","18443357","96.46","96.55","221.015532263264","129.466825913978","4342208","2567703"
"Upper middle income","1968","110987068","23413748","32.31","33.23",,,,
"High income","1968","42480872","8457481","98.61","98.48","30.8377049646005","24.8354480932156","263191","211852"
"Low and middle income","1968","205075481","44819173","60.39","62.02","195.801360001596","118.484388725481","9219099","5618309"
"World","1968","250911178","54044515","67.4","68.3","171.57368878386","104.803590362163","9635394","5919018"
"Low income","1969","12952777","3034326","91.71","91.92","244.642878034052","133.325713750945","775971","432628"
"Lower middle income","1969","83054494","18781240","96.49","96.58","216.807411743376","127.512103613229","4326617","2567318"
"Upper middle income","1969","111678080","24316483","92.16","92.4","123.535102657876","87.5343269848218",,
"High income","1969","42035775","8413100","98.59","98.48","29.3881983712795","23.6449848556553","249679","201162"
"Low and middle income","1969","207685351","46132048","93.86","94.07","170.915951792198","107.3014573696","8170446","5213060"
"World","1969","253172318","55331664","94.7","94.8","150.8864696191","95.242147118631","8577029","5505397"
"Low income","1970","13339620","3111733","91.71","91.87","241.238090586049","131.80043556956","783502","438418"
"Lower middle income","1970","84649887","19113524","96.51","96.58","216.784259879107","127.349936143985","4394986","2608827"
"Upper middle income","1970","113032744","24415908","92.16","92.3","118.29346692313","84.2870343814383",,"2145932"
"High income","1970","41798285","8467245","98.56","98.47","27.8755922944147","22.5597521637713","237600","192787"
"Low and middle income","1970","211022250","46641164","93.88","94.02","168.207360937991","105.50688163279","8145265","5193177"
"World","1970","256368463","55914964","94.7","94.8","148.585564736188","93.7000823699258","8543621","5479754"
"Low income","1971","13724408","3186645","91.69","91.81","238.117863108947","131.027992691744","792016","445636"
"Lower middle income","1971","86283855","19486213","96.52","96.6","214.904476494498","125.329413988838","4435228","2619970"
"Upper middle income","1971","114301258","24303943","96.65","96.68","113.432391508723","81.8328376995244",,"2065351"
"High income","1971","41862238","8518682","98.61","98.52","26.5808786318834","21.5124839657775","227045","184278"
"Low and middle income","1971","214309521","46976800","96.28","96.31","165.298056906511","103.909930931196","8071043","5130957"
"World","1971","259816893","56323078","96.7","96.7","145.999512557889","92.1786523315028","8462630","5411742"
"Low income","1972","14095054","3264288","96.36","96.41","233.192476844774","127.660803188707","793141","444937"
"Lower middle income","1972","88059729","19911157","96.83","96.91","201.232913757467","119.703859265671","4218705","2555065"
"Upper middle income","1972","115469990","23796056","96.66","96.57","108.85322670176","78.7508028891118",,"1943845"
"High income","1972","41910233","8442909","99.44","99.44","25.5498795989352","21.1327816706609","215806","178127"
