"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Africa","1950","19237285","4376996","8.57","8.39",,,,
"Northern Africa","1950","4028333","963348","0","0",,,,
"Southern Africa","1950","1195221","263310","2.06","2.14",,,,
"Eastern Africa","1950","5951372","1357632","0.78","0.75",,,,
"Western Africa","1950","5846659","1297404","26.98","27.09",,,,
"Middle Africa","1950","2215700","495302","0","0",,,,
"Asia","1950","96904521","22330226","11.51","11.03",,,,
"Eastern Asia","1950","44141647","10387284","12.2","11.08",,,,
"Central Asia","1950","989378","286425","0","0",,,,
"Southern Asia","1950","35846007","8085992","8.56","8.48",,,,
"South-Eastern Asia","1950","12233211","2722215","18.55","19.66",,,,
"Western Asia","1950","3694278","848310","11.7","10.68",,,,
"Americas","1950","22357812","4942494","43.39","42.97",,,,
"Northern America","1950","9225579","2015525","100","100",,"28.9027324110352",,
"Latin America and the Caribbean","1950","13132233","2926969","3.62","3.7",,,,
"Central America","1950","3219530","700422","2.66","2.79",,,,
"South America","1950","8882225","2003618","1.61","1.55",,,,
"Caribbean","1950","1030478","222929","23.91","25.84",,,,
"Europe","1950","25329432","6401358","46.28","42.42",,,,
"Northern Europe","1950","3425342","738123","93.39","93.7",,"27.2596075596833",,
"Southern Europe","1950","5283642","1200492","56.14","56.82",,"67.2600158228463",,
"Eastern Europe","1950","11033944","3180302","20.04","16.99",,,,
"Western Europe","1950","5586504","1282441","59.86","62.49",,"39.1816002270942",,"23929"
"Oceania","1950","733071","161480","79.26","79.15",,"27.6752707556811",,
"Australia and New Zealand","1950","546968","120465","100","100",,"22.7544768176604",,
"Melanesia","1950","165198","36398","16.34","16.07",,,,
"Micronesia","1950","7294","1673","0","0",,,,
"Polynesia","1950","13611","2944","52.13","51.12",,"99.6191255052341",,
"Africa","1951","19837701","4453730","12.31","12.07",,,,
"Northern Africa","1951","4230024","971526","0","0",,,,
"Southern Africa","1951","1236616","276691","2.06","2.04",,,,
"Eastern Africa","1951","6142033","1381146","13.09","12.62",,,,
"Western Africa","1951","5954392","1314581","27.07","27.21",,,,
"Middle Africa","1951","2274636","509786","0","0",,,,
"Asia","1951","103074004","24444973","20.8","18.41",,,,
"Eastern Asia","1951","47908909","11687903","14.23","11.07",,,,
"Central Asia","1951","1106049","263598","0","0",,,,
"Southern Asia","1951","37286655","8566814","17.56","16.24",,,,
"South-Eastern Asia","1951","12812921","2960877","59.3","56.98","217.162703966188","157.226624747175",,
"Western Asia","1951","3959470","965781","11.98","13.18",,,,
"Americas","1951","23229050","5053005","56.29","55.3","66.1706767630713","59.6654288663655",,
"Northern America","1951","9511620","1980805","100","100","32.7966327541467","28.0093510076738",,"56452"
"Latin America and the Caribbean","1951","13717430","3072200","25.99","26.47",,,,
"Central America","1951","3375604","784580","77.84","77.83","182.332160924662","144.217619357889",,
"South America","1951","9279066","2053936","7.22","6.88",,,,
"Caribbean","1951","1062760","233684","25.13","26.28",,,,
"Europe","1951","26834345","5858574","44.69","40.7",,,,
"Northern Europe","1951","3397099","624004","93.24","92.11","30.9579029590183","26.1183144345436",,"16307"
"Southern Europe","1951","5396102","1089616","55.85","54.48","84.0805671053582","64.3088374896336",,"72641"
"Eastern Europe","1951","12292476","2956532","19.3","18.35",,,,
"Western Europe","1951","5748668","1188422","59.83","56.68","44.273655247104","36.7315227982925",,"43732"
"Oceania","1951","761807","158791","79.49","77.84","35.5679276860817","27.1846012459111",,"4655"
"Australia and New Zealand","1951","568868","115563","100","100","28.1646614943024","22.3465462758274",,"2571"
"Melanesia","1951","171064","38220","16.31","15.74",,,,
"Micronesia","1951","7701","1780","0","0",,,,
"Polynesia","1951","14174","3228","61.88","62.79","147.506152605485","99.9517855179847",,"367"
