"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
1950,166280229,39915013,24.5,22,,,,
1951,173492033,40509723,32.3,29.7,,,,
1952,180358462,42213487,33.1,31,,,,
1953,186751857,42882379,51,50.4,213.13206657251,136.928153820683,,
1954,192785120,43867343,51.5,51.4,211.489688856856,134.111752466971,,6244521
1955,197862518,44752488,53.6,53.6,210.166427739129,134.500606715493,,6405942
1956,202354117,45061219,54.8,55.6,205.376502536112,130.963981395509,,6288568
1957,207031872,46431256,55,55.3,201.003652574286,128.543549242277,,6290484
1958,210608294,46654195,55.6,56.3,196.077833011462,124.936529280101,9622155,6213961
1959,212066689,45475604,56.8,59.3,190.884979816398,121.659633548702,9322451,5941854
1960,211702765,44974132,58.3,61.2,186.474222149579,119.091850987519,9067063,5740747
1961,210870335,44809718,59.7,62.7,182.280893948606,116.322751910432,8838898,5588800
1962,213880382,48432632,60.3,59.2,180.376965185978,116.099183362821,8968364,5810403
1963,219939936,52565325,60.6,56.4,181.52435925045,116.603092382098,9523621,6371041
1964,227469752,52986364,63.3,60.4,178.871520928213,113.659973192096,9624252,6374921
1965,235721087,52788472,62.1,61.1,177.944637840277,113.015839997347,9673222,6276682
1966,243182635,52640299,62.1,62.6,173.835844958254,111.174475416077,9553967,6165063
1967,248367104,52642776,62,64.1,171.077048089753,108.593913249023,9471376,6024613
1968,250809376,54153496,64.5,65.4,168.076358525886,107.273453179516,9432486,6047658
1969,252626968,55094455,92,92.3,147.996745455719,95.0575409497247,8394084,5484319
1970,255767444,55799933,93.8,93.9,145.76080017176,93.5551218313769,8381393,5467120
1971,258818492,55969316,95.7,95.7,146.056476110786,93.3556944860943,8469881,5472642
1972,262058591,55851260,96.2,96.1,139.396897025677,90.2708592443812,8080761,5271135
1973,264427032,55890630,96.2,96.1,136.766384504395,88.6088821580458,7931803,5172436
1974,265364207,55675440,97,97,133.367237021809,86.6210835323361,7716234,5035746
1975,265105986,54933138,97.4,97.3,131.134234029384,85.2209364338493,7517069,4890609
1976,264513129,54785624,97.4,97.4,128.461063222454,83.3267835032179,7312636,4756827
1977,263761453,54692553,97.4,97.4,125.397861516248,81.4157543510826,7118502,4639343
1978,263398553,55100553,97.8,97.8,122.581909457613,79.5382435497433,6970056,4555621
1979,264201827,56346398,98.2,98.3,118.940522885291,77.2877215927022,6855845,4514250
1980,266568117,57606599,98.7,98.7,115.466918336663,75.2560763085222,6779958,4492220
1981,270280457,58770890,99.1,99.1,112.029289225154,73.2405226185509,6697208,4457344
1982,275695986,60321550,99.2,99.2,108.527091892653,71.0307076833634,6635828,4431642
1983,280588813,60130151,99.2,99.2,106.27528694343,70.196367455599,6553486,4374380
1984,285887046,60916787,99.6,99.6,104.214274945414,68.5431591476954,6467731,4315248
1985,290390570,61954832,100,100,101.413035710379,66.8839364748294,6401443,4282882
1986,295018004,63281060,100,100,98.6121157832535,65.270241782213,6339073,4259843
1987,299317015,64413712,100,100,96.0870037121203,63.8341697935835,6291413,4243951
1988,303221681,64390210,100,100,94.1424126220405,62.9087498257819,6206472,4186380
1989,307604544,64782642,100,100,92.4485799830822,61.7854638837819,6116413,4126749
1990,311317665,65378445,100,100,90.4557522220408,60.5487550743812,6037841,4080784
1991,311851298,63599508,100,100,89.4651438264381,60.3571211669103,5901394,3976639
1992,311070854,62536675,100,100,88.9534060686398,59.681611147007,5741507,3853403
1993,309159655,61996782,100,100,87.9048456342663,58.9212969090626,5614992,3766862
1994,306801999,61712742,100,100,86.9626792774812,58.1974504894481,5514295,3698449
1995,303450213,61470132,100,100,85.0889717128384,57.0505567080732,5364048,3609795
1996,300839301,61258280,100,100,83.3575344676725,55.8846511584198,5228305,3523223
1997,299506029,61079470,100,100,81.47102892883,54.6633479056577,5088358,3433285
1998,298608102,60970545,100,100,79.3635519688839,53.2940053747608,4943290,3339544
1999,298070344,61027046,100,100,76.8592883980551,51.703348410433,4781146,3237237
2000,298467164,61724794,100,100,74.2973934554763,50.0493836613051,4646275,3162480
2001,298954770,61878120,100,100,71.7290802500312,48.644413523263,4504187,3081728
2002,300214762,62059517,100,100,69.2439563414609,47.0664724023012,4353911,2989706
2003,301860123,62282263,100,100,66.5612401395737,45.3929670125634,4199532,2892430
2004,303872592,62728178,100,100,63.9027868145045,43.5850106061801,4056002,2793951
2005,305590479,63098463,100,100,61.0419465365487,41.8974029163003,3899140,2700876
2006,307435727,63658830,100,100,58.4184114206859,40.216247343301,3758130,2612411
2007,309825140,64450239,100,100,55.9293733179121,38.6843013647042,3634390,2539762
2008,312778236,65278329,100,100,53.6803829458614,37.2576232959801,3529918,2476484
2009,316042419,65867082,100,100,51.2743593556613,35.8859492019033,3400975,2404021
2010,319275143,66189054,100,100,49.4273192329784,34.7805385791578,3297753,2341697
2011,322416899,66499420,100,100,47.5178894098488,33.6126791658322,3184454,2271911
2012,325894197,67457467,100,100,45.5734447380621,32.2710333980803,3089436,2211485
2013,328206670,67361836,100,100,43.9619198171574,31.388960982025,2991890,2148586
2014,330448681,67511032,100,100,42.3654400554451,30.2812607252754,2890377,2080070
2015,331659087,67151471,100,100,41.0937769721618,29.5638648672786,2793646,2015147
2016,333046846,67415121,100,100,39.7693151520671,28.6570178645091,2705680,1959629
2017,333372292,67306917,100,100,38.4927718901621,27.8333922081205,2616664,1900320
2018,332356938,66141902,100,100,37.8121691812195,27.5149892907224,2532122,1841922
2019,330977607,65357104,100,100,37.0412417717891,26.9494653676224,2449028,1785010
2020,328261164,64176768,100,100,36.4295410812067,26.6102174822986,2368606,1729159
2021,325132794,63585817,100,100,35.7399645232621,26.1247986483936,2295109,1680344
