"CountryName","OfficialName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion3","MDGRegion4","MDGRegion5","MDGRegion6","UNICEFProgRegion1","UNICEFProgRegion2","UNICEFProgRegion3","UNICEFProgRegion4","UNICEFProgRegion5","MENAEMRORegion","ECACountries","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","WBRegion5","UNPDRegion1","UNPDRegion2","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","FragileCountries2017","FragileCountries2018","FragileCountries2018OECD1","FragileCountries2018OECD2","FragileCountries2019","FCSCountries2020","FCSCountries20211","FCSCountries20212","USAIDcountry","M49Region1","M49Region2","M49Region3","SDGSimpleRegion1","SDGSimpleRegion2","SDGSimpleRegion3","SDGSimpleRegion4","SDGSimpleRegion5","SDGSimpleRegion6","SDGRegion1","SDGRegion2","SDGRegion3","SDGRegion4","SDGRegion5","SDGRegion6","HAC2020","HAC2019","GlobalStrategy","Conflict","UNICEFReportRegion1","UNICEFReportRegion2","Wealthdata1","Wealthdata2","Wealthdata3","WealthdataGlobal","Wealthall1","Wealthall2","Wealthall3","WealthallGlobal","UNRegion","AfricanEconomicCommunity","GAVICountries","SDGRCRegion1","SDGRCRegion2","SDGRCRegion3","SDGRCRegion4","SDGRCRegion5","SDGRCRegion6","SDGRCRegion7","SDGRCRegion8","SDGRCRegion9","SDGRCRegion10","SDGRCRegion11","SDGRCRegion12","SDGRCRegion13","SDGRCRegion14","SDGRCRegion15","JHURegion","SPhumanitarian","JHUFragile2021","LiST_UNICEFProgramm","LiST_UNICEFReport","LiST_all","ListSBRESCAP","ListSBR","EAPRORegion1","EAPRORegion2","EAPRORegion3","EAPRORegion4","EAPRORegion5","EAPRORegion6","EAPRORegion7","EAPRORegion8","EAPRORegion9","EECA","ARR 1990-2020 median","ARR 1990-2000 median","ARR 2000-2020 median","Required ARR median","Change in ARR median","Percentage decline 1990-2020 median","Percentage decline 1990-2000 median","Percentage decline 2000-2020 median"
"Afghanistan","Afghanistan",67,"AFG",4,"AFG","Southern Asia","Southern Asia excluding India","","Least developed countries","","LLDC","South Asia","South Asia","Asia","Least developed countries","","MENAEMRO","","Eastern Mediterranean","South Asia","South Asia (excluding high-income)","Low income","Low income","Low and middle income","Asia","","Least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Fragile","Fragile","Fragile","Fragile","Fragile","Fragile","Extremely Fragile","Fragile","Fragile and Conflict-affected Situation","Fragile and Conflict-affected Situation","High-intensity Conflict","USAID","Asia","Southern Asia","","Central and Southern Asia","Southern Asia","Least developed countries","Landlocked developing countries","","","Central Asia (M49) and Southern Asia (MDG=M49)","Asia (M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Least developed countries (LDCs)","Landlocked developing countries (LLDCs)","HAC","HAC","Global Strategy","Conflict","South Asia","","South Asia","","Low income","Low and middle income","South Asia","","Low income","Low and middle income","Asia-Pacific Group","","GAVI","","","","","","ESCAP_ADB Group A (ADB_DMC_A)","ESCAP_SAARC (SAARC)","ESCAP_ECO (ECO)","","ESCAP_LDC (LDC_E)","ESCAP_LLDC (LLDC_E)","ESCAP_South and South-West Asia (SSWA)","ESCAP_All countries","","","South Asia","Humanitarian","Fragile","South Asia","South Asia","LiST","LiSTSBR","LiSTSBR","","","","","","","","","","",3.87759574180154,3.33311801342704,4.14983460598879,,0.816716592561749,68.7539970173217,28.3453260914643,56.3936289451787
"Angola","Angola",1,"AGO",24,"ANG","Sub-Saharan Africa","Sub-Saharan Africa","South Africa","Least developed countries","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Middle income","Lower middle income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Non-fragile","non-FCS","non-FCS","","","Africa","Middle Africa","","Sub-Saharan Africa","","Least developed countries","","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","","HAC","HAC","","Non conflict","Sub-Saharan Africa","Eastern and Southern Africa","Sub-Saharan Africa","Eastern and Southern Africa","Lower middle income","Low and middle income","Sub-Saharan Africa","Eastern and Southern Africa","Lower middle income","Low and middle income","African Group","Economic Community of Central African States","GAVI","ECA_Southern Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","Eastern and Southern Africa","Non-humanitarian","","Eastern and Southern Africa","Eastern and Southern Africa","LiST","","LiSTSBR","","","","","","","","","","",3.89880174711293,0.907568831916073,5.39441820471136,,4.48684937279529,68.9521469253827,8.67602921643544,66.0025152123533
"Albania","Albania",146,"ALB",8,"ALB","","","","","","","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Europe","","","","OIC","Asia/other","OIC Lower middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Europe","Southern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","","","","","","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","","","ECE_All countries","","ECE_West Balkans (ST7)","","","","","","","","","ESCAP_Europe (Europe)","","","Eastern Europe and Central Asia","Non-humanitarian","","Europe and Central Asia","Eastern Europe and Central Asia","LiST","","LiSTSBR","","","","","","","","","","EECA",4.70094238669193,4.30097355839806,4.90092680083887,,0.599953242440808,75.5925730304789,34.9554233053187,62.4758462429707
"Andorra","Andorra",167,"AND",20,"AND","","","","","","","Non-programme countries","Non-programme countries","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Southern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","","","","","","","","Europe and Central Asia","Western Europe","","","","","","","","","Western European and Others Group (WEOG)","","","","ECE_All countries","","","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","",5.7881017253741,5.93811611980828,5.713094528157,,-0.225021591651283,82.3851962902027,44.7781574156188,68.1017458211737
"United Arab Emirates","United Arab Emirates",66,"ARE",784,"UAE","Western Asia","Western Asia","","","","","Middle East and North Africa","Middle East and North Africa (excluding Djibouti and Sudan)","","","Middle East","MENAEMRO","","Eastern Mediterranean","Middle East and North Africa","","High income","High income","","Asia","","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Asia","Western Asia","","Northern Africa and Western Asia","Western Asia","","","","","Western Asia (M49) and Northern Africa (M49)","Asia (M49)","Western Asia (M49)","Western Asia (MDG)","","","","","","Non conflict","Middle East and North Africa","","","","","","","","","","Asia-Pacific Group","","","","","","","","","","","","","","","ESCAP_Other Area (OTH_REGION)","ESCWA_All countries","ESCWA_Arab countries","Middle East and North Africa","Non-humanitarian","","","","","","","","","","","","","","","","",3.00316454563012,3.88213296324869,2.56368033682084,,-1.31845262642785,59.3816139570518,32.1732344164263,40.1145171917424
"Argentina","Argentina",106,"ARG",32,"ARG","Latin America and the Caribbean","Latin America and the Caribbean","","","Latin America","","Latin America and Caribbean","Latin America and Caribbean","","","","","","Americas","Latin America and the Caribbean","Latin America and the Caribbean (excluding high-income)","Middle income","Upper middle income","Low and middle income","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","","","","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","South America (M49)","Latin America and the Caribbean (MDG=M49)","","","","","","Non conflict","Latin America and Caribbean","","","","","","Latin America and Caribbean","","Upper middle income","Low and middle income","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Latin America","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","Latin America and the Caribbean","Latin America and Caribbean","LiST","","LiSTSBR","","","","","","","","","","",4.11251106081508,3.80725035940426,4.26514141152049,,0.457891052116237,70.8802433136163,31.663423518588,57.387744330001
"Armenia","Armenia",137,"ARM",51,"ARM","Caucasus and Central Asia","Caucasus and Central Asia","","","","LLDC","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Asia","","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","Fragile and Conflict-affected Situation","High-intensity Conflict (International)","","Asia","Western Asia","","Northern Africa and Western Asia","Western Asia","","Landlocked developing countries","","","Western Asia (M49) and Northern Africa (M49)","Asia (M49)","Western Asia (M49)","Caucasus and Central Asia (MDG)","","Landlocked developing countries (LLDCs)","","","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","GAVI","","ECE_All countries","ECE_Eastern Europe, Caucasus and Central Asia (CIS)","ECE_CIS (CWG)","","ESCAP_ADB Group C (ADB_DMC_C)","","","","","ESCAP_LLDC (LLDC_E)","ESCAP_North and Central Asia (NCA)","ESCAP_All countries","","","Eastern Europe and Central Asia","Non-humanitarian","","Europe and Central Asia","Eastern Europe and Central Asia","LiST","LiSTSBR","LiSTSBR","","","","","","","","","","EECA",5.02587764918995,4.80326037872097,5.13718628442443,,0.33392590570346,77.8595358532682,38.1418322129235,64.20769489497
"Antigua & Barbuda","Antigua and Barbuda",105,"ATG",28,"ANT","Latin America and the Caribbean","Latin America and the Caribbean","","","Caribbean","SIDS","Latin America and Caribbean","Latin America and Caribbean","","","","","Eastern Caribbean Area","Americas","Latin America and the Caribbean","","High income","High income","","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","Caribbean","Latin America and the Caribbean","","","Small island developing States","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","Caribbean (M49)","Latin America and the Caribbean (MDG=M49)","","Small island developing States (SIDS)","","","","Non conflict","Latin America and Caribbean","","","","","","","","","","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Carribean","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","","","","","","","","","","","","","","","",2.57282441540521,-0.96023480183528,4.33935402402545,,5.29958882586073,53.7841477575121,-10.0784910322259,58.0155470799849
"Australia","Australia",169,"AUS",36,"AUS","","","","","","","Non-programme countries","Non-programme countries","","","","","","Western Pacific","East Asia and Pacific","","High income","High income","","Oceania","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Oceania","Australia and New Zealand","","Oceania","Australia and New Zealand","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Australia and New Zealand (M49)","Oceania (M49)","Australia and New Zealand (M49)","","","","","","","","East Asia and Pacific","","","","","","","","","","Western European and Others Group (WEOG)","","","","","","","","","","","","","","ESCAP_PACIFIC (PAC)","ESCAP_All countries","","","High Income Countries","Non-humanitarian","","","","","","","","","","","EAPR Countries","EAPR Countries (excluding China)","Pacific Countries","Pacific Countries (excluding PNG)","","",2.92323028874773,3.8084277615581,2.48063155234255,,-1.32779620921554,58.3958010128807,31.6714690081733,39.1115272299708
"Austria","Austria",168,"AUT",40,"ATR","","","","","","","Non-programme countries","Non-programme countries","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Western Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","","","","","","","","Europe and Central Asia","Western Europe","","","","","","","","","Western European and Others Group (WEOG)","","","","ECE_All countries","ECE_European Union (EMU)","ECE_Euro area (E25)","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","",3.14505160757439,5.31926615218534,2.05794433526892,,-3.26132181691642,61.0742998888209,41.2527953909582,33.7403364632807
