"Region","ARR.1990.2020.median","ARR.1990.2000.median","ARR.2000.2020.median","Required.ARR.median","Change.in.ARR.median","Percentage.decline.1990.2020.median","Percentage.decline.1990.2000.median","Percentage.decline.2000.2020.median"
"Africa",3.04149832652559,1.67929153995324,3.72260171981177,,2.04331017985853,59.8460551635664,15.4586273252085,52.5037936267071
"Northern Africa",3.77960142501856,3.70203096139785,3.81838665682892,,0.116355695431071,67.8217821782178,30.9405940594059,53.4050179211469
"Southern Africa",1.85809679586252,-2.09389146502032,3.83409092630395,,5.92798239132427,42.7320490367776,-23.292469352014,53.5511363636364
"Eastern Africa",4.09804434723258,2.49351216519802,4.90031043824987,,2.40679827305185,70.7535885167464,22.0693779904306,62.4712202609363
"Western Africa",2.60255662217085,1.74426913853388,3.03170036398933,,1.28743122545545,54.1945445187854,16.0061760164694,45.4656862745098
"Middle Africa",2.85898855869367,1.07918061808943,3.74889252899579,,2.66971191090636,57.5862068965517,10.2298850574713,52.752880921895
"Asia",4.19095954364553,2.83926904689457,4.866804792021,,2.02753574512643,71.5575620767494,24.7178329571106,62.2188905547226
"Eastern Asia",6.53502982825489,3.96191471322835,7.82158738576815,,3.8596726725398,85.9213250517599,32.712215320911,79.0769230769231
"Central Asia",4.47557912881333,1.62144327508004,5.90264705567998,,4.28120378059994,73.8853503184713,14.968152866242,69.2883895131086
"Southern Asia",4.18886190465399,3.14476425589302,4.71091072903448,,1.56614647314147,71.5396578538103,26.9828926905132,61.0223642172524
"South-Eastern Asia",3.77539552217768,4.0243020441301,3.65094226120147,,-0.373359782928632,67.7811550151976,33.1306990881459,51.8181818181818
"Western Asia",3.76595968712186,4.51754363386662,3.39016771374949,,-1.12737592011714,67.6898222940226,36.3489499192246,49.238578680203
"Americas",3.98228706252577,5.0574947073413,3.44468324011801,,-1.61281146722329,69.7201017811705,39.6946564885496,49.789029535865
"Northern America",1.83119762589411,2.70645885299213,1.3935670123451,,-1.31289184064703,42.2680412371134,23.7113402061856,24.3243243243243
"Latin America and the Caribbean",4.12624785333873,5.17514611916787,3.60179872042415,,-1.57334739874372,71,40.4,51.3422818791946
"Central America",4.08357389450061,4.71300365973802,3.7688590118819,,-0.944144647856117,70.6263498920086,37.5809935205184,52.9411764705882
"South America",4.50931230463282,5.70699024813405,3.91047333288221,,-1.79651691525184,74.1482965931864,43.4869739478958,54.2553191489362
"Caribbean",2.35431884467817,3.02793254463136,2.01751199470158,,-1.01042054992978,50.6531204644412,26.1248185776488,33.2023575638507
"Europe",3.97234237244707,3.83486201389389,4.04108255172366,,0.206220537829771,69.6296296296296,31.8518518518519,55.4347826086957
"Northern Europe",2.97493361060146,3.75789339962048,2.58345371609194,,-1.17443968352853,59.0361445783133,31.3253012048193,40.3508771929825
"Southern Europe",4.54434947631731,6.40304699185566,3.61500071854813,,-2.78804627330752,74.4186046511628,47.2868217054264,51.4705882352941
"Eastern Europe",4.22223799513833,2.01284757501711,5.32693320519895,,3.31408563018184,71.8232044198895,18.232044198895,65.5405405405405
"Western Europe",2.4907146727674,4.38913042175704,1.54150679827258,,-2.84762362348446,52.6315789473684,35.5263157894737,26.530612244898
"Oceania",1.99001106669014,1.09787561880186,2.43607879063428,,1.33820317183242,44.954128440367,10.3975535168196,38.5665529010239
"Australia and New Zealand",2.918229124513,3.87765531008763,2.43851603172568,,-1.43913927836195,58.3333333333333,32.1428571428571,38.5964912280702
"Melanesia",2.13525431183536,1.68216950612413,2.36179671469097,,0.679627208566846,47.3011363636364,15.4829545454546,37.6470588235294
"Micronesia",1.85650101449761,2.67716641206083,1.446168315716,,-1.23099809634483,42.7046263345196,23.4875444839858,25.1162790697674
"Polynesia",2.02717989242184,3.09422059088187,1.49365954319183,,-1.60056104769004,45.5645161290323,26.6129032258065,25.8241758241758
