"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","1950","690562","370930","0","0",,,,,,
"World","1950","224108423","115774910","0","0",,,,,,
"Adhoc","1951","703205","377793","0","0",,,,,,
"World","1951","226661094","117154635","0","0",,,,,,
"Adhoc","1952","716616","385256","0","0",,,,,,
"World","1952","229338037","118847622","0","0",,,,,,
"Adhoc","1953","729884","392597","0","0",,,,,,
"World","1953","231764181","120466795","0","0",,,,,,
"Adhoc","1954","742391","399218","0","0",,,,,,
"World","1954","233969039","121823028","0.6","0.6",,,,,,
"Adhoc","1955","754587","405507","0","0",,,,,,
"World","1955","236129066","122877578","0.6","0.6",,,,,,
"Adhoc","1956","767049","411710","0","0",,,,,,
"World","1956","238407126","123714534","0.6","0.6",,,,,,
"Adhoc","1957","780178","417905","0","0",,,,,,
"World","1957","240477969","124101037","0.6","0.6",,,,,,
"Adhoc","1958","793888","424765","0","0",,,,,,
"World","1958","242164407","124197354","0.7","0.7",,,,,,
"Adhoc","1959","809647","434041","0","0",,,,,,
"World","1959","243897935","124496898","0.9","0.9",,,,,,
"Adhoc","1960","828910","446671","0","0",,,,,,
"World","1960","245641829","125061364","0.9","1",,,,,,
"Adhoc","1961","850921","461940","0","0",,,,,,
"World","1961","248437002","126932087","2.7","2.8",,,,,,
"Adhoc","1962","874701","478831","0","0",,,,,,
"World","1962","252782326","130801710","2.7","2.8",,,,,,
"Adhoc","1963","899178","495450","0","0",,,,,,
"World","1963","258036832","135892078","8.2","8.2",,,,,,
"Adhoc","1964","922941","509162","0","0",,,,,,
"World","1964","264313283","141928911","9.8","9.6",,,,,,
"Adhoc","1965","943910","517313","0","0",,,,,,
"World","1965","271880666","148997438","9.7","9.2",,,,,,
"Adhoc","1966","963110","521446","0","0",,,,,,
"World","1966","280474582","155667786","9.9","9.3",,,,,,
"Adhoc","1967","983072","524955","0","0",,,,,,
"World","1967","290612805","161849365","9.7","9.1",,,,,,
"Adhoc","1968","1003604","529300","0","0",,,,,,
"World","1968","301994862","168082923","9.6","9.1",,,,,,
"Adhoc","1969","1024008","536402","0","0",,,,,,
