"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","18679559","9928805","0","0",,,,,,
"Landlocked developing countries","1950","10126604","5281938","0","0",,,,,,
"Small island developing States","1950","1889868","1005059","0","0",,,,,,
"Europe and Northern America","1950","61581337","29507644","0","0",,,,,,
"Northern America","1950","12462112","5927105","0","0",,,,,,
"Europe","1950","49119225","23580540","0","0",,,,,,
"Latin America and the Caribbean","1950","16062782","8448166","0","0",,,,,,
"Central and Southern Asia","1950","44774498","23786107","0","0",,,,,,
"Central Asia","1950","1786249","852813","0","0",,,,,,
"Southern Asia","1950","42988250","22933294","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","74502316","39611942","0","0",,,,,,
"Eastern Asia","1950","58113126","30752398","0","0",,,,,,
"South-Eastern Asia","1950","16389190","8859545","0","0",,,,,,
"Northern Africa and Western Asia","1950","9493464","5024050","0","0",,,,,,
"Western Asia","1950","4639373","2466702","0","0",,,,,,
"Northern Africa","1950","4854091","2557348","0","0",,,,,,
"Sub-Saharan Africa","1950","16747446","8939653","0","0",,,,,,
"Oceania","1950","946582","457349","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","231364","122026","0","0",,,,,,
"Australia and New Zealand","1950","715218","335323","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1950","62296555","29842967","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1950","16620554","8981570","0","0",,,,,,
"World","1950","224108423","115774910","0","0",,,,,,
"Least developed countries","1951","19024258","10102216","0","0",,,,,,
"Landlocked developing countries","1951","10334314","5400190","0","0",,,,,,
"Small island developing States","1951","1930227","1027682","0","0",,,,,,
"Europe and Northern America","1951","61069923","29368514","0","0",,,,,,
"Northern America","1951","12320213","5900424","0","0",,,,,,
"Europe","1951","48749710","23468090","0","0",,,,,,
"Latin America and the Caribbean","1951","16340686","8554825","0","0",,,,,,
"Central and Southern Asia","1951","45657316","24242405","0","0",,,,,,
"Central Asia","1951","1836980","889024","0","0",,,,,,
"Southern Asia","1951","43820337","23353381","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","75863544","40307735","0","0",,,,,,
"Eastern Asia","1951","59046504","31252880","0","0",,,,,,
"South-Eastern Asia","1951","16817040","9054855","0","0",,,,,,
"Northern Africa and Western Asia","1951","9687244","5111179","0","0",,,,,,
"Western Asia","1951","4764783","2531754","0","0",,,,,,
"Northern Africa","1951","4922461","2579425","0","0",,,,,,
"Sub-Saharan Africa","1951","17094744","9111945","0","0",,,,,,
"Oceania","1951","947638","458033","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1951","234539","123050","0","0",,,,,,
"Australia and New Zealand","1951","713100","334983","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1951","61783023","29703497","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1951","17051579","9177905","0","0",,,,,,
"World","1951","226661094","117154635","0","0",,,,,,
"Least developed countries","1952","19375706","10284680","0","0",,,,,,
"Landlocked developing countries","1952","10543105","5556133","0","0",,,,,,
"Small island developing States","1952","1971958","1051705","0","0",,,,,,
"Europe and Northern America","1952","60771948","29663424","0","0",,,,,,
"Northern America","1952","12225989","5922148","0","0",,,,,,
"Europe","1952","48545959","23741276","0","0",,,,,,
"Latin America and the Caribbean","1952","16599432","8663197","0","0",,,,,,
"Central and Southern Asia","1952","46584301","24745972","0","0",,,,,,
"Central Asia","1952","1888728","956937","0","0",,,,,,
"Southern Asia","1952","44695573","23789035","0","0",,,,,,
"Eastern and South-Eastern Asia","1952","77117579","40824229","0","0",,,,,,
"Eastern Asia","1952","59881351","31586806","0","0",,,,,,
"South-Eastern Asia","1952","17236228","9237423","0","0",,,,,,
"Northern Africa and Western Asia","1952","9870962","5198906","0","0",,,,,,
"Western Asia","1952","4886737","2599204","0","0",,,,,,
"Northern Africa","1952","4984225","2599702","0","0",,,,,,
