"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
1950,254890871,129750923,0,0,,,,,,
1951,257604612,131685623,0,0,,,,,,
1952,261784194,135562361,0,0,,,,,,
1953,266783415,140592087,0,0,,,,,,
1954,273111433,146704425,0.8,0.8,,,,,,
1955,281036698,153987438,0.8,0.8,,,,,,
1956,289860432,160824530,0.8,0.7,,,,,,
1957,300160797,167206879,0.8,0.7,,,,,,
1958,311815639,173705317,0.8,0.8,,,,,,
1959,323871311,179619449,1,0.9,,,,,,
1960,336112159,184749506,0.9,0.9,,,,,,
1961,347029783,189099412,0.9,0.9,,,,,,
1962,357184180,193159013,0.9,0.9,,,,,,
1963,366941841,196727404,7.9,8.2,,,,,,
1964,374630497,198714311,10.6,11.1,,,,,,
1965,380539044,199348400,10.9,11.5,,,,,,
1966,385808337,199915142,13.2,14.1,,,,,,
1967,392441651,202247593,15,15.9,,,,,,
1968,402202189,208304306,16.8,17.8,,,,,,
1969,412404490,216378752,54.3,54.2,22.3145920889006,15.8351714818749,6.58367421723654,949714,690748,258966
1970,420985063,224275159,54.6,53.6,22.0273123081288,15.6286745908489,6.50022766014674,963112,706546,256566
1971,429159386,231931417,54.4,52.3,21.7262373518111,15.4007965932936,6.42438134890976,974160,719929,254230
1972,436581947,237062753,78.5,78.9,20.9021118503891,14.7340311664549,6.26032044041535,954358,703763,250595
1973,444797242,239275769,78.7,79,20.277078277998,14.2515590138773,6.11263382581964,938931,686905,252026
1974,455188300,241623069,79.7,79.8,19.6831537634483,13.767087091636,5.99865061729287,926892,669900,256991
1975,466424771,244953689,80,79.9,19.1220930487743,13.3481851993309,5.85202171914099,918303,658331,259971
1976,477783507,248680213,80.9,80.7,18.601025184232,12.9435392560127,5.73167407663287,911338,647954,263384
1977,486650698,252433405,83.1,82.9,18.0936635536173,12.596679853427,5.56711081280766,901506,639995,261511
1978,491541518,255103534,83.2,83,17.5918967469573,12.2033931408709,5.45507401895226,885111,626448,258663
1979,495199326,256390357,87.1,86.9,16.7498702061151,11.5638580333881,5.24668408260418,847671,596421,251250
1980,498679868,256549470,91,90.8,16.2673133406169,11.1732063856579,5.15166760028735,826636,576517,250119
1981,501801846,255990292,91.1,90.8,15.8644100905495,10.8974925108615,5.02164087349913,808484,560987,247497
1982,505024908,255445296,91.5,91.2,15.4647083809744,10.6119840226098,4.90477373891652,790476,545048,245428
1983,507399927,255115362,91.5,91.2,15.1211936262354,10.3585530371262,4.81249103271234,774686,531277,243409
1984,509580199,255990604,91.7,91.3,14.896760999196,10.1914295749015,4.75377923053718,766131,524455,241676
1985,512444267,258615390,91.7,91.4,14.5749597446734,9.9250598458984,4.69651307208245,754898,515915,238983
1986,515892850,262500068,91.8,91.6,14.222569293084,9.6225645845278,4.64469862101247,743562,507627,235935
1987,520649039,267720855,91.8,91.6,13.8869766717662,9.32617598997342,4.60373593331831,735122,501702,233420
1988,525975797,273305804,96.8,96.7,13.9968139926626,9.36379509831689,4.67681159988039,751135,514244,236892
1989,531787666,278223102,97.7,97.6,13.7940976919833,9.18800843111439,4.64880249740972,749926,513623,236304
1990,539012525,282904032,100,100,14.1637054131299,9.34883258729598,4.86031106025842,781009,531449,249560
1991,547716190,287709464,100,100,14.1972760367246,9.31957751986612,4.92358424187627,795442,538777,256665
1992,557884933,292476173,100,100,13.5946273052232,8.85735192147049,4.77961007220961,774735,520418,254318
1993,568271961,297071636,100,100,13.2646350278154,8.58753091101628,4.71761679686853,768911,512423,256489
1994,577748296,301482300,100,100,13.041656536105,8.32905159557869,4.7521861441124,767511,504313,263199
1995,586592963,305412174,100,100,12.2291720303895,7.87056205319355,4.39318682672698,730252,482652,247600
1996,593639081,307356494,100,100,12.0884386984113,7.76223000824788,4.36005241989462,729200,479013,250187
1997,597763353,306608841,100,100,11.7681175300716,7.5513228892943,4.24887930029141,712758,464815,247943
