"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Africa","1950","19822027","4801850","9.81","9.94",,,,
"Northern Africa","1950","4418640","1113537","0","0",,,,
"Southern Africa","1950","1241994","279963","1.97","2.17",,,,
"Eastern Africa","1950","5964522","1425690","0.04","0.04",,,,
"Western Africa","1950","5996487","1459333","27.03","27.19",,,,
"Middle Africa","1950","2200384","523327","13.48","14.15",,,,
"Asia","1950","103309503","25110968","6.29","5.3",,,,
"Eastern Asia","1950","49122000","11633421","12.22","10.4",,,,
"Central Asia","1950","1102661","287323","0","0",,,,
"Southern Asia","1950","36247500","9076274","0","0",,,,
"South-Eastern Asia","1950","12905856","3139871","0.03","0.03",,,,
"Western Asia","1950","3931488","974079","12.52","12.49",,,,
"Americas","1950","23464996","5265026","61.77","60.42",,"89.1424100075146",,
"Northern America","1950","9591998","2018874","100","100",,"37.2420807746407",,
"Latin America and the Caribbean","1950","13872998","3246152","35.35","35.8",,,,
"Central America","1950","3510460","829127","2.45","2.34",,,,
"South America","1950","9258531","2160948","51.66","52.53",,"171.973675036113",,
"Caribbean","1950","1104008","256077","3.16","2.94",,,,
"Europe","1950","26705915","5983474","51.72","47.66",,,"229566","229566"
"Northern Europe","1950","3586843","692307","93.1","92.23",,"35.2007435710567",,
"Southern Europe","1950","5502316","1129865","74.15","71.28",,"81.4986164914972",,
"Eastern Europe","1950","11548048","2854721","25.19","24.2",,,,
"Western Europe","1950","6068710","1306583","57.41","54.89",,"50.3728359836606",,
"Oceania","1950","774411","164906","98","97.83",,"71.9980107390494",,
"Australia and New Zealand","1950","572571","118091","100","100",,"28.5309190008175",,
"Melanesia","1950","178066","41183","97.5","97.59",,"183.134669137284",,
"Micronesia","1950","8097","1941","37.56","38.78",,,,
"Polynesia","1950","15678","3692","61.65","62.1",,"118.136985152983",,
"World","1950","174077601","41326365","21.5","19.4",,,,
"Africa","1951","20224899","4901964","13.39","13.29",,,,
"Northern Africa","1951","4587341","1146803","0","0",,,,
"Southern Africa","1951","1265195","283813","2.03","2.2",,,,
"Eastern Africa","1951","6071534","1429275","11.77","11.35",,,,
"Western Africa","1951","6068738","1504677","27.36","27.05",,,,
"Middle Africa","1951","2232092","537398","13.74","14.18",,,,
"Asia","1951","108036317","25977531","17.06","15.58",,,,
"Eastern Asia","1951","51560972","12052508","16.45","13.78",,,,
"Central Asia","1951","1231714","313626","0","0",,,,
"Southern Asia","1951","37695424","9348301","18.87","18.17",,,,
"South-Eastern Asia","1951","13436721","3238682","17.33","17.34",,,,
"Western Asia","1951","4111486","1024416","12.34","12.36",,,,
"Americas","1951","24244196","5394632","62.79","61.51","113.266183157023","87.6437038560315",,"501412"
"Northern America","1951","9873851","2066780","100","100","41.9134595233379","36.2126860843974",,"76060"
"Latin America and the Caribbean","1951","14370345","3327852","37.22","37.6",,,,
"Central America","1951","3632831","846803","2.47","2.38",,,,
"South America","1951","9606709","2218230","51.9","52.55","225.471362208598","168.964470185834",,"405891"
"Caribbean","1951","1130806","262820","24.17","24.83",,,,
"Europe","1951","27591262","5883190","51.88","48.72","80.2611135698823",,"421325","410610"
"Northern Europe","1951","3532825","666922","92.85","92.1","39.6046681396716","33.7945393285118",,"23049"
"Southern Europe","1951","5495153","1106428","80.51","77.83","95.7812469276704","73.7896063687981",,"87998"
"Eastern Europe","1951","12316930","2817008","24.82","24.01",,,,
"Western Europe","1951","6246354","1292833","56.9","55.26","55.596310650771","47.1109466717556",,"62539"
"Oceania","1951","800627","169901","98.17","98.02","101.031253378855","73.3085192819726",,"12668"
"Australia and New Zealand","1951","593133","121703","100","100","35.0919106164854","28.055298816474",,"3440"
"Melanesia","1951","182837","42407","97.52","97.61","265.982979568837","186.951097074177",,"8679"
"Micronesia","1951","8436","1990","38.11","38.64",,,,
"Polynesia","1951","16221","3801","69.82","70.1","161.426251749486","120.419103723504",,"494"
"World","1951","180898041","42327367","28.4","26.1",,,,
"Africa","1952","20667979","5026479","14.79","14.66",,,,
"Northern Africa","1952","4755284","1178445","0","0",,,,
"Southern Africa","1952","1289930","291181","6.42","6.21",,,,
"Eastern Africa","1952","6191186","1468016","15.4","15.15",,,,
"Western Africa","1952","6161869","1538895","27.63","27.23",,,,
"Middle Africa","1952","2269711","549943","13.98","14.09",,,,
"Asia","1952","112913114","27081004","21.71","20.43",,,,
"Eastern Asia","1952","53974797","12716896","15.04","12.21",,,,
"Central Asia","1952","1338381","325614","0","0",,,,
"Southern Asia","1952","39274921","9613687","20.14","20.01",,,,
"South-Eastern Asia","1952","14036990","3362172","55.89","56.37","230.475185927112","187.798631593061",,
"Western Asia","1952","4288026","1062637","15.04","15.06",,,,
"Americas","1952","24857186","5520598","62.57","61.4","111.193741794945","85.8924774962539",,"504467"
"Northern America","1952","9980655","2098737","100","100","40.5979437691822","35.0806449621936",,"75714"
"Latin America and the Caribbean","1952","14876531","3421861","37.46","37.73",,,,
"Central America","1952","3756446","870902","2.49","2.42",,,,
"South America","1952","9960229","2282749","52.16","52.66","220.880228817346","165.927716623169",,"409669"
"Caribbean","1952","1159857","268210","24.45","25.3",,,,
"Europe","1952","28008861","5883748","50.84","48.75","74.6410404890193",,"410719","381817"
"Northern Europe","1952","3422032","654209","92.48","91.89","37.8580869484623","32.3064249612194",,"21758"
"Southern Europe","1952","5478803","1128988","79.88","77.98","88.5136746068261","69.2592168308202",,"82390"
"Eastern Europe","1952","12815120","2826529","24.67","23.78",,,,
"Western Europe","1952","6292906","1274023","56.22","56.07","52.0719924875077","44.0366164680848",,"57109"
"Oceania","1952","817208","174462","98.71","98.61","92.3415536379452","69.3658934885148",,"12414"
