"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
1950,173666910,41783992,25.9,23.4,,,,
1951,181145200,42366760,33.1,30.6,,,,
1952,188256897,44188589,33.4,31.4,,,,
1953,194894846,44858217,35.3,34,,,,
1954,201211721,45920082,36.3,35.5,,,,
1955,206496071,46839866,38.2,37.6,,,,
1956,211209643,47150394,39.4,39.5,,,,
1957,216145162,48619186,39.6,39.3,,,,
1958,219876212,48812558,43.6,43.4,,,,
1959,221364177,47554321,44.1,45.3,,,,
1960,221085256,47045252,45.3,46.8,,,,
1961,220264996,46872792,46.3,47.6,,,,
1962,223531244,50781186,46.9,45.1,,,,
1963,229872566,55130353,46.6,42.3,,,,
1964,237716534,55502605,49.3,45.9,,,,
1965,246441211,55323101,48.3,46.4,,,,
1966,254322834,55166855,48.1,47.4,,,,
1967,259801743,55160098,64.7,66.5,172.165726789328,119.648298557209,,
1968,262438182,56807223,67.1,67.6,172.733352694876,118.260661786231,,7017888
1969,264338003,57780363,94.6,94.7,153.629278562003,105.407139544161,,6400279
1970,267679640,58551061,94.6,94.7,151.170687965427,103.491185110209,,6367561
1971,270866053,58703272,96.6,96.5,151.094697318166,102.931194602697,,6353797
1972,274368386,58587146,97,97,144.667091975929,99.7179578731274,8843660,6133202
1973,276949171,58626810,97,96.9,141.936386005472,97.831744843724,8681248,6014977
1974,278017655,58395915,97.8,97.7,138.591062142378,95.768095435393,8456157,5865621
1975,277833307,57620005,98,97.9,136.148917867699,94.2611037775245,8225801,5699291
1976,277348059,57529428,98,97.9,133.5975294121,92.3578367241073,8019306,5557164
1977,276624416,57433595,98.1,98,130.593890166846,90.376023192988,7819961,5428750
1978,276356682,57909312,98.4,98.3,127.702726334539,88.2389556035697,7668401,5329692
1979,277284873,59258791,99,99,124.038121379283,85.7804227621325,7556004,5285323
1980,279875774,60611301,99.3,99.3,120.510205094448,83.508760638032,7483578,5260168
1981,283904389,61877322,99.4,99.4,117.005799290661,81.2637939199144,7402754,5222220
1982,289718338,63548349,99.7,99.7,113.50932788485,78.9093041622765,7350359,5200027
1983,294895248,63279264,99.7,99.7,111.358335832258,78.0787076063093,7266594,5140159
1984,300667325,64220740,99.9,99.9,109.100351001336,76.2123351123694,7172313,5072299
1985,305555590,65373079,100,100,106.49937895774,74.5406552663292,7126940,5050571
1986,310642331,66876789,100,100,103.522234619875,72.6171580307739,7062061,5021031
1987,315435951,68185816,100,100,100.903889235719,70.9577444077467,7019574,5004608
1988,319854824,68205216,100,100,99.0314045995886,69.9987383631898,6941037,4949540
1989,324940512,68744572,100,100,97.2776409571758,68.7718217283041,6851797,4887164
1990,329413010,69521127,100,100,95.2741435212564,67.4774510483398,6781666,4846615
1991,330347868,67552473,100,100,94.3423253703799,67.3347594938997,6633344,4730615
1992,330065631,66538928,100,100,93.6024234704641,66.5097917857863,6446274,4582561
1993,328481075,66070455,100,100,92.3438071863221,65.5943018148311,6300419,4479440
1994,326398442,65869110,100,100,91.2488662665038,64.7221890625814,6188186,4399994
1995,323200736,65690331,100,100,89.2854557531089,63.4985465855622,6028029,4303112
1996,320724666,65488225,100,100,87.4438932741786,62.2247820503822,5878650,4204141
1997,319645257,65321765,100,100,85.4084098966926,60.8310333106448,5720122,4095636
1998,318991110,65238578,100,100,83.2613181832902,59.337575651385,5564465,3987804
1999,318616370,65314531,100,100,81.0031259657287,57.8948852053653,5409880,3888924
2000,319229139,66126966,100,100,78.2302451069562,55.9218521217796,5257108,3793344
2001,319807853,66224745,100,100,75.6431584053483,54.3486445637668,5102648,3694739
2002,321196790,66375888,100,100,73.0420062139541,52.5607378052102,4931932,3580148
2003,322960689,66607009,100,100,70.1553385650627,50.6658130199569,4750217,3460420
2004,325111046,67110082,100,100,67.8056974679629,49.0656206012313,4618938,3371936
2005,326862146,67504939,100,100,64.849333048051,47.191079132003,4443817,3260826
2006,328744372,68089248,100,100,62.2879892105176,45.4895283020693,4297746,3167000
2007,331268933,68936124,100,100,59.7039843434364,43.7924606492734,4159591,3080144
2008,334420566,69825469,100,100,57.4426073690349,42.2408759941308,4050503,3008078
2009,337898954,70456832,100,100,55.008021432298,40.7717216739701,3912370,2926362
2010,341286904,70767626,100,100,53.1073568440643,39.5110491369324,3797903,2848596
2011,344545450,71044202,100,100,51.2321469469885,38.2789006667716,3677824,2768588
2012,348166548,72046978,100,100,49.3013479792705,36.8420228853151,3580134,2700921
2013,350437975,71847615,100,100,47.7757528545983,35.946194775039,3476772,2628715
2014,352607905,71947717,100,100,46.2092587603606,34.7837517458789,3367996,2549824
2015,353600286,71487162,100,100,45.0686577610605,34.0607627828417,3267596,2475188
2016,354794926,71722484,100,100,43.7565439918512,33.0898453219433,3173621,2410962
2017,354781645,71531492,100,100,42.5819141790862,32.2787982894503,3083905,2345846
2018,353270359,70134896,100,100,42.1023219352585,32.0717500085055,2995928,2280058
2019,351352353,69180355,100,100,41.3990555590115,31.5358223021138,2904314,2214495
2020,347946134,67794940,100,100,40.9009597281651,31.2700376814139,2815487,2150133
2021,344092900,67073268,100,100,40.2902559101673,30.8040156227461,2735972,2093593
2022,339757057,66992224,100,100,39.3449997234507,30.1057030131526,2664021,2045436
