"Region","ARR.1990.2019.median","ARR.1990.2000.median","ARR.2000.2019.median","Required.ARR.median","Change.in.ARR.median","Percentage.decline.1990.2019.median","Percentage.decline.1990.2000.median","Percentage.decline.2000.2019.median"
"Africa",2.85320791695764,1.55222752441026,3.537934439351,,1.98570691494074,56.2828755113968,14.3775569842198,48.9419795221843
"Northern Africa",3.50222755473203,3.30492457993089,3.60607122568,,0.301146645749111,63.7831603229527,28.1430219146482,49.5987158908507
"Southern Africa",1.55008654449033,-2.07345434437619,3.45721332810428,,5.53066767248047,36.2068965517241,-23.0407523510972,48.1528662420382
"Eastern Africa",3.90380793728801,2.39200502637521,4.69949367987369,,2.30748865349848,67.7645788336933,21.2742980561555,59.0534979423868
"Western Africa",2.46551993740195,1.68507635429969,2.87627971798209,,1.19120336368239,51.0808270676692,15.5075187969925,42.1023359288098
"Middle Africa",2.60778586599329,0.884856371544011,3.51459086307185,,2.62973449152784,53.0580240460011,8.46837428123367,48.715019988578
"Asia",4.00476711292738,2.99551648007165,4.53595165653565,,1.54043517646401,68.6946902654867,25.8849557522124,57.7611940298507
"Eastern Asia",6.42198978083451,3.6919893012377,7.85883213851704,,4.16684283727934,84.469696969697,30.8712121212121,77.5342465753425
"Central Asia",4.20158495273165,1.48876962299183,5.62938249469998,,4.14061287170815,70.4314720812183,13.8324873096447,65.6848306332842
"Southern Asia",3.92422847313444,3.29891681616925,4.25333987153716,,0.954423055367914,67.9549114331723,28.0998389694042,55.431131019037
"South-Eastern Asia",3.63657828723686,3.93328261586768,3.48041811427328,,-0.4528645015944,65.1670951156812,32.5192802056555,48.3809523809524
"Western Asia",3.66888548967363,4.18769073734527,3.39583009616224,,-0.791860641183031,65.4919236417034,34.2143906020558,47.5446428571429
"Americas",3.97845878395486,4.77758946013214,3.55786369122998,,-1.21972576890216,68.4549356223176,37.9828326180258,49.1349480968858
"Northern America",1.96522255219309,2.93161538216406,1.45659474694521,,-1.47502063521885,43.4426229508197,25.4098360655738,24.1758241758242
"Latin America and the Caribbean",4.1187248674667,4.87413183141248,3.72114225486366,,-1.15298957654881,69.7123519458545,38.5786802030457,50.6887052341598
"Central America",3.96418911420856,4.44906840159461,3.70898948926853,,-0.740078912326077,68.3241252302026,35.9116022099448,50.5747126436782
"South America",4.52312242803041,5.34676839588171,4.08962455021393,,-1.25714384566777,73.0639730639731,41.4141414141414,54.0229885057471
"Caribbean",2.37274711990992,2.83471539915437,2.12960592030757,,-0.705109478846799,49.746835443038,24.6835443037975,33.2773109243697
"Europe",4.12500261459319,4.02562348450203,4.17730741990433,,0.151683935402303,69.7674418604651,33.1395348837209,54.7826086956522
"Northern Europe",3.19230853734034,4.00759217070752,2.76321188819972,,-1.2443802825078,60.377358490566,33.0188679245283,40.8450704225352
"Southern Europe",4.67084711312176,6.36705869654994,3.77810417447535,,-2.58895452207459,74.1935483870968,47.0967741935484,51.219512195122
"Eastern Europe",4.41701326021401,2.08297043197215,5.64545685402552,,3.56248642205337,72.2222222222222,18.8034188034188,65.7894736842105
"Western Europe",2.79631109040113,4.84245985961279,1.71939068555289,,-3.12306917405989,55.5555555555556,38.3838383838384,27.8688524590164
"Oceania",1.93197896268956,1.14171145339981,2.34790923073679,,1.20619777733698,42.8947368421053,10.7894736842105,35.9882005899705
"Australia and New Zealand",3.30778195778482,4.10148957420591,2.89004110703688,,-1.21144846716903,61.6822429906542,33.6448598130841,42.2535211267606
"Melanesia",1.9835299503497,1.63039627244504,2.16938978082584,,0.538993508380797,43.7420986093552,15.0442477876106,33.7797619047619
"Micronesia",1.75657302452333,1.76655819258277,1.75131767291309,,-0.0152405196696828,39.9147727272727,16.1931818181818,28.3050847457627
"Polynesia",2.00282067443457,3.08884280102384,1.43123008149285,,-1.65761271953099,44.0559440559441,26.5734265734266,23.8095238095238
