"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","1950","0","0","NaN","NaN",,,,,,
"World","1950","266342098","135455732","0","0",,,,,,
"Adhoc","1951","0","0","NaN","NaN",,,,,,
"World","1951","269208607","137429217","0","0",,,,,,
"Adhoc","1952","0","0","NaN","NaN",,,,,,
"World","1952","273530764","141474536","0","0",,,,,,
"Adhoc","1953","0","0","NaN","NaN",,,,,,
"World","1953","278655312","146749799","0","0",,,,,,
"Adhoc","1954","0","0","NaN","NaN",,,,,,
"World","1954","285186185","153119961","0.7","0.7",,,,,,
"Adhoc","1955","0","0","NaN","NaN",,,,,,
"World","1955","293348765","160631793","0.7","0.7",,,,,,
"Adhoc","1956","0","0","NaN","NaN",,,,,,
"World","1956","302371212","167610139","0.7","0.7",,,,,,
"Adhoc","1957","0","0","NaN","NaN",,,,,,
"World","1957","312916200","174062820","0.7","0.7",,,,,,
"Adhoc","1958","0","0","NaN","NaN",,,,,,
"World","1958","324928087","180642753","0.8","0.7",,,,,,
"Adhoc","1959","0","0","NaN","NaN",,,,,,
"World","1959","337361681","186667686","0.9","0.9",,,,,,
"Adhoc","1960","0","0","NaN","NaN",,,,,,
"World","1960","349978771","191978478","0.9","0.9",,,,,,
"Adhoc","1961","0","0","NaN","NaN",,,,,,
"World","1961","361265317","196581801","0.9","0.9",,,,,,
"Adhoc","1962","0","0","NaN","NaN",,,,,,
"World","1962","371794582","200949747","0.9","0.9",,,,,,
"Adhoc","1963","0","0","NaN","NaN",,,,,,
"World","1963","381978710","204844834","7.7","8.1",,,,,,
"Adhoc","1964","0","0","NaN","NaN",,,,,,
"World","1964","390047094","207070410","10.4","10.9",,,,,,
"Adhoc","1965","0","0","NaN","NaN",,,,,,
"World","1965","396305753","207840576","10.7","11.3",,,,,,
"Adhoc","1966","0","0","NaN","NaN",,,,,,
"World","1966","401916536","208501413","13","13.9",,,,,,
"Adhoc","1967","0","0","NaN","NaN",,,,,,
"World","1967","408968282","210975939","14.8","15.7",,,,,,
"Adhoc","1968","0","0","NaN","NaN",,,,,,
"World","1968","419341172","217354333","16.6","17.6",,,,,,
"Adhoc","1969","0","0","NaN","NaN",,,,,,
"World","1969","430186788","225861338","54.5","54.4","27.7184705591634","20.0389792765807","7.83652729055864","1235868","914368","321500"
"Adhoc","1970","0","0","NaN","NaN",,,,,,
"World","1970","439361322","234176505","54.8","53.7","26.9915179735614","19.4402958820406","7.70093045819524","1236673","919429","317244"
"Adhoc","1971","0","0","NaN","NaN",,,,,,
"World","1971","448138674","242261389","54.6","52.5","26.3142234445515","18.8867066874341","7.57049854256854","1236731","923828","312903"
"Adhoc","1972","0","0","NaN","NaN",,,,,,
"World","1972","456084267","247692003","78.8","79.2","23.5996074715069","16.6229282838394","7.09461242114587","1127120","830375","296745"
"Adhoc","1973","0","0","NaN","NaN",,,,,,
"World","1973","464787204","250026079","79.1","79.3","22.7875203409617","15.9737620975665","6.92436642535012","1103653","805202","298450"
"Adhoc","1974","0","0","NaN","NaN",,,,,,
"World","1974","475700454","252488763","80.1","80.2","22.0141693537587","15.3352513354596","6.78293604737797","1084216","780379","303837"
"Adhoc","1975","0","0","NaN","NaN",,,,,,
"World","1975","487500734","256007997","80.4","80.3","21.2815114252812","14.7623506409904","6.61684090993893","1068844","761477","307367"
"Adhoc","1976","0","0","NaN","NaN",,,,,,
"World","1976","499451406","259989568","81.3","81.1","20.582109530397","14.2040267407246","6.4699825954704","1054731","743863","310868"
"Adhoc","1977","0","0","NaN","NaN",,,,,,
"World","1977","508756908","264018090","83.4","83.1","19.9102359981221","13.6933065388938","6.30324167973778","1037546","728041","309505"
"Adhoc","1978","0","0","NaN","NaN",,,,,,
"World","1978","513895919","266910960","83.5","83.3","19.2815652874636","13.1839686684491","6.17906116785199","1014632","708459","306173"
"Adhoc","1979","0","0","NaN","NaN",,,,,,
"World","1979","517838197","268375039","87.3","87.1","18.371922152877","12.4601251559806","5.98638814238269","972563","672990","299573"
"Adhoc","1980","0","0","NaN","NaN",,,,,,
"World","1980","521712507","268660923","91.2","91","17.7774924895883","11.9762267628795","5.87158516206727","945423","647385","298038"
"Adhoc","1981","0","0","NaN","NaN",,,,,,
