"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"Adhoc","1950","1246022","299893","0","0",,,,,,
"World","1950","339947889","81699149","26.5","24",,,,,,
"Adhoc","1951","1247345","300188","0","0",,,,,,
"World","1951","354637946","82876623","33.2","30.6",,,,,,
"Adhoc","1952","1249172","306361","0","0",,,,,,
"World","1952","368616066","86402205","33.6","31.4",,,,,,
"Adhoc","1953","1256537","312824","0","0",,,,,,
"World","1953","381647429","87740731","35.4","34",,,,,,
"Adhoc","1954","1269357","318694","0","0",,,,,,
"World","1954","393997528","89787560","36.4","35.6",,,,,,
"Adhoc","1955","1292895","325220","0","0",,,,,,
"World","1955","404359291","91592497","38.3","37.7",,,,,,
"Adhoc","1956","1324147","332224","0","0",,,,,,
"World","1956","413564492","92211748","39.6","39.5",,,,,,
"Adhoc","1957","1356680","339234","0","0",,,,,,
"World","1957","423177772","95050580","39.7","39.4",,,,,,
"Adhoc","1958","1390338","346499","0","0",,,,,,
"World","1958","430485300","95466897","43.7","43.5",,,,,,
"Adhoc","1959","1423390","353602","0","0",,,,,,
"World","1959","433431675","93030074","44.2","45.3",,,,,,
"Adhoc","1960","1461115","361959","0","0",,,,,,
"World","1960","432788843","92019529","45.4","46.8",,,,,,
"Adhoc","1961","1501288","370943","0","0",,,,,,
"World","1961","431136201","91682660","46.4","47.7",,,,,,
"Adhoc","1962","1543826","380527","100","100","343.696367320751","231.380453932425","52.6198491897938",,,
"World","1962","437412459","99213982","47.1","45.2",,,,,,
"Adhoc","1963","1588415","390669","100","100","338.366067404457","227.583250694757","51.6351271429289",,"100471","23939"
"World","1963","449813357","107695858","46.8","42.4",,,,,,
"Adhoc","1964","1634974","401276","100","100","333.105062878712","223.851869922897","47.957859840965",,"101258","22772"
"World","1964","465187149","108489151","49.4","46.1",,,,,,
"Adhoc","1965","1683198","411893","100","100","327.713129498507","220.030274775862","47.412848489272",,"101941","23034"
"World","1965","482163174","108111761","48.4","46.5",,,,,,
"Adhoc","1966","1734208","423378","100","100","322.658426397823","216.489051948307","47.8139133983641",,"102809","23819"
"World","1966","497506412","107807345","48.3","47.5",,,,,,
"Adhoc","1967","1786087","435177","100","100","317.520605270429","212.889598311207","23.4901532420075","153128","103710","11994"
"World","1967","508169765","107803052","64.8","66.6","168.597773102892","113.150326289783","32.7651520495376",,,
"Adhoc","1968","1840706","447491","100","100","312.384142750188","209.305840945679","23.2201039701409","154451","104590","12159"
"World","1968","513248487","110960898","67.1","67.7","170.101480606166","111.814587278668","32.5265526094895",,"12942011","3932515"
"Adhoc","1969","1896766","460036","100","100","307.12796928783","205.641477490614","38.0246701457664","155695","105410","20411"
"World","1969","516965926","112874994","94.6","94.7","150.722090298147","99.7998259105692","49.0132456839681",,"11820422","5949849"
"Adhoc","1970","1954279","472301","100","100","301.969431210951","202.066295605834","37.676415686674","156856","106129","20688"
"World","1970","523448116","114351172","94.6","94.7","148.333472712684","98.0453608044046","48.4830531620215",,"11763501","5979339"
"Adhoc","1971","2014642","485590","100","100","296.816234816569","198.503714559255","37.8423944933098","158046","106894","21320"
"World","1971","529685585","114672760","96.6","96.5","148.348943257683","97.6189288362963","48.4544373870686",,"11750695","5956004"
"Adhoc","1972","2073393","498448","100","100","291.434368598205","194.801144560353","38.0411245583213","159037","107535","21928"
"World","1972","536428011","114438587","97","96.9","141.956497649514","94.4990308397264","48.2548518505301","16906678","11332748","5914071"
"Adhoc","1973","2136193","512438","100","100","286.147319223714","191.175074488566","38.3627951431352","160031","108181","22679"
"World","1973","541377154","114517620","97","96.9","139.324079192283","92.7147674526381","48.1559002890868","16599710","11113615","5901537"
"Adhoc","1974","2202013","527479","100","100","280.704210661827","187.450904145349","39.7271583748787","161051","108915","24110"
"World","1974","543382750","114071522","97.8","97.7","135.997586502309","90.686256084168","48.0096410550399","16164047","10828303","5844809"
"Adhoc","1975","2267183","541554","100","100","275.413676686196","183.836464792942","40.6107084382735","161983","109513","25211"
"World","1975","542940210","112553325","98","97.9","133.518280050412","89.1427158261761","47.8274642638238","15715789","10506801","5730757"
"Adhoc","1976","2330328","554921","100","100","269.722907879437","179.979892504728","40.7458117569839","162364","109686","25853"
"World","1976","541862082","112315236","98","97.9","130.981340010607","87.2672647224977","47.445479695351","15313076","10233726","5688684"
"Adhoc","1977","2388555","567747","100","100","264.011936105082","176.123838372646","41.039705474864","162520","109695","26578"
"World","1977","540386808","112126330","98.1","98","128.009191793123","85.3257572974044","47.3609757733044","14927315","9988658","5651299"
"Adhoc","1978","2447368","579952","100","100","258.113296132172","172.152053951647","40.2060487679709","162269","109411","26533"
"World","1978","539756154","113010059","98.4","98.3","125.171800268579","83.3070720063485","46.4751065925952","14633506","9804658","5603100"
"Adhoc","1979","2496751","589839","100","100","252.107183879065","168.115413346069","38.8098036921937","161539","108781","26025"
"World","1979","541487590","115605347","99","98.9","121.595764659326","80.9889111051567","45.4167411646262","14414353","9722095","5607493"
"Adhoc","1980","2474874","582787","100","100","245.951827520054","164.002863475688","37.9188538045276","158624","106135","25060"
"World","1980","546444767","118218077","99.3","99.3","118.086546329921","78.8307717442697","44.6243531881198","14265161","9672686","5621880"
"Adhoc","1981","2313600","543100","100","100","239.680787835199","159.830725656457","36.9558862711422","150797","98947","22740"
"World","1981","554185717","120648390","99.4","99.4","114.616121213797","76.6999920002527","43.7345728140329","14100962","9598434","5612815"
"Adhoc","1982","1966371","460247","100","100","233.228584587442","155.550631103731","35.6777063757041","135866","85581","18661"
"World","1982","565415226","123870075","99.7","99.7","111.145572715476","74.4473545551736","42.7129957980672","13989734","9551989","5624957"
"Adhoc","1983","1903315","445884","100","100","226.733061575624","151.249783843722","36.4982039232292","122541","75412","18400"
"World","1983","575484958","123409594","99.7","99.7","108.901000054929","73.5986076506072","42.3324532991688","13821950","9433703","5515927"
"Adhoc","1984","1907818","446930","100","100","220.273789910423","147.125065854249","35.3202304277689","115306","72468","17882"
"World","1984","586555259","125137693","99.9","99.9","106.74401036995","71.8552021666139","41.465393285881","13640315","9307516","5500044"
"Adhoc","1985","2008658","473052","100","100","213.686558583601","143.009716572231","34.1091887154898","111488","72876","18275"
"World","1985","595947049","127328095","100","100","104.164792225142","70.2862655354715","40.4639970927036","13544552","9264356","5450554"
"Adhoc","1986","2024755","480853","100","100","207.110529498058","138.89572457977","32.8717748083941","108492","73085","17773"
"World","1986","605661244","130158011","100","100","101.266475549828","68.5373196840804","39.4997050883929","13416411","9213348","5438952"
"Adhoc","1987","2012549","478194","100","100","200.472825328072","134.734412977182","81.0574630784621","104536","70808","43379"
"World","1987","614753878","132599701","100","100","98.692863562455","67.0190350219595","38.769180372343","13325770","9183281","5422203"
"Adhoc","1988","2014323","477578","100","100","193.945687039616","130.635373616038","79.5139191103302","101013","68121","42251"
"World","1988","623077433","132595598","100","100","96.7579950840917","66.0918355492564","38.1705454711495","13161268","9073009","5319066"
"Adhoc","1989","2084857","492377","100","100","187.451725019475","126.549303018136","77.9554168997947","98809","66759","42503"
"World","1989","632545945","133527384","100","100","95.04356104278","64.9419071065298","37.4020551368488","12982429","8953536","5254761"
"Adhoc","1990","2178400","512594","100","100","181.05759113385","122.517846850304","76.4209693330328","97869","66820","43265"
"World","1990","640731565","134899751","100","100","93.031302619407","63.7013555959377","36.7561348000215","12831840","8869350","5210825"
"Adhoc","1991","2141106","503040","100","100","174.93587059087","118.743499871646","74.8371662241925","95353","65278","41566"
"World","1991","642200076","131152174","100","100","92.0269529723766","63.5448104181897","36.5183186617954","12544179","8652676","4997680"
"Adhoc","1992","2244663","526276","100","100","168.962587090468","115.136995353509","73.3138387987878","93206","64072","42355"
"World","1992","641137396","129075784","100","100","91.4014955698218","62.8232533943763","36.0850714555039","12195714","8385827","4876402"
"Adhoc","1993","2725990","637808","100","100","163.438002635484","111.782282692126","71.810483239766","98691","70280","49873"
"World","1993","637641657","128067419","100","100","90.2202253809194","62.0062276591506","35.6052061952752","11919451","8199194","4773270"
"Adhoc","1994","3099305","722879","100","100","158.253673175973","108.620747902606","70.3144410089457","108057","79482","55271"
"World","1994","633201383","127582035","100","100","89.2498930969572","61.2710565100796","35.0800267325511","11712802","8059810","4684615"
"Adhoc","1995","3384444","784413","100","100","153.244978259819","105.542715531259","68.9688415844746","114976","85242","58681"
"World","1995","626651924","127160653","100","100","87.3631266521034","60.1497416901422","34.528143267739","11406664","7882560","4593597"
"Adhoc","1996","3553324","817229","100","100","148.581386603784","102.657988675558","67.6657678720118","119447","87819","59901"
"World","1996","621564949","126746710","100","100","85.5608609273154","58.9688029190964","33.85026067308","11119407","7702313","4483047"
"Adhoc","1997","3709631","845349","100","100","144.166156621512","99.9164545759294","66.4217585348581","122300","88502","60636"
"World","1997","619152321","126401441","100","100","83.581079242147","57.6914132711998","33.143508747529","10818979","7508147","4374642"
"Adhoc","1998","3855022","870729","100","100","139.882302173132","97.2158288503041","65.2002316997483","124029","88695","61207"
"World","1998","617600255","126209343","100","100","81.4339055495454","56.3021793007163","32.3790452629855","10515692","7312225","4264867"
"Adhoc","1999","4001326","898181","100","100","135.816801715465","94.6425844275094","63.9811880597932","124843","88883","61834"
"World","1999","616687784","126341787","100","100","79.0514594132296","54.8304162633397","31.6017072724357","10198246","7116391","4164970"
"Adhoc","2000","4153210","926418","100","100","131.639217223864","92.0101063687495","62.6933510041297","124874","88965","62334"
"World","2000","617697362","127851959","100","100","76.3749957012565","53.0484548365134","30.6940453765769","9909921","6950703","4095291"
"Adhoc","2001","4070580","902821","100","100","127.371222814421","89.3229685218926","61.4829393238221","121904","86376","59593"
"World","2001","618763654","128103067","100","100","73.7905949468532","51.5955971965326","29.8902689468184","9612723","6776585","3985522"
"Adhoc","2002","4149103","915315","100","100","123.022248314559","86.5718700263762","60.2091907808699","117915","83155","58970"
"World","2002","621412543","128435584","100","100","71.2347971263134","49.9480422323548","28.9653495132334","9290543","6575223","3867042"
"Adhoc","2003","4539030","995136","100","100","118.508076504992","83.7153806849194","58.8841752775787","118000","84428","62426"
"World","2003","624821777","128889442","100","100","68.3501595502204","48.144749423324","27.9675450804544","8941003","6356099","3742301"
"Adhoc","2004","4733777","1029573","100","100","114.038248221243","80.8856842912321","57.4729372561868","118750","86200","62958"
"World","2004","628984613","129838438","100","100","65.8415029457804","46.4628125655749","27.0157013070681","8664717","6171622","3639943"
"Adhoc","2005","4791127","1033555","100","100","109.493199069469","78.0052377559467","56.0201737159538","116210","84519","61541"
"World","2005","632453594","130603587","100","100","62.9233359046096","44.6972560448438","26.1059958553534","8331577","5970081","3532785"
"Adhoc","2006","4918305","1065570","100","100","104.969474866301","75.1354651837677","54.5858252764953","113847","82960","61952"
