"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"Africa","1950","39262397","9525037","9.76","9.94",,,,,,
"Northern Africa","1950","8635631","2195675","0","0",,,,,,
"Southern Africa","1950","2456777","553286","2.01","2.2",,,,,,
"Eastern Africa","1950","11825878","2813925","0.04","0.04",,,,,,
"Western Africa","1950","11912157","2910978","26.77","26.98",,,,,,
"Middle Africa","1950","4431954","1051173","13.3","14.1",,,,,,
"Asia","1950","202260610","49678464","7.25","6.02",,,,,,
"Eastern Asia","1950","95410959","23093024","14.36","11.91",,,,,,
"Central Asia","1950","2159014","577371","0","0",,,,,,
"Southern Asia","1950","71311222","17907765","0","0",,,,,,
"South-Eastern Asia","1950","25690172","6202678","0.03","0.03",,,,,,
"Western Asia","1950","7689243","1897626","12.47","12.62",,,,,,
"Americas","1950","46301898","10370504","61.66","60.19",,"81.160256729194","0",,,
"Northern America","1950","18838366","3936177","100","100",,"33.1278847987926","0",,,
"Latin America and the Caribbean","1950","27463532","6434327","35.36","35.83",,,,,,
"Central America","1950","6951596","1643404","2.42","2.33",,,,,,
"South America","1950","18324887","4281899","51.69","52.6",,"157.419598254579","0",,,
"Caribbean","1950","2187049","509024","3.19","2.92",,,,,,
"Europe","1950","52461551","11596844","51.52","47.85",,,,"409720","409720","0"
"Northern Europe","1950","6967728","1322688","93.1","92.2",,"31.344280197508","0",,,
"Southern Europe","1950","10857667","2244748","74.09","71.93",,"76.6539300273941","0",,,
"Eastern Europe","1950","22769238","5490577","24.97","24.17",,,,,,
"Western Europe","1950","11866918","2538831","57.37","54.65",,"44.9527276740725","0",,,
"Oceania","1950","1498692","323431","97.98","97.83",,"67.1273663196875","0",,,
"Australia and New Zealand","1950","1112333","231838","100","100",,"25.6599129569236","0",,,
"Melanesia","1950","339522","80552","97.47","97.59",,"174.191108479608","0",,,
"Micronesia","1950","15872","3789","38.16","38.88",,,,,,
"Polynesia","1950","30965","7252","61.62","62.11",,"110.414519736732","0",,,
"World","1950","341786649","81494561","22.1","19.7",,,,,,
"Africa","1951","40126352","9762122","13.39","13.31",,,,,,
"Northern Africa","1951","8963434","2267984","0","0",,,,,,
"Southern Africa","1951","2505019","563901","2.06","2.21",,,,,,
"Eastern Africa","1951","12077531","2855747","11.87","11.34",,,,,,
"Western Africa","1951","12091598","2998735","27.09","27.04",,,,,,
"Middle Africa","1951","4488770","1075755","13.59","14.12",,,,,,
"Asia","1951","211019757","50842422","17.2","15.52",,,,,,
"Eastern Asia","1951","99976783","23456244","16.72","13.52",,,,,,
"Central Asia","1951","2408112","615687","0","0",,,,,,
"Southern Asia","1951","73972534","18425838","18.95","18.26",,,,,,
"South-Eastern Asia","1951","26632523","6361953","17.22","17.35",,,,,,
"Western Asia","1951","8029805","1982700","12.36","12.63",,,,,,
"Americas","1951","47902639","10667024","62.71","61.37","105.384847140782","79.8539825644356","0",,"894730","0"
