"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
1950,339947889,81699149,26.5,24,,,,,,
1951,354637946,82876623,33.2,30.6,,,,,,
1952,368616066,86402205,33.6,31.4,,,,,,
1953,381647429,87740731,35.4,34,,,,,,
1954,393997528,89787560,36.4,35.6,,,,,,
1955,404359291,91592497,38.3,37.7,,,,,,
1956,413564492,92211748,39.6,39.5,,,,,,
1957,423177772,95050580,39.7,39.4,,,,,,
1958,430485300,95466897,43.7,43.5,,,,,,
1959,433431675,93030074,44.2,45.3,,,,,,
1960,432788843,92019529,45.4,46.8,,,,,,
1961,431136201,91682660,46.4,47.7,,,,,,
1962,437412459,99213982,47.1,45.2,,,,,,
1963,449813357,107695858,46.8,42.4,,,,,,
1964,465187149,108489151,49.4,46.1,,,,,,
1965,482163174,108111761,48.4,46.5,,,,,,
1966,497506412,107807345,48.3,47.5,,,,,,
1967,508169765,107803052,64.8,66.6,168.597773102892,113.150326289783,32.7651520495376,,,
1968,513248487,110960898,67.1,67.7,170.101480606166,111.814587278668,32.5265526094895,,12942011,3932515
1969,516965926,112874994,94.6,94.7,150.722090298147,99.7998259105692,49.0132456839681,,11820422,5949849
1970,523448116,114351172,94.6,94.7,148.333472712684,98.0453608044046,48.4830531620215,,11763501,5979339
1971,529685585,114672760,96.6,96.5,148.348943257683,97.6189288362963,48.4544373870686,,11750695,5956004
1972,536428011,114438587,97,96.9,141.956497649514,94.4990308397264,48.2548518505301,16906678,11332748,5914071
1973,541377154,114517620,97,96.9,139.324079192283,92.7147674526381,48.1559002890868,16599710,11113615,5901537
1974,543382750,114071522,97.8,97.7,135.997586502309,90.686256084168,48.0096410550399,16164047,10828303,5844809
1975,542940210,112553325,98,97.9,133.518280050412,89.1427158261761,47.8274642638238,15715789,10506801,5730757
1976,541862082,112315236,98,97.9,130.981340010607,87.2672647224977,47.445479695351,15313076,10233726,5688684
1977,540386808,112126330,98.1,98,128.009191793123,85.3257572974044,47.3609757733044,14927315,9988658,5651299
1978,539756154,113010059,98.4,98.3,125.171800268579,83.3070720063485,46.4751065925952,14633506,9804658,5603100
1979,541487590,115605347,99,98.9,121.595764659326,80.9889111051567,45.4167411646262,14414353,9722095,5607493
1980,546444767,118218077,99.3,99.3,118.086546329921,78.8307717442697,44.6243531881198,14265161,9672686,5621880
1981,554185717,120648390,99.4,99.4,114.616121213797,76.6999920002527,43.7345728140329,14100962,9598434,5612815
1982,565415226,123870075,99.7,99.7,111.145572715476,74.4473545551736,42.7129957980672,13989734,9551989,5624957
1983,575484958,123409594,99.7,99.7,108.901000054929,73.5986076506072,42.3324532991688,13821950,9433703,5515927
1984,586555259,125137693,99.9,99.9,106.74401036995,71.8552021666139,41.465393285881,13640315,9307516,5500044
1985,595947049,127328095,100,100,104.164792225142,70.2862655354715,40.4639970927036,13544552,9264356,5450554
1986,605661244,130158011,100,100,101.266475549828,68.5373196840804,39.4997050883929,13416411,9213348,5438952
1987,614753878,132599701,100,100,98.692863562455,67.0190350219595,38.769180372343,13325770,9183281,5422203
1988,623077433,132595598,100,100,96.7579950840917,66.0918355492564,38.1705454711495,13161268,9073009,5319066
1989,632545945,133527384,100,100,95.04356104278,64.9419071065298,37.4020551368488,12982429,8953536,5254761
1990,640731565,134899751,100,100,93.031302619407,63.7013555959377,36.7561348000215,12831840,8869350,5210825
1991,642200076,131152174,100,100,92.0269529723766,63.5448104181897,36.5183186617954,12544179,8652676,4997680
1992,641137396,129075784,100,100,91.4014955698218,62.8232533943763,36.0850714555039,12195714,8385827,4876402
1993,637641657,128067419,100,100,90.2202253809194,62.0062276591506,35.6052061952752,11919451,8199194,4773270
1994,633201383,127582035,100,100,89.2498930969572,61.2710565100796,35.0800267325511,11712802,8059810,4684615
1995,626651924,127160653,100,100,87.3631266521034,60.1497416901422,34.528143267739,11406664,7882560,4593597
1996,621564949,126746710,100,100,85.5608609273154,58.9688029190964,33.85026067308,11119407,7702313,4483047
1997,619152321,126401441,100,100,83.581079242147,57.6914132711998,33.143508747529,10818979,7508147,4374642
1998,617600255,126209343,100,100,81.4339055495454,56.3021793007163,32.3790452629855,10515692,7312225,4264867
1999,616687784,126341787,100,100,79.0514594132296,54.8304162633397,31.6017072724357,10198246,7116391,4164970
2000,617697362,127851959,100,100,76.3749957012565,53.0484548365134,30.6940453765769,9909921,6950703,4095291
2001,618763654,128103067,100,100,73.7905949468532,51.5955971965326,29.8902689468184,9612723,6776585,3985522
2002,621412543,128435584,100,100,71.2347971263134,49.9480422323548,28.9653495132334,9290543,6575223,3867042
2003,624821777,128889442,100,100,68.3501595502204,48.144749423324,27.9675450804544,8941003,6356099,3742301
2004,628984613,129838438,100,100,65.8415029457804,46.4628125655749,27.0157013070681,8664717,6171622,3639943
2005,632453594,130603587,100,100,62.9233359046096,44.6972560448438,26.1059958553534,8331577,5970081,3532785
2006,636181022,131748238,100,100,60.3234602301765,43.0122839792139,25.2211835893732,8043121,5788775,3440922
2007,641094986,133386527,100,100,57.7760584435039,41.3997895743029,24.4076785446667,7779847,5630039,3369878
2008,647199701,135103961,100,100,55.5256677182426,39.9165564365664,23.5976277408774,7566748,5495913,3296204
2009,653942298,136324081,100,100,53.1011475735413,38.5016778694495,22.9274574314732,7298979,5342796,3226584
2010,660562885,136956829,100,100,51.2343944270323,37.3258994164396,22.3150766109869,7082406,5204241,3150573
2011,666963189,137543794,100,100,49.3396139265162,36.1239729165823,21.7204755456877,6848570,5054539,3077015
2012,674061590,139504605,100,100,47.40856966473,34.7353666412788,20.9728732271113,6656920,4927108,3013597
2013,678645484,139209597,100,100,45.825487081508,33.8298041132143,20.5143870940905,6453366,4789825,2932564
2014,683057422,139458909,100,100,44.2517218331721,32.6870251796952,19.8800449056131,6244394,4641785,2847106
2015,685260246,138638779,100,100,43.0679080969483,31.9701738965218,19.520541730472,6049534,4502563,2774696
2016,687842623,139137765,100,100,41.7600532245935,31.0384338204498,19.019874831903,5869293,4384107,2715417
