"CountryName","OfficialName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion3","MDGRegion4","MDGRegion5","MDGRegion6","UNICEFProgRegion1","UNICEFProgRegion2","UNICEFProgRegion3","UNICEFProgRegion4","UNICEFProgRegion5","MENAEMRORegion","ECACountries","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","WBRegion5","UNPDRegion1","UNPDRegion2","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","FragileCountries2017","FragileCountries2018","FragileCountries2018OECD1","FragileCountries2018OECD2","FragileCountries2019","FCSCountries2020","FCSCountries20211","FCSCountries20212","USAIDcountry","M49Region1","M49Region2","M49Region3","SDGSimpleRegion1","SDGSimpleRegion2","SDGSimpleRegion3","SDGSimpleRegion4","SDGSimpleRegion5","SDGSimpleRegion6","SDGRegion1","SDGRegion2","SDGRegion3","SDGRegion4","SDGRegion5","SDGRegion6","HAC2020","HAC2019","GlobalStrategy","Conflict","UNICEFReportRegion1","UNICEFReportRegion2","Wealthdata1","Wealthdata2","Wealthdata3","WealthdataGlobal","Wealthall1","Wealthall2","Wealthall3","WealthallGlobal","UNRegion","AfricanEconomicCommunity","GAVICountries","SDGRCRegion1","SDGRCRegion2","SDGRCRegion3","SDGRCRegion4","SDGRCRegion5","SDGRCRegion6","SDGRCRegion7","SDGRCRegion8","SDGRCRegion9","SDGRCRegion10","SDGRCRegion11","SDGRCRegion12","SDGRCRegion13","SDGRCRegion14","SDGRCRegion15","JHURegion","SPhumanitarian","JHUFragile2021","LiST_UNICEFProgramm","LiST_UNICEFReport","LiST_all","ListSBRESCAP","ListSBR","EAPRORegion1","EAPRORegion2","EAPRORegion3","EAPRORegion4","EAPRORegion5","EAPRORegion6","EAPRORegion7","EAPRORegion8","EAPRORegion9","EECA","ARR 1990-2020 median","ARR 1990-2000 median","ARR 2000-2020 median","Required ARR median","Change in ARR median","Percentage decline 1990-2020 median","Percentage decline 1990-2000 median","Percentage decline 2000-2020 median"
"Afghanistan","Afghanistan",67,"AFG",4,"AFG","Southern Asia","Southern Asia excluding India","","Least developed countries","","LLDC","South Asia","South Asia","Asia","Least developed countries","","MENAEMRO","","Eastern Mediterranean","South Asia","South Asia (excluding high-income)","Low income","Low income","Low and middle income","Asia","","Least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Fragile","Fragile","Fragile","Fragile","Fragile","Fragile","Extremely Fragile","Fragile","Fragile and Conflict-affected Situation","Fragile and Conflict-affected Situation","High-intensity Conflict","USAID","Asia","Southern Asia","","Central and Southern Asia","Southern Asia","Least developed countries","Landlocked developing countries","","","Central Asia (M49) and Southern Asia (MDG=M49)","Asia (M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Least developed countries (LDCs)","Landlocked developing countries (LLDCs)","HAC","HAC","Global Strategy","Conflict","South Asia","","South Asia","","Low income","Low and middle income","South Asia","","Low income","Low and middle income","Asia-Pacific Group","","GAVI","","","","","","ESCAP_ADB Group A (ADB_DMC_A)","ESCAP_SAARC (SAARC)","ESCAP_ECO (ECO)","","ESCAP_LDC (LDC_E)","ESCAP_LLDC (LLDC_E)","ESCAP_South and South-West Asia (SSWA)","ESCAP_All countries","","","South Asia","Humanitarian","Fragile","South Asia","South Asia","LiST","LiSTSBR","LiSTSBR","","","","","","","","","","",3.74653340630824,3.22783311502927,4.00588355194772,,0.778050436918447,67.5009725557503,27.5869251827734,55.1199454984082
"Angola","Angola",1,"AGO",24,"ANG","Sub-Saharan Africa","Sub-Saharan Africa","South Africa","Least developed countries","","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Middle income","Lower middle income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","","","","","Countdown","Southern Africa","Africa","Southern Africa","Fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Non-fragile","non-FCS","non-FCS","","","Africa","Middle Africa","","Sub-Saharan Africa","","Least developed countries","","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","","HAC","HAC","","Non conflict","Sub-Saharan Africa","Eastern and Southern Africa","Sub-Saharan Africa","Eastern and Southern Africa","Lower middle income","Low and middle income","Sub-Saharan Africa","Eastern and Southern Africa","Lower middle income","Low and middle income","African Group","Economic Community of Central African States","GAVI","ECA_Southern Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","Eastern and Southern Africa","Non-humanitarian","","Eastern and Southern Africa","Eastern and Southern Africa","LiST","","LiSTSBR","","","","","","","","","","",3.78973628767557,0.863263348217393,5.25297275740466,,4.38970940918726,67.9194701403019,8.27051628757068,65.0270245058065
"Albania","Albania",146,"ALB",8,"ALB","","","","","","","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Europe","","","","OIC","Asia/other","OIC Lower middle income","OIC Middle income","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Europe","Southern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","","","","","","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","","","ECE_All countries","","ECE_West Balkans (ST7)","","","","","","","","","ESCAP_Europe (Europe)","","","Eastern Europe and Central Asia","Non-humanitarian","","Europe and Central Asia","Eastern Europe and Central Asia","LiST","","LiSTSBR","","","","","","","","","","EECA",4.75641250725924,4.09686457918915,5.08618647129428,,0.989321892105134,75.9953770717213,33.6141634958455,63.8407464719128
"Andorra","Andorra",167,"AND",20,"AND","","","","","","","Non-programme countries","Non-programme countries","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Southern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","","","","","","","","Europe and Central Asia","Western Europe","","","","","","","","","Western European and Others Group (WEOG)","","","","ECE_All countries","","","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","",5.95025427733465,6.1542542535088,5.84825428924757,,-0.305999964261229,83.221573860844,45.9589058115794,68.9524677634098
"United Arab Emirates","United Arab Emirates",66,"ARE",784,"UAE","Western Asia","Western Asia","","","","","Middle East and North Africa","Middle East and North Africa (excluding Djibouti and Sudan)","","","Middle East","MENAEMRO","","Eastern Mediterranean","Middle East and North Africa","","High income","High income","","Asia","","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Asia","Western Asia","","Northern Africa and Western Asia","Western Asia","","","","","Western Asia (M49) and Northern Africa (M49)","Asia (M49)","Western Asia (M49)","Western Asia (MDG)","","","","","","Non conflict","Middle East and North Africa","","","","","","","","","","Asia-Pacific Group","","","","","","","","","","","","","","","ESCAP_Other Area (OTH_REGION)","ESCWA_All countries","ESCWA_Arab countries","Middle East and North Africa","Non-humanitarian","","","","","","","","","","","","","","","","",3.07078159526312,3.92867728792501,2.64183374893217,,-1.28684353899284,60.1972618600889,32.4881959641026,41.043290564792
"Argentina","Argentina",106,"ARG",32,"ARG","Latin America and the Caribbean","Latin America and the Caribbean","","","Latin America","","Latin America and Caribbean","Latin America and Caribbean","","","","","","Americas","Latin America and the Caribbean","Latin America and the Caribbean (excluding high-income)","Middle income","Upper middle income","Low and middle income","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","","","","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","South America (M49)","Latin America and the Caribbean (MDG=M49)","","","","","","Non conflict","Latin America and Caribbean","","","","","","Latin America and Caribbean","","Upper middle income","Low and middle income","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Latin America","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","Latin America and the Caribbean","Latin America and Caribbean","LiST","","LiSTSBR","","","","","","","","","","",4.02766977794717,3.78888129050925,4.14706402166614,,0.358182731156889,70.1295632861788,31.5377802282606,56.3694592237696
"Armenia","Armenia",137,"ARM",51,"ARM","Caucasus and Central Asia","Caucasus and Central Asia","","","","LLDC","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Asia","","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","Fragile and Conflict-affected Situation","High-intensity Conflict (International)","","Asia","Western Asia","","Northern Africa and Western Asia","Western Asia","","Landlocked developing countries","","","Western Asia (M49) and Northern Africa (M49)","Asia (M49)","Western Asia (M49)","Caucasus and Central Asia (MDG)","","Landlocked developing countries (LLDCs)","","","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","GAVI","","ECE_All countries","ECE_Eastern Europe, Caucasus and Central Asia (CIS)","ECE_CIS (CWG)","","ESCAP_ADB Group C (ADB_DMC_C)","","","","","ESCAP_LLDC (LLDC_E)","ESCAP_North and Central Asia (NCA)","ESCAP_All countries","","","Eastern Europe and Central Asia","Non-humanitarian","","Europe and Central Asia","Eastern Europe and Central Asia","LiST","LiSTSBR","LiSTSBR","","","","","","","","","","EECA",5.0013799198742,4.72073312926953,5.14170331517653,,0.420970185906993,77.6962191257377,37.6292214601748,64.2400152821231
"Antigua & Barbuda","Antigua and Barbuda",105,"ATG",28,"ANT","Latin America and the Caribbean","Latin America and the Caribbean","","","Caribbean","SIDS","Latin America and Caribbean","Latin America and Caribbean","","","","","Eastern Caribbean Area","Americas","Latin America and the Caribbean","","High income","High income","","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","Caribbean","Latin America and the Caribbean","","","Small island developing States","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","Caribbean (M49)","Latin America and the Caribbean (MDG=M49)","","Small island developing States (SIDS)","","","","Non conflict","Latin America and Caribbean","","","","","","","","","","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Carribean","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","","","","","","","","","","","","","","","",2.60712760717249,-1.01726218991299,4.41932250571523,,5.43658469562822,54.2573142859988,-10.7080332662778,58.6816924080119
"Australia","Australia",169,"AUS",36,"AUS","","","","","","","Non-programme countries","Non-programme countries","","","","","","Western Pacific","East Asia and Pacific","","High income","High income","","Oceania","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Oceania","Australia and New Zealand","","Oceania","Australia and New Zealand","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Australia and New Zealand (M49)","Oceania (M49)","Australia and New Zealand (M49)","","","","","","","","East Asia and Pacific","","","","","","","","","","Western European and Others Group (WEOG)","","","","","","","","","","","","","","ESCAP_PACIFIC (PAC)","ESCAP_All countries","","","High Income Countries","Non-humanitarian","","","","","","","","","","","EAPR Countries","EAPR Countries (excluding China)","Pacific Countries","Pacific Countries (excluding PNG)","","",3.03616537363115,3.95967572530974,2.57441019779186,,-1.38526552751788,59.7817620175308,32.6971479804976,40.2428919790574
"Austria","Austria",168,"AUT",40,"ATR","","","","","","","Non-programme countries","Non-programme countries","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Western Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","","","","","","","","Europe and Central Asia","Western Europe","","","","","","","","","Western European and Others Group (WEOG)","","","","ECE_All countries","ECE_European Union (EMU)","ECE_Euro area (E25)","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","",3.22020269782151,5.47454717416876,2.09303045964789,,-3.38151671452087,61.9420736512233,42.1579818855078,34.2036678709151
