"Region","ARR.1990.2020.median","ARR.1990.2000.median","ARR.2000.2020.median","Required.ARR.median","Change.in.ARR.median","Percentage.decline.1990.2020.median","Percentage.decline.1990.2000.median","Percentage.decline.2000.2020.median"
"Africa",2.9492674930199,1.61801826562778,3.61489210671595,,1.99687384108817,58.719512195122,14.9390243902439,51.4695340501792
"Northern Africa",3.62651664731374,3.44840486291729,3.71557253951196,,0.267167676594666,66.3095238095238,29.1666666666667,52.436974789916
"Southern Africa",1.8506810365318,-1.8579889077804,3.7050160086879,,5.5630049164683,42.604501607717,-20.4180064308682,52.3364485981308
"Eastern Africa",3.97823360708929,2.4342706344774,4.75021509339523,,2.31594445891783,69.683257918552,21.606334841629,61.3275613275613
"Western Africa",2.54911059405086,1.73443882761937,2.95644647726661,,1.22200764964723,53.4541891229789,15.9235668789809,44.6386946386946
"Middle Africa",2.75403432922369,0.981009556450221,3.64054671561043,,2.65953715916021,56.2295081967213,9.34426229508196,51.7179023508138
"Asia",4.0896727662701,2.9476768852215,4.66067070679441,,1.7129938215729,70.6800445930881,25.5295429208473,60.6287425149701
"Eastern Asia",6.4995685009047,3.82992252256106,7.83439149007652,,4.00446896751546,85.7707509881423,31.8181818181818,79.1304347826087
"Central Asia",4.39761216945644,1.54150679827258,5.82566485504836,,4.28415805677578,73.2673267326733,14.2857142857143,68.8118811881188
"Southern Asia",4.06190534582363,3.2281103648749,4.47880283629799,,1.25069247142309,70.4347826086956,27.5889328063241,59.1703056768559
"South-Eastern Asia",3.68058528451146,3.98554230568317,3.52810677392561,,-0.457435531757568,66.8515950069348,32.871012482663,50.6198347107438
"Western Asia",3.65183166379188,4.37411728244271,3.29068885446646,,-1.08342842797625,66.5644171779141,35.4294478527607,48.2185273159145
"Americas",3.94435389172459,4.90158986957432,3.46573590279973,,-1.43585396677459,69.3735498839907,38.7470997679814,50
"Northern America",1.91115326915775,2.81639757995818,1.45853111375753,,-1.35786646620065,43.6363636363636,24.5454545454545,25.3012048192771
"Latin America and the Caribbean",4.06226317238544,5.01140318031527,3.58769316842052,,-1.42371001189475,70.4379562043796,39.4160583941606,51.2048192771084
"Central America",4.01765477085481,4.54255272277596,3.75520579489424,,-0.787346927881725,70.0396825396825,36.5079365079365,52.8125
"South America",4.4318051484248,5.50533073361103,3.89504235583169,,-1.61028837777934,73.5401459854015,42.3357664233577,54.1139240506329
"Caribbean",2.27914942627185,2.94452579018991,1.94646124431282,,-0.998064545877096,49.527665317139,25.5060728744939,32.2463768115942
"Europe",4.02770401974845,3.92561703272257,4.07874751326139,,0.153130480538825,70.1298701298701,32.4675324675325,55.7692307692308
"Northern Europe",3.14319659652105,3.94993808240869,2.73982585357724,,-1.21011222883145,61.0526315789474,32.6315789473684,42.1875
"Southern Europe",4.59775230601266,6.45356516723597,3.669845875401,,-2.78371929183497,74.8251748251748,47.5524475524476,52
"Eastern Europe",4.37395462988723,2.01739642651056,5.55223373157556,,3.534837305065,73.0769230769231,18.2692307692308,67.0588235294118
"Western Europe",2.62819120121423,4.70003629245736,1.59226865559267,,-3.10776763686468,54.5454545454546,37.5,27.2727272727273
"Oceania",1.95364394798595,1.13554699546862,2.36269242424462,,1.227145428776,44.3502824858757,10.7344632768362,37.6582278481013
"Australia and New Zealand",3.00262181779397,4.05465108108164,2.47660718615013,,-1.57804389493152,59.375,33.3333333333333,39.0625
"Melanesia",2.04883435723889,1.64016230695592,2.25317038238038,,0.613008075424464,45.9170013386881,15.1271753681392,36.2776025236593
"Micronesia",1.7920349970827,2.52702353555754,1.42454072784528,,-1.10248280771226,41.5857605177994,22.3300970873786,24.7916666666667
"Polynesia",2.02245889790805,3.10811527145551,1.47963071113432,,-1.6284845603212,45.4873646209386,26.7148014440433,25.615763546798
