"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","37593814","20031587","0","0",,,,,,
"Landlocked developing countries","1950","20282311","10586285","0","0",,,,,,
"Small island developing States","1950","3792223","2021068","0","0",,,,,,
"Europe and Northern America","1950","121499722","58909634","0","0",,,,,,
"Northern America","1950","24796953","11922246","0","0",,,,,,
"Europe","1950","96702769","46987389","0","0",,,,,,
"Latin America and the Caribbean","1950","31772682","16754622","0","0",,,,,,
"Central and Southern Asia","1950","92645382","48849858","0","0",,,,,,
"Central Asia","1950","3591298","1720000","0","0",,,,,,
"Southern Asia","1950","89054084","47129858","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","153575782","81877292","0","0",,,,,,
"Eastern Asia","1950","120818930","64244651","0","0",,,,,,
"South-Eastern Asia","1950","32756852","17632641","0","0",,,,,,
"Northern Africa and Western Asia","1950","19364221","10285667","0","0",,,,,,
"Western Asia","1950","9493874","5056878","0","0",,,,,,
"Northern Africa","1950","9870347","5228790","0","0",,,,,,
"Sub-Saharan Africa","1950","33429611","17834424","0","0",,,,,,
"Oceania","1950","1953051","941836","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","488781","256723","0","0",,,,,,
"Australia and New Zealand","1950","1464270","685113","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1950","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1950","0","0","NaN","NaN",,,,,,
"World","1950","454240448","235453331","0","0",,,,,,
"Least developed countries","1951","38300334","20390721","0","0",,,,,,
"Landlocked developing countries","1951","20699825","10816126","0","0",,,,,,
"Small island developing States","1951","3877731","2069119","0","0",,,,,,
"Europe and Northern America","1951","121170654","58784210","0","0",,,,,,
"Northern America","1951","24564527","11893103","0","0",,,,,,
"Europe","1951","96606127","46891107","0","0",,,,,,
"Latin America and the Caribbean","1951","32356809","17021224","0","0",,,,,,
"Central and Southern Asia","1951","94305510","49702280","0","0",,,,,,
"Central Asia","1951","3702709","1790892","0","0",,,,,,
"Southern Asia","1951","90602802","47911388","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","156399396","83336196","0","0",,,,,,
"Eastern Asia","1951","122847596","65330854","0","0",,,,,,
"South-Eastern Asia","1951","33551800","18005342","0","0",,,,,,
"Northern Africa and Western Asia","1951","19757544","10457258","0","0",,,,,,
"Western Asia","1951","9747481","5185914","0","0",,,,,,
"Northern Africa","1951","10010064","5271345","0","0",,,,,,
"Sub-Saharan Africa","1951","34085625","18166859","0","0",,,,,,
"Oceania","1951","1959131","943794","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1951","494048","258575","0","0",,,,,,
"Australia and New Zealand","1951","1465083","685219","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1951","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1951","0","0","NaN","NaN",,,,,,
"World","1951","460034667","238411819","0","0",,,,,,
"Least developed countries","1952","39024013","20764249","0","0",,,,,,
"Landlocked developing countries","1952","21103718","11118382","0","0",,,,,,
"Small island developing States","1952","3965379","2119619","0","0",,,,,,
"Europe and Northern America","1952","120991809","59464367","0","0",,,,,,
"Northern America","1952","24423387","11943912","0","0",,,,,,
"Europe","1952","96568423","47520455","0","0",,,,,,
"Latin America and the Caribbean","1952","32930475","17308371","0","0",,,,,,
"Central and Southern Asia","1952","96038476","50667486","0","0",,,,,,
"Central Asia","1952","3802271","1922099","0","0",,,,,,
"Southern Asia","1952","92236206","48745387","0","0",,,,,,
"Eastern and South-Eastern Asia","1952","159183821","84589406","0","0",,,,,,
"Eastern Asia","1952","124848605","66228956","0","0",,,,,,
"South-Eastern Asia","1952","34335216","18360450","0","0",,,,,,
"Northern Africa and Western Asia","1952","20128552","10625952","0","0",,,,,,
"Western Asia","1952","9990917","5319564","0","0",,,,,,
"Northern Africa","1952","10137635","5306388","0","0",,,,,,
"Sub-Saharan Africa","1952","34752059","18510577","0","0",,,,,,
"Oceania","1952","1965224","955499","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1952","498600","260066","0","0",,,,,,
"Australia and New Zealand","1952","1466624","695433","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1952","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1952","0","0","NaN","NaN",,,,,,
"World","1952","465990415","242121655","0","0",,,,,,
"Least developed countries","1953","39738657","21139603","0","0",,,,,,
"Landlocked developing countries","1953","21482186","11441401","0","0",,,,,,
"Small island developing States","1953","4053969","2170584","0","0",,,,,,
"Europe and Northern America","1953","120923134","60716337","0","0",,,,,,
"Northern America","1953","24355295","12057388","0","0",,,,,,
