"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
1950,454240448,235453331,0,0,,,,,,
1951,460034667,238411819,0,0,,,,,,
1952,465990415,242121655,0,0,,,,,,
1953,471421218,245715335,0,0,,,,,,
1954,476314393,248691430,0.5,0.6,,,,,,
1955,480986583,251010676,0.5,0.6,,,,,,
1956,485805801,252807247,0.6,0.6,,,,,,
1957,490144924,253554836,0.6,0.6,,,,,,
1958,493714139,253658008,0.6,0.7,,,,,,
1959,497409458,254247587,0.8,0.9,,,,,,
1960,501096672,255412928,0.9,1,,,,,,
1961,506852111,259229919,2.7,2.9,,,,,,
1962,515677728,267144595,2.7,2.9,,,,,,
1963,526266777,277511659,8.1,8.1,,,,,,
1964,538998646,289776310,9.7,9.5,,,,,,
1965,554344138,304120873,9.6,9.1,,,,,,
1966,571640333,317587040,9.8,9.2,,,,,,
1967,592087730,330009272,9.6,9,,,,,,
1968,615028508,342533090,9.5,8.9,,,,,,
1969,638840348,354082144,49.5,48.2,,,,,,
1970,664029734,364845633,49.3,47.9,,,,,,
1971,687054418,374482144,49,47.7,,,,,,
1972,707936725,383236740,73.3,72.9,24.1115457415239,12.3534200874375,11.9051955357626,1730495,952742,777753
1973,727847455,390834942,73.1,72.6,23.2167946025015,11.8688937571378,11.4842056622542,1711829,933294,778535
1974,743769858,395230262,73.9,73.2,22.6610133853439,11.5606266943441,11.2302150144795,1706390,919135,787255
1975,756125850,396832400,73.6,72.5,21.929690273422,11.2021324159113,10.8490908093492,1677935,894082,783854
1976,767065160,398159033,73.3,72,21.3295799516761,10.8890987143714,10.5554202503828,1654789,871866,782924
1977,780797577,403006601,74.3,72.9,20.6137948285156,10.4680689668327,10.2530555543465,1626874,848180,778694
1978,800829895,415230016,74.3,73.1,20.0273125777403,10.0706682520605,10.0579344467944,1620149,840561,779588
1979,821796175,431410772,74.6,73.9,19.4366239681906,9.63875925958171,9.89322310441366,1611954,835680,776274
1980,840000971,447526184,75.3,75.1,18.9781340687839,9.26860851832686,9.80036126233574,1606519,833451,773067
1981,857587083,463432875,76.6,76.8,18.3765328536956,8.83171475141404,9.62986633484507,1585015,822212,762803
1982,873330486,474172348,77.4,77.8,18.1749986749489,8.62046164861612,9.63761774044835,1594168,821056,773112
1983,890245020,478842064,77.8,78.1,17.6924212921137,8.40837578900886,9.36277120179598,1582654,808657,773998
1984,911325295,483707807,81.5,81.5,17.1542477545494,8.17589544288433,9.05236348906269,1571905,794196,777710
1985,934221750,490542566,82,81.8,16.7716389534157,8.03746175243073,8.80494662269718,1576494,791725,784769
1986,957537578,498316157,83.5,83.2,16.4667523747947,7.9039312395918,8.63104028413489,1587004,790857,796148
1987,975817133,506305563,83.6,83.3,16.2393545712085,7.77901656137132,8.52666709437764,1594890,790788,804102
1988,985992127,512109942,91.8,91.6,15.9789779186448,7.53257989852311,8.51050407202092,1584461,774418,810042
1989,993601205,514860469,94.3,94.2,15.9288622937807,7.4843117686375,8.50822876179534,1591698,773570,818128
1990,1001136130,515230549,100,100,16.8701324469934,7.84641693355843,9.09507929764804,1699635,811727,887908
1991,1008035134,514275517,100,100,16.7192191246781,7.80961088986885,8.97973648263214,1697173,806407,890766
1992,1014773273,513354377,100,100,16.7461566414091,7.78894276786733,9.02752877853311,1712244,802824,909420
1993,1019467404,512790905,100,100,16.69238788897,7.74638366625817,9.01584441260722,1715305,797544,917760
1994,1023829877,514806738,100,100,18.3893891391976,8.4017637720091,10.0722500326153,1899298,868706,1030592
1995,1029993725,520751714,100,100,16.310861143197,7.47833961373457,8.89907181070995,1692202,781795,910407
1996,1037797528,529574388,100,100,16.2024200437951,7.35131272194381,8.91665645186312,1691875,781486,910389
1997,1048720136,541240217,100,100,16.0364370955814,7.1840684637043,8.91642483836745,1689499,780465,909034
1998,1060883842,553399908,100,100,16.2079526902564,7.13925036810601,9.13391160393104,1724319,793003,931316
