"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","1950","1819773","965788","0","0",,,,,,
"World","1950","522684395","266233273","1.3","1.4",,,,,,
"Adhoc","1951","1857942","991449","0","0",,,,,,
"World","1951","527518616","269838702","1.4","1.4",,,,,,
"Adhoc","1952","1896819","1017978","0","0",,,,,,
"World","1952","534997247","277071558","1.4","1.4",,,,,,
"Adhoc","1953","1932800","1040565","0","0",,,,,,
"World","1953","544875506","286763536","1.5","1.6",,,,,,
"Adhoc","1954","1964126","1056067","0","0",,,,,,
"World","1954","558212791","299270311","2.1","2.2",,,,,,
"Adhoc","1955","1991284","1062924","0","0",,,,,,
"World","1955","575204187","314423692","2.1","2.1",,,,,,
"Adhoc","1956","2015641","1063719","0","0",,,,,,
"World","1956","593920394","329297967","2.1","2",,,,,,
"Adhoc","1957","2042440","1065958","0","0",,,,,,
"World","1957","615404435","343438141","2","1.9",,,,,,
"Adhoc","1958","2070784","1073075","0","0",,,,,,
"World","1958","638756503","356947790","2","1.8",,,,,,
"Adhoc","1959","2097144","1085192","0","0",,,,,,
"World","1959","662866563","366983297","2.2","1.9",,,,,,
"Adhoc","1960","2128980","1109140","0","0",,,,,,
"World","1960","687383377","377470625","2.2","2",,,,,,
"Adhoc","1961","2163865","1141247","0","0",,,,,,
"World","1961","709645843","386221630","2.1","1.9",,,,,,
"Adhoc","1962","2202434","1175218","0","0",,,,,,
"World","1962","730286731","394309686","2","1.9",,,,,,
"Adhoc","1963","2247341","1210561","0","0",,,,,,
"World","1963","749727869","401599159","8.9","9.1",,,,,,
"Adhoc","1964","2299996","1247295","0","0",,,,,,
"World","1964","765100391","405577506","11.5","12",,,,,,
"Adhoc","1965","2363463","1285599","0","0",,,,,,
"World","1965","777351501","407043701","12","12.6",,,,,,
"Adhoc","1966","2436396","1325754","0","0",,,,,,
"World","1966","788061620","408444624","14.3","15.2",,,,,,
"Adhoc","1967","2510430","1366456","0","0",,,,,,
"World","1967","801381024","413320834","16","17",,,,,,
"Adhoc","1968","2588366","1409434","0","0",,,,,,
"World","1968","821429734","425818032","17.9","18.8",,,,,,
"Adhoc","1969","2668753","1453858","0","0",,,,,,
"World","1969","842383547","442551541","54.5","54.4","25.2719101329183","18.0139892997629","7.39106336960949","2202144","1608915","593229"
"Adhoc","1970","2752026","1499831","0","0",,,,,,
"World","1970","860613885","459035857","54.9","53.8","24.7526497844156","17.6259543353476","7.25456406398263","2217353","1632577","584776"
"Adhoc","1971","2839109","1548002","0","0",,,,,,
"World","1971","877759627","474833490","54.7","52.6","24.2530408772095","17.2536869032995","7.12223885313252","2228782","1652784","575998"
"Adhoc","1972","2925231","1595824","100","100","55.2498224734831","32.7267829840453","23.2850854269713","16883","10619","6264"
"World","1972","893096011","485234663","78.8","79.3","22.3045270542642","15.808218455165","6.60065316629889","2086575","1546362","540213"
"Adhoc","1973","3017556","1647020","100","100","54.1532006424661","32.0695876596609","22.8152899229704","17062","10736","6326"
"World","1973","909906186","489568849","79.1","79.4","21.5925791640926","15.2566826499467","6.43405890907269","2047963","1505322","542641"
"Adhoc","1974","3114177","1700465","100","100","53.1376357823886","31.4733431636281","22.3682977291771","17271","10875","6396"
"World","1974","931026937","494057168","80.1","80.2","20.8919048816943","14.6937150981513","6.29062239683204","2014150","1462653","551497"
"Adhoc","1975","3209911","1753378","100","100","51.9262818312737","30.7426559756687","21.855522670224","17386","10949","6437"
"World","1975","953759124","500423323","80.4","80.3","20.2557563478045","14.2215445136743","6.12126568657178","1990254","1433552","556702"
"Adhoc","1976","3302815","1804688","100","100","50.6000582715803","29.991872993833","21.2453738314054","17424","10990","6434"
"World","1976","976704426","507848096","81.2","81","19.6141694553049","13.7302323896322","5.96584956662407","1965314","1404215","561099"
