ISO3Code,OfficialName,Region
AFG,Afghanistan,WB Low income countries
BDI,Burundi,WB Low income countries
BFA,Burkina Faso,WB Low income countries
CAF,Central African Republic,WB Low income countries
COD,Democratic Republic of the Congo,WB Low income countries
ERI,Eritrea,WB Low income countries
ETH,Ethiopia,WB Low income countries
GIN,Guinea,WB Low income countries
GMB,Gambia,WB Low income countries
GNB,Guinea-Bissau,WB Low income countries
LBR,Liberia,WB Low income countries
MDG,Madagascar,WB Low income countries
MLI,Mali,WB Low income countries
MOZ,Mozambique,WB Low income countries
MWI,Malawi,WB Low income countries
NER,Niger,WB Low income countries
PRK,Democratic People's Republic of Korea,WB Low income countries
RWA,Rwanda,WB Low income countries
SDN,Sudan,WB Low income countries
SLE,Sierra Leone,WB Low income countries
SOM,Somalia,WB Low income countries
SSD,South Sudan,WB Low income countries
SYR,Syrian Arab Republic,WB Low income countries
TCD,Chad,WB Low income countries
TGO,Togo,WB Low income countries
UGA,Uganda,WB Low income countries
YEM,Yemen,WB Low income countries
